,date,value,Next ,Class
0,2022-09-16,922.75,930.37,1
1,2022-09-19,930.37,934.02,1
2,2022-09-20,934.02,933.98,0
3,2022-09-21,933.98,937.71,1
4,2022-09-22,937.71,929.9,0
5,2022-09-23,929.9,925.76,0
6,2022-09-26,925.76,922.64,0
7,2022-09-27,922.64,919.89,0
8,2022-09-28,919.89,915.52,0
9,2022-09-29,915.52,917.37,1
10,2022-09-30,917.37,912.68,0
11,2022-10-03,912.68,919.78,1
12,2022-10-04,919.78,918.03,0
13,2022-10-05,918.03,917.54,0
14,2022-10-06,917.54,907.32,0
15,2022-10-07,907.32,904.07,0
16,2022-10-10,904.07,895.81,0
17,2022-10-11,895.81,892.69,0
18,2022-10-12,892.69,886.05,0
19,2022-10-13,886.05,874.79,0
20,2022-10-14,874.79,880.38,1
21,2022-10-17,880.38,876.96,0
22,2022-10-18,876.96,880.61,1
23,2022-10-19,880.61,898.75,1
24,2022-10-20,898.75,904.57,1
25,2022-10-21,904.57,909.95,1
26,2022-10-24,909.95,909.54,0
27,2022-10-25,909.54,908.14,0
28,2022-10-26,908.14,914.78,1
29,2022-10-27,914.78,911.38,0
30,2022-10-28,911.38,914.92,1
31,2022-10-31,914.92,908.66,0
32,2022-11-01,908.66,902.53,0
33,2022-11-02,902.53,904.69,1
34,2022-11-03,904.69,908.68,1
35,2022-11-04,908.68,917.46,1
36,2022-11-07,917.46,908.02,0
37,2022-11-08,908.02,911.55,1
38,2022-11-09,911.55,895.38,0
39,2022-11-10,895.38,916.8,1
40,2022-11-11,916.8,904.31,0
41,2022-11-14,904.31,906.75,1
42,2022-11-15,906.75,903.78,0
43,2022-11-16,903.78,907.28,1
44,2022-11-17,907.28,911.71,1
45,2022-11-18,911.71,905.81,0
46,2022-11-21,905.81,899.99,0
47,2022-11-22,899.99,901.22,1
48,2022-11-23,901.22,905.79,1
49,2022-11-24,905.79,903.86,0
50,2022-11-25,903.86,897.19,0
51,2022-11-28,897.19,895.17,0
52,2022-11-29,895.17,905.0,1
53,2022-11-30,905.0,894.37,0
54,2022-12-01,894.37,888.98,0
55,2022-12-02,888.98,879.44,0
56,2022-12-05,879.44,862.66,0
57,2022-12-06,862.66,846.57,0
58,2022-12-07,846.57,846.77,1
59,2022-12-08,846.77,837.79,0
60,2022-12-09,837.79,841.41,1
61,2022-12-12,841.41,854.44,1
62,2022-12-13,854.44,852.94,0
63,2022-12-14,852.94,845.08,0
64,2022-12-15,845.08,853.78,1
65,2022-12-16,853.78,,0
