,date,value,Next,Class
0,2022-09-16,1087.0449,1095.9586,1
1,2022-09-19,1095.9586,1094.4926,0
2,2022-09-20,1094.4926,1092.8082,0
3,2022-09-21,1092.8082,1099.3657,1
4,2022-09-22,1099.3657,1091.8158,0
5,2022-09-23,1091.8158,1082.869,0
6,2022-09-26,1082.869,1084.6762,1
7,2022-09-27,1084.6762,1076.1652,0
8,2022-09-28,1076.1652,1072.2129,0
9,2022-09-29,1072.2129,1073.3654,1
10,2022-09-30,1073.3654,1069.8728,0
11,2022-10-03,1069.8728,1078.5879,1
12,2022-10-04,1078.5879,1075.0376,0
13,2022-10-05,1075.0376,1073.5947,0
14,2022-10-06,1073.5947,1062.8731,0
15,2022-10-07,1062.8731,1058.8558,0
16,2022-10-10,1058.8558,1053.5061,0
17,2022-10-11,1053.5061,1051.4012,0
18,2022-10-12,1051.4012,1047.0747,0
19,2022-10-13,1047.0747,1036.0691,0
20,2022-10-14,1036.0691,1040.0619,1
21,2022-10-17,1040.0619,1037.4372,0
22,2022-10-18,1037.4372,1040.831,1
23,2022-10-19,1040.831,1062.4202,1
24,2022-10-20,1062.4202,1069.6873,1
25,2022-10-21,1069.6873,1076.5496,1
26,2022-10-24,1076.5496,1075.597,0
27,2022-10-25,1075.597,1074.344,0
28,2022-10-26,1074.344,1081.6794,1
29,2022-10-27,1081.6794,1079.4852,0
30,2022-10-28,1079.4852,1087.4237,1
31,2022-10-31,1087.4237,1079.2913,0
32,2022-11-01,1079.2913,1068.3421,0
33,2022-11-02,1068.3421,1069.4175,1
34,2022-11-03,1069.4175,1072.2677,1
35,2022-11-04,1072.2677,1081.7825,1
36,2022-11-07,1081.7825,1072.2858,0
37,2022-11-08,1072.2858,1072.7343,1
38,2022-11-09,1072.7343,1056.7221,0
39,2022-11-10,1056.7221,1071.7593,1
40,2022-11-11,1071.7593,1062.9577,0
41,2022-11-14,1062.9577,1063.4911,1
42,2022-11-15,1063.4911,1055.1629,0
43,2022-11-16,1055.1629,1060.0987,1
44,2022-11-17,1060.0987,1060.1778,1
45,2022-11-18,1060.1778,1058.6308,0
46,2022-11-21,1058.6308,1056.8659,0
47,2022-11-22,1056.8659,1059.3203,1
48,2022-11-23,1059.3203,1065.0848,1
49,2022-11-24,1065.0848,1062.1201,0
50,2022-11-25,1062.1201,1057.7618,0
51,2022-11-28,1057.7618,1060.6079,1
52,2022-11-29,1060.6079,1073.1082,1
53,2022-11-30,1073.1082,1071.1182,0
54,2022-12-01,1071.1182,1068.6405,0
55,2022-12-02,1068.6405,1062.1244,0
56,2022-12-05,1062.1244,1044.4348,0
57,2022-12-06,1044.4348,1028.8922,0
58,2022-12-07,1028.8922,1030.942,1
59,2022-12-08,1030.942,1021.2657,0
60,2022-12-09,1021.2657,1029.7505,1
61,2022-12-12,1029.7505,1015.2577,0
62,2022-12-13,1015.2577,1018.4488,1
63,2022-12-14,1018.4488,1009.8479,0
64,2022-12-15,1009.8479,1015.4785,1
65,2022-12-16,1015.4785,,0
