,date,value,Next,Class
0,2022-09-16,1647.8351,1659.9706,1
1,2022-09-19,1659.9706,1655.252,0
2,2022-09-20,1655.252,1655.1826,0
3,2022-09-21,1655.1826,1665.8771,1
4,2022-09-22,1665.8771,1654.0295,0
5,2022-09-23,1654.0295,1638.0355,0
6,2022-09-26,1638.0355,1639.372,1
7,2022-09-27,1639.372,1622.7852,0
8,2022-09-28,1622.7852,1620.2275,0
9,2022-09-29,1620.2275,1627.3215,1
10,2022-09-30,1627.3215,1621.6866,0
11,2022-10-03,1621.6866,1635.9305,1
12,2022-10-04,1635.9305,1631.2212,0
13,2022-10-05,1631.2212,1631.4923,1
14,2022-10-06,1631.4923,1619.2168,0
15,2022-10-07,1619.2168,1610.6072,0
16,2022-10-10,1610.6072,1606.7426,0
17,2022-10-11,1606.7426,1610.8794,1
18,2022-10-12,1610.8794,1607.4961,0
19,2022-10-13,1607.4961,1596.684,0
20,2022-10-14,1596.684,1600.3122,1
21,2022-10-17,1600.3122,1600.2979,0
22,2022-10-18,1600.2979,1609.6037,1
23,2022-10-19,1609.6037,1647.7804,1
24,2022-10-20,1647.7804,1654.4515,1
25,2022-10-21,1654.4515,1669.5274,1
26,2022-10-24,1669.5274,1664.5344,0
27,2022-10-25,1664.5344,1658.7282,0
28,2022-10-26,1658.7282,1675.7463,1
29,2022-10-27,1675.7463,1668.3593,0
30,2022-10-28,1668.3593,1681.5204,1
31,2022-10-31,1681.5204,1665.0246,0
32,2022-11-01,1665.0246,1648.2521,0
33,2022-11-02,1648.2521,1650.2831,1
34,2022-11-03,1650.2831,1655.3925,1
35,2022-11-04,1655.3925,1672.033,1
36,2022-11-07,1672.033,1654.8194,0
37,2022-11-08,1654.8194,1655.9877,1
38,2022-11-09,1655.9877,1637.3429,0
39,2022-11-10,1637.3429,1660.7654,1
40,2022-11-11,1660.7654,1639.5791,0
41,2022-11-14,1639.5791,1642.3348,1
42,2022-11-15,1642.3348,1625.8271,0
43,2022-11-16,1625.8271,1624.9377,0
44,2022-11-17,1624.9377,1629.288,1
45,2022-11-18,1629.288,1625.8501,0
46,2022-11-21,1625.8501,1620.1489,0
47,2022-11-22,1620.1489,1630.8931,1
48,2022-11-23,1630.8931,1636.5471,1
49,2022-11-24,1636.5471,1630.0961,0
50,2022-11-25,1630.0961,1624.4384,0
51,2022-11-28,1624.4384,1630.5374,1
52,2022-11-29,1630.5374,1660.8988,1
53,2022-11-30,1660.8988,1649.6942,0
54,2022-12-01,1649.6942,1650.0841,1
55,2022-12-02,1650.0841,1639.4023,0
56,2022-12-05,1639.4023,1614.5998,0
57,2022-12-06,1614.5998,1593.196,0
58,2022-12-07,1593.196,1597.2356,1
59,2022-12-08,1597.2356,1582.5833,0
60,2022-12-09,1582.5833,1590.3469,1
61,2022-12-12,1590.3469,1598.6716,1
62,2022-12-13,1598.6716,1597.6339,0
63,2022-12-14,1597.6339,1583.0099,0
64,2022-12-15,1583.0099,1594.1644,1
65,2022-12-16,1594.1644,,0
