,date,value,Next,Class
0,2022-09-16,11704.82,11720.28,1
1,2022-09-19,11720.28,11743.82,1
2,2022-09-20,11743.82,11779.3,1
3,2022-09-21,11779.3,11810.65,1
4,2022-09-22,11810.65,11740.85,0
5,2022-09-23,11740.85,11641.87,0
6,2022-09-26,11641.87,11624.68,0
7,2022-09-27,11624.68,11569.93,0
8,2022-09-28,11569.93,11507.66,0
9,2022-09-29,11507.66,11494.6,0
10,2022-09-30,11494.6,11443.87,0
11,2022-10-03,11443.87,11551.42,1
12,2022-10-04,11551.42,11537.92,0
13,2022-10-05,11537.92,11588.24,1
14,2022-10-06,11588.24,11524.45,0
15,2022-10-07,11524.45,11479.13,0
16,2022-10-10,11479.13,11378.46,0
17,2022-10-11,11378.46,11329.61,0
18,2022-10-12,11329.61,11323.73,0
19,2022-10-13,11323.73,11254.67,0
20,2022-10-14,11254.67,11270.18,1
21,2022-10-17,11270.18,11234.78,0
22,2022-10-18,11234.78,11333.29,1
23,2022-10-19,11333.29,11539.14,1
24,2022-10-20,11539.14,11604.56,1
25,2022-10-21,11604.56,11636.89,1
26,2022-10-24,11636.89,11617.04,0
27,2022-10-25,11617.04,11562.84,0
28,2022-10-26,11562.84,11668.49,1
29,2022-10-27,11668.49,11573.64,0
30,2022-10-28,11573.64,11620.17,1
31,2022-10-31,11620.17,11429.68,0
32,2022-11-01,11429.68,11336.19,0
33,2022-11-02,11336.19,11361.25,1
34,2022-11-03,11361.25,11372.51,1
35,2022-11-04,11372.51,11452.24,1
36,2022-11-07,11452.24,11382.92,0
37,2022-11-08,11382.92,11371.21,0
38,2022-11-09,11371.21,11191.0,0
39,2022-11-10,11191.0,11413.32,1
40,2022-11-11,11413.32,11248.23,0
41,2022-11-14,11248.23,11234.59,0
42,2022-11-15,11234.59,11146.01,0
43,2022-11-16,11146.01,11189.12,1
44,2022-11-17,11189.12,11241.5,1
45,2022-11-18,11241.5,11151.94,0
46,2022-11-21,11151.94,11103.47,0
47,2022-11-22,11103.47,11156.19,1
48,2022-11-23,11156.19,11215.89,1
49,2022-11-24,11215.89,11151.95,0
50,2022-11-25,11151.95,11063.67,0
51,2022-11-28,11063.67,11069.27,1
52,2022-11-29,11069.27,11223.89,1
53,2022-11-30,11223.89,11157.77,0
54,2022-12-01,11157.77,11123.03,0
55,2022-12-02,11123.03,11037.56,0
56,2022-12-05,11037.56,10853.06,0
57,2022-12-06,10853.06,10693.58,0
58,2022-12-07,10693.58,10685.89,0
59,2022-12-08,10685.89,10540.61,0
60,2022-12-09,10540.61,10604.68,1
61,2022-12-12,10604.68,10689.88,1
62,2022-12-13,10689.88,10675.33,0
63,2022-12-14,10675.33,10585.71,0
64,2022-12-15,10585.71,10670.01,1
65,2022-12-16,10670.01,,0
