,date,value,Next,Class
0,2022-09-16,2574.26,2563.22,0
1,2022-09-19,2563.22,2564.88,1
2,2022-09-20,2564.88,2585.5,1
3,2022-09-21,2585.5,2591.01,1
4,2022-09-22,2591.01,2596.54,1
5,2022-09-23,2596.54,2565.43,0
6,2022-09-26,2565.43,2567.76,1
7,2022-09-27,2567.76,2558.91,0
8,2022-09-28,2558.91,2519.21,0
9,2022-09-29,2519.21,2506.38,0
10,2022-09-30,2506.38,2491.63,0
11,2022-10-03,2491.63,2522.21,1
12,2022-10-04,2522.21,2530.15,1
13,2022-10-05,2530.15,2567.39,1
14,2022-10-06,2567.39,2556.4,0
15,2022-10-07,2556.4,2543.48,0
16,2022-10-10,2543.48,2519.65,0
17,2022-10-11,2519.65,2495.38,0
18,2022-10-12,2495.38,2495.23,0
19,2022-10-13,2495.23,2480.43,0
20,2022-10-14,2480.43,2465.95,0
21,2022-10-17,2465.95,2462.45,0
22,2022-10-18,2462.45,2520.59,1
23,2022-10-19,2520.59,2553.71,1
24,2022-10-20,2553.71,2575.11,1
25,2022-10-21,2575.11,2563.21,0
26,2022-10-24,2563.21,2557.6,0
27,2022-10-25,2557.6,2523.56,0
28,2022-10-26,2523.56,2555.88,1
29,2022-10-27,2555.88,2505.72,0
30,2022-10-28,2505.72,2514.53,1
31,2022-10-31,2514.53,2457.74,0
32,2022-11-01,2457.74,2453.59,0
33,2022-11-02,2453.59,2471.6,1
34,2022-11-03,2471.6,2453.11,0
35,2022-11-04,2453.11,2456.17,1
36,2022-11-07,2456.17,2451.38,0
37,2022-11-08,2451.38,2445.58,0
38,2022-11-09,2445.58,2403.15,0
39,2022-11-10,2403.15,2466.53,1
40,2022-11-11,2466.53,2421.95,0
41,2022-11-14,2421.95,2414.42,0
42,2022-11-15,2414.42,2394.9,0
43,2022-11-16,2394.9,2412.82,1
44,2022-11-17,2412.82,2427.41,1
45,2022-11-18,2427.41,2394.7,0
46,2022-11-21,2394.7,2384.56,0
47,2022-11-22,2384.56,2400.49,1
48,2022-11-23,2400.49,2414.29,1
49,2022-11-24,2414.29,2387.84,0
50,2022-11-25,2387.84,2349.9,0
51,2022-11-28,2349.9,2336.16,0
52,2022-11-29,2336.16,2362.71,1
53,2022-11-30,2362.71,2345.82,0
54,2022-12-01,2345.82,2332.13,0
55,2022-12-02,2332.13,2308.54,0
56,2022-12-05,2308.54,2265.19,0
57,2022-12-06,2265.19,2229.47,0
58,2022-12-07,2229.47,2239.96,1
59,2022-12-08,2239.96,2205.11,0
60,2022-12-09,2205.11,2209.9,1
61,2022-12-12,2209.9,2233.25,1
62,2022-12-13,2233.25,2223.46,0
63,2022-12-14,2223.46,2209.19,0
64,2022-12-15,2209.19,2226.38,1
65,2022-12-16,2226.38,,0
