,date,value,Next,Class
0,2022-09-16,2010.78,2027.83,1
1,2022-09-19,2027.83,2022.48,0
2,2022-09-20,2022.48,2017.82,0
3,2022-09-21,2017.82,2024.41,1
4,2022-09-22,2024.41,2010.38,0
5,2022-09-23,2010.38,2006.78,0
6,2022-09-26,2006.78,2008.9,1
7,2022-09-27,2008.9,1986.02,0
8,2022-09-28,1986.02,1978.94,0
9,2022-09-29,1978.94,1986.28,1
10,2022-09-30,1986.28,1982.56,0
11,2022-10-03,1982.56,1989.69,1
12,2022-10-04,1989.69,1988.68,0
13,2022-10-05,1988.68,1992.39,1
14,2022-10-06,1992.39,1985.84,0
15,2022-10-07,1985.84,1977.41,0
16,2022-10-10,1977.41,1975.48,0
17,2022-10-11,1975.48,1975.78,1
18,2022-10-12,1975.78,1973.55,0
19,2022-10-13,1973.55,1956.02,0
20,2022-10-14,1956.02,1957.53,1
21,2022-10-17,1957.53,1968.22,1
22,2022-10-18,1968.22,1987.74,1
23,2022-10-19,1987.74,2041.06,1
24,2022-10-20,2041.06,2045.94,1
25,2022-10-21,2045.94,2061.98,1
26,2022-10-24,2061.98,2057.25,0
27,2022-10-25,2057.25,2055.91,0
28,2022-10-26,2055.91,2080.01,1
29,2022-10-27,2080.01,2071.95,0
30,2022-10-28,2071.95,2076.29,1
31,2022-10-31,2076.29,2071.16,0
32,2022-11-01,2071.16,2053.78,0
33,2022-11-02,2053.78,2053.19,0
34,2022-11-03,2053.19,2059.95,1
35,2022-11-04,2059.95,2083.84,1
36,2022-11-07,2083.84,2067.22,0
37,2022-11-08,2067.22,2074.17,1
38,2022-11-09,2074.17,2060.35,0
39,2022-11-10,2060.35,2081.01,1
40,2022-11-11,2081.01,2067.42,0
41,2022-11-14,2067.42,2069.99,1
42,2022-11-15,2069.99,2046.5,0
43,2022-11-16,2046.5,2045.16,0
44,2022-11-17,2045.16,2054.8,1
45,2022-11-18,2054.8,2060.53,1
46,2022-11-21,2060.53,2052.75,0
47,2022-11-22,2052.75,2070.9,1
48,2022-11-23,2070.9,2087.38,1
49,2022-11-24,2087.38,2080.1,0
50,2022-11-25,2080.1,2079.37,0
51,2022-11-28,2079.37,2088.79,1
52,2022-11-29,2088.79,2114.28,1
53,2022-11-30,2114.28,2115.63,1
54,2022-12-01,2115.63,2127.25,1
55,2022-12-02,2127.25,2113.6,0
56,2022-12-05,2113.6,2083.2,0
57,2022-12-06,2083.2,2060.97,0
58,2022-12-07,2060.97,2072.04,1
59,2022-12-08,2072.04,2047.32,0
60,2022-12-09,2047.32,2052.31,1
61,2022-12-12,2052.31,2071.52,1
62,2022-12-13,2071.52,2067.55,0
63,2022-12-14,2067.55,2047.89,0
64,2022-12-15,2047.89,2054.42,1
65,2022-12-16,2054.42,,0
