,date,value,Next,Class
0,2022-09-16,1338.0658,1345.5034,1
1,2022-09-19,1345.5034,1342.0403,0
2,2022-09-20,1342.0403,1338.933,0
3,2022-09-21,1338.933,1347.13,1
4,2022-09-22,1347.13,1337.3417,0
5,2022-09-23,1337.3417,1326.6553,0
6,2022-09-26,1326.6553,1325.0063,0
7,2022-09-27,1325.0063,1317.0215,0
8,2022-09-28,1317.0215,1312.8595,0
9,2022-09-29,1312.8595,1315.2994,1
10,2022-09-30,1315.2994,1312.9573,0
11,2022-10-03,1312.9573,1323.8955,1
12,2022-10-04,1323.8955,1321.7531,0
13,2022-10-05,1321.7531,1322.2027,1
14,2022-10-06,1322.2027,1313.7968,0
15,2022-10-07,1313.7968,1308.3363,0
16,2022-10-10,1308.3363,1301.0221,0
17,2022-10-11,1301.0221,1300.2534,0
18,2022-10-12,1300.2534,1295.751,0
19,2022-10-13,1295.751,1287.5711,0
20,2022-10-14,1287.5711,1291.1853,1
21,2022-10-17,1291.1853,1291.426,1
22,2022-10-18,1291.426,1294.0811,1
23,2022-10-19,1294.0811,1323.6494,1
24,2022-10-20,1323.6494,1328.4519,1
25,2022-10-21,1328.4519,1336.1236,1
26,2022-10-24,1336.1236,1335.9542,0
27,2022-10-25,1335.9542,1335.6039,0
28,2022-10-26,1335.6039,1346.9842,1
29,2022-10-27,1346.9842,1347.1935,1
30,2022-10-28,1347.1935,1355.9551,1
31,2022-10-31,1355.9551,1341.6884,0
32,2022-11-01,1341.6884,1331.5857,0
33,2022-11-02,1331.5857,1333.057,1
34,2022-11-03,1333.057,1339.325,1
35,2022-11-04,1339.325,1349.8762,1
36,2022-11-07,1349.8762,1338.6462,0
37,2022-11-08,1338.6462,1339.6772,1
38,2022-11-09,1339.6772,1324.2214,0
39,2022-11-10,1324.2214,1340.4205,1
40,2022-11-11,1340.4205,1328.0117,0
41,2022-11-14,1328.0117,1331.0663,1
42,2022-11-15,1331.0663,1321.8501,0
43,2022-11-16,1321.8501,1323.5042,1
44,2022-11-17,1323.5042,1326.0502,1
45,2022-11-18,1326.0502,1321.6165,0
46,2022-11-21,1321.6165,1318.226,0
47,2022-11-22,1318.226,1324.4558,1
48,2022-11-23,1324.4558,1330.5679,1
49,2022-11-24,1330.5679,1326.4103,0
50,2022-11-25,1326.4103,1321.9934,0
51,2022-11-28,1321.9934,1324.1436,1
52,2022-11-29,1324.1436,1341.6707,1
53,2022-11-30,1341.6707,1335.5037,0
54,2022-12-01,1335.5037,1332.7286,0
55,2022-12-02,1332.7286,1324.234,0
56,2022-12-05,1324.234,1305.1145,0
57,2022-12-06,1305.1145,1288.1138,0
58,2022-12-07,1288.1138,1288.9897,1
59,2022-12-08,1288.9897,1277.4758,0
60,2022-12-09,1277.4758,1286.5478,1
61,2022-12-12,1286.5478,1295.4937,1
62,2022-12-13,1295.4937,1295.3856,0
63,2022-12-14,1295.3856,1284.0709,0
64,2022-12-15,1284.0709,1292.058,1
65,2022-12-16,1292.058,,0
