,date,value,Next,Class
0,2022-09-16,2950.99,2951.61,1
1,2022-09-19,2951.61,2939.09,0
2,2022-09-20,2939.09,2923.64,0
3,2022-09-21,2923.64,2935.16,1
4,2022-09-22,2935.16,2907.79,0
5,2022-09-23,2907.79,2872.16,0
6,2022-09-26,2872.16,2875.36,1
7,2022-09-27,2875.36,2845.96,0
8,2022-09-28,2845.96,2827.5,0
9,2022-09-29,2827.5,2837.34,1
10,2022-09-30,2837.34,2846.26,1
11,2022-10-03,2846.26,2886.48,1
12,2022-10-04,2886.48,2895.89,1
13,2022-10-05,2895.89,2890.38,0
14,2022-10-06,2890.38,2899.7,1
15,2022-10-07,2899.7,2878.96,0
16,2022-10-10,2878.96,2846.41,0
17,2022-10-11,2846.41,2845.72,0
18,2022-10-12,2845.72,2837.54,0
19,2022-10-13,2837.54,2804.03,0
20,2022-10-14,2804.03,2815.21,1
21,2022-10-17,2815.21,2815.63,1
22,2022-10-18,2815.63,2813.58,0
23,2022-10-19,2813.58,2875.91,1
24,2022-10-20,2875.91,2879.7,1
25,2022-10-21,2879.7,2902.44,1
26,2022-10-24,2902.44,2896.31,0
27,2022-10-25,2896.31,2906.34,1
28,2022-10-26,2906.34,2921.06,1
29,2022-10-27,2921.06,2900.79,0
30,2022-10-28,2900.79,2928.03,1
31,2022-10-31,2928.03,2893.06,0
32,2022-11-01,2893.06,2874.93,0
33,2022-11-02,2874.93,2869.67,0
34,2022-11-03,2869.67,2875.7,1
35,2022-11-04,2875.7,2890.0,1
36,2022-11-07,2890.0,2887.4,0
37,2022-11-08,2887.4,2883.49,0
38,2022-11-09,2883.49,2856.71,0
39,2022-11-10,2856.71,2888.32,1
40,2022-11-11,2888.32,2860.74,0
41,2022-11-14,2860.74,2849.57,0
42,2022-11-15,2849.57,2831.57,0
43,2022-11-16,2831.57,2843.82,1
44,2022-11-17,2843.82,2832.32,0
45,2022-11-18,2832.32,2840.81,1
46,2022-11-21,2840.81,2844.8,1
47,2022-11-22,2844.8,2852.47,1
48,2022-11-23,2852.47,2849.86,0
49,2022-11-24,2849.86,2843.3,0
50,2022-11-25,2843.3,2830.29,0
51,2022-11-28,2830.29,2836.8,1
52,2022-11-29,2836.8,2846.23,1
53,2022-11-30,2846.23,2850.92,1
54,2022-12-01,2850.92,2841.01,0
55,2022-12-02,2841.01,2798.75,0
56,2022-12-05,2798.75,2763.37,0
57,2022-12-06,2763.37,2743.65,0
58,2022-12-07,2743.65,2748.96,1
59,2022-12-08,2748.96,2720.09,0
60,2022-12-09,2720.09,2740.95,1
61,2022-12-12,2740.95,2757.32,1
62,2022-12-13,2757.32,2767.05,1
63,2022-12-14,2767.05,2754.68,0
64,2022-12-15,2754.68,2752.81,0
65,2022-12-16,2752.81,,0
