,Date,Present,Next,Class
0,2022-09-16,1741.06,1740.89,0
1,2022-09-19,1740.89,1741.23,1
2,2022-09-20,1741.23,1741.29,1
3,2022-09-21,1741.29,1740.83,0
4,2022-09-22,1740.83,1740.29,0
5,2022-09-23,1740.29,1739.96,0
6,2022-09-26,1739.96,1740.05,1
7,2022-09-27,1740.05,1739.88,0
8,2022-09-28,1739.88,1739.84,0
9,2022-09-29,1739.84,1739.99,1
10,2022-09-30,1739.99,1740.19,1
11,2022-10-03,1740.19,1740.42,1
12,2022-10-04,1740.42,1740.56,1
13,2022-10-05,1740.56,1740.7,1
14,2022-10-06,1740.7,1740.91,1
15,2022-10-07,1740.91,1741.24,1
16,2022-10-10,1741.24,1741.39,1
17,2022-10-11,1741.39,1741.55,1
18,2022-10-12,1741.55,1741.92,1
19,2022-10-13,1741.92,1741.81,0
20,2022-10-14,1741.81,1742.19,1
21,2022-10-17,1742.19,1742.33,1
22,2022-10-18,1742.33,1742.39,1
23,2022-10-19,1742.39,1742.54,1
24,2022-10-20,1742.54,1742.68,1
25,2022-10-21,1742.68,1743.08,1
26,2022-10-24,1743.08,1743.26,1
27,2022-10-25,1743.26,1743.38,1
28,2022-10-26,1743.38,1743.27,0
29,2022-10-27,1743.27,1743.33,1
30,2022-10-28,1743.33,1743.53,1
31,2022-10-31,1743.53,1743.72,1
32,2022-11-01,1743.72,1743.9,1
33,2022-11-02,1743.9,1744.07,1
34,2022-11-03,1744.07,1744.19,1
35,2022-11-04,1744.19,1744.67,1
36,2022-11-07,1744.67,1744.85,1
37,2022-11-08,1744.85,1745.04,1
38,2022-11-09,1745.04,1745.21,1
39,2022-11-10,1745.21,1745.4,1
40,2022-11-11,1745.4,1745.9,1
41,2022-11-14,1745.9,1746.06,1
42,2022-11-15,1746.06,1746.19,1
43,2022-11-16,1746.19,1746.35,1
44,2022-11-17,1746.35,1746.51,1
45,2022-11-18,1746.51,1746.97,1
46,2022-11-21,1746.97,1747.13,1
47,2022-11-22,1747.13,1747.29,1
48,2022-11-23,1747.29,1747.41,1
49,2022-11-24,1747.41,1747.47,1
50,2022-11-25,1747.47,1747.96,1
51,2022-11-28,1747.96,1748.16,1
52,2022-11-29,1748.16,1748.32,1
53,2022-11-30,1748.32,1748.49,1
54,2022-12-01,1748.49,1748.65,1
55,2022-12-02,1748.65,1749.15,1
56,2022-12-05,1749.15,1749.33,1
57,2022-12-06,1749.33,1749.46,1
58,2022-12-07,1749.46,1749.61,1
59,2022-12-08,1749.61,1749.78,1
60,2022-12-09,1749.78,1750.18,1
61,2022-12-12,1750.18,1750.45,1
62,2022-12-13,1750.45,1750.58,1
63,2022-12-14,1750.58,1750.75,1
64,2022-12-15,1750.75,1750.96,1
65,2022-12-16,1750.96,,0
