,Date,Present,Next,Class
0,9/16/2022,  1704.720000,  1705.020000,1
1,9/19/2022,  1705.020000,  1705.120000,1
2,9/20/2022,  1705.120000,  1705.220000,1
3,9/21/2022,  1705.220000,  1705.320000,1
4,9/22/2022,  1705.320000,  1705.410000,1
5,9/23/2022,  1705.410000,  1705.660000,1
6,9/26/2022,  1705.660000,  1705.770000,1
7,9/27/2022,  1705.770000,  1705.880000,1
8,9/28/2022,  1705.880000,  1705.980000,1
9,9/29/2022,  1705.980000,  1706.090000,1
10,9/30/2022,  1706.090000,  1706.410000,1
11,10/3/2022,  1706.410000,  1706.510000,1
12,10/4/2022,  1706.510000,  1706.510000,1
13,10/5/2022,  1706.510000,  1706.620000,1
14,10/6/2022,  1706.620000,  1706.720000,1
15,10/7/2022,  1706.720000,  1707.040000,1
16,10/10/2022,  1707.040000,  1707.150000,1
17,10/11/2022,  1707.150000,  1707.250000,1
18,10/12/2022,  1707.250000,  1707.360000,1
19,10/13/2022,  1707.360000,  1707.470000,1
20,10/14/2022,  1707.470000,  1707.790000,1
21,10/17/2022,  1707.790000,  1707.890000,1
22,10/18/2022,  1707.890000,  1708.000000,1
23,10/19/2022,  1708.000000,  1708.030000,1
24,10/20/2022,  1708.030000,  1708.140000,1
25,10/21/2022,  1708.140000,  1708.470000,1
26,10/24/2022,  1708.470000,  1708.570000,1
27,10/25/2022,  1708.570000,  1708.680000,1
28,10/26/2022,  1708.680000,  1708.790000,1
29,10/27/2022,  1708.790000,  1708.900000,1
30,10/28/2022,  1708.900000,  1709.230000,1
31,10/31/2022,  1709.230000,  1709.340000,1
32,11/1/2022,  1709.340000,  1709.450000,1
33,11/2/2022,  1709.450000,  1709.560000,1
34,11/3/2022,  1709.560000,  1709.670000,1
35,11/4/2022,  1709.670000,  1710.020000,1
36,11/7/2022,  1710.020000,  1710.150000,1
37,11/8/2022,  1710.150000,  1710.260000,1
38,11/9/2022,  1710.260000,  1710.400000,1
39,11/10/2022,  1710.400000,  1710.530000,1
40,11/11/2022,  1710.530000,  1710.910000,1
41,11/14/2022,  1710.910000,  1711.040000,1
42,11/15/2022,  1711.040000,  1711.170000,1
43,11/16/2022,  1711.170000,  1711.300000,1
44,11/17/2022,  1711.300000,  1711.420000,1
45,11/18/2022,  1711.420000,  1711.810000,1
46,11/21/2022,  1711.810000,  1711.940000,1
47,11/22/2022,  1711.940000,  1712.070000,1
48,11/23/2022,  1712.070000,  1712.210000,1
49,11/24/2022,  1712.210000,  1712.340000,1
50,11/25/2022,  1712.340000,  1712.730000,1
51,11/28/2022,  1712.730000,  1712.860000,1
52,11/29/2022,  1712.860000,  1713.000000,1
53,11/30/2022,  1713.000000,  1713.130000,1
54,12/1/2022,  1713.130000,  1713.260000,1
55,12/2/2022,  1713.260000,  1713.670000,1
56,12/5/2022,  1713.670000,  1713.810000,1
57,12/6/2022,  1713.810000,  1713.950000,1
58,12/7/2022,  1713.950000,  1714.090000,1
59,12/8/2022,  1714.090000,  1714.230000,1
60,12/9/2022,  1714.230000,  1714.660000,1
61,12/12/2022,  1714.660000,  1714.790000,1
62,12/13/2022,  1714.790000,  1714.950000,1
63,12/14/2022,  1714.950000,  1715.100000,1
64,12/15/2022,  1715.100000,  1715.240000,1
65,12/16/2022,  1715.240000,,0
