,Date,Present,Next,Class
0,2022-09-16,1640.31,1640.62,1
1,2022-09-19,1640.62,1640.72,1
2,2022-09-20,1640.72,1640.82,1
3,2022-09-21,1640.82,1640.92,1
4,2022-09-22,1640.92,1641.03,1
5,2022-09-23,1641.03,1641.33,1
6,2022-09-26,1641.33,1641.43,1
7,2022-09-27,1641.43,1641.54,1
8,2022-09-28,1641.54,1641.64,1
9,2022-09-29,1641.64,1641.74,1
10,2022-09-30,1641.74,1642.04,1
11,2022-10-03,1642.04,1642.14,1
12,2022-10-04,1642.14,1642.24,1
13,2022-10-05,1642.24,1642.34,1
14,2022-10-06,1642.34,1642.45,1
15,2022-10-07,1642.45,1642.75,1
16,2022-10-10,1642.75,1642.85,1
17,2022-10-11,1642.85,1642.95,1
18,2022-10-12,1642.95,1643.05,1
19,2022-10-13,1643.05,1643.16,1
20,2022-10-14,1643.16,1643.47,1
21,2022-10-17,1643.47,1643.57,1
22,2022-10-18,1643.57,1643.67,1
23,2022-10-19,1643.67,1643.77,1
24,2022-10-20,1643.77,1643.87,1
25,2022-10-21,1643.87,1644.18,1
26,2022-10-24,1644.18,1644.29,1
27,2022-10-25,1644.29,1644.39,1
28,2022-10-26,1644.39,1644.49,1
29,2022-10-27,1644.49,1644.59,1
30,2022-10-28,1644.59,1644.9,1
31,2022-10-31,1644.9,1645.0,1
32,2022-11-01,1645.0,1645.1,1
33,2022-11-02,1645.1,1645.2,1
34,2022-11-03,1645.2,1645.3,1
35,2022-11-04,1645.3,1645.61,1
36,2022-11-07,1645.61,1645.71,1
37,2022-11-08,1645.71,1645.81,1
38,2022-11-09,1645.81,1645.92,1
39,2022-11-10,1645.92,1646.02,1
40,2022-11-11,1646.02,1646.34,1
41,2022-11-14,1646.34,1646.45,1
42,2022-11-15,1646.45,1646.55,1
43,2022-11-16,1646.55,1646.66,1
44,2022-11-17,1646.66,1646.77,1
45,2022-11-18,1646.77,1647.08,1
46,2022-11-21,1647.08,1647.19,1
47,2022-11-22,1647.19,1647.3,1
48,2022-11-23,1647.3,1647.4,1
49,2022-11-24,1647.4,1647.51,1
50,2022-11-25,1647.51,1647.83,1
51,2022-11-28,1647.83,1647.93,1
52,2022-11-29,1647.93,1648.04,1
53,2022-11-30,1648.04,1648.14,1
54,2022-12-01,1648.14,1648.25,1
55,2022-12-02,1648.25,1648.57,1
56,2022-12-05,1648.57,1648.69,1
57,2022-12-06,1648.69,1648.82,1
58,2022-12-07,1648.82,1648.94,1
59,2022-12-08,1648.94,1649.07,1
60,2022-12-09,1649.07,1649.44,1
61,2022-12-12,1649.44,1649.56,1
62,2022-12-13,1649.56,1649.69,1
63,2022-12-14,1649.69,1649.81,1
64,2022-12-15,1649.81,1649.94,1
65,2022-12-16,1649.94,,0
