,Date,Present,Next,Class
0,2022-09-16,1632.5579,1632.6578,1
1,2022-09-19,1632.6578,1633.0208,1
2,2022-09-20,1633.0208,1633.1089,1
3,2022-09-21,1633.1089,1632.7972,0
4,2022-09-22,1632.7972,1632.641,0
5,2022-09-23,1632.641,1632.5098,0
6,2022-09-26,1632.5098,1632.1156,0
7,2022-09-27,1632.1156,1631.4636,0
8,2022-09-28,1631.4636,1631.3274,0
9,2022-09-29,1631.3274,1631.188,0
10,2022-09-30,1631.188,1631.3541,1
11,2022-10-03,1631.3541,1631.7032,1
12,2022-10-04,1631.7032,1631.7378,1
13,2022-10-05,1631.7378,1631.8613,1
14,2022-10-06,1631.8613,1632.0325,1
15,2022-10-07,1632.0325,1632.257,1
16,2022-10-10,1632.257,1632.4501,1
17,2022-10-11,1632.4501,1632.5844,1
18,2022-10-12,1632.5844,1632.7061,1
19,2022-10-13,1632.7061,1632.7707,1
20,2022-10-14,1632.7707,1633.063,1
21,2022-10-17,1633.063,1633.1354,1
22,2022-10-18,1633.1354,1633.1789,1
23,2022-10-19,1633.1789,1633.2775,1
24,2022-10-20,1633.2775,1633.1629,0
25,2022-10-21,1633.1629,1633.2326,1
26,2022-10-24,1633.2326,1633.3628,1
27,2022-10-25,1633.3628,1633.4873,1
28,2022-10-26,1633.4873,1633.4785,0
29,2022-10-27,1633.4785,1633.4204,0
30,2022-10-28,1633.4204,1633.477,1
31,2022-10-31,1633.477,1633.5966,1
32,2022-11-01,1633.5966,1633.7109,1
33,2022-11-02,1633.7109,1633.7682,1
34,2022-11-03,1633.7682,1633.771,1
35,2022-11-04,1633.771,1633.8346,1
36,2022-11-07,1633.8346,1634.2618,1
37,2022-11-08,1634.2618,1634.416,1
38,2022-11-09,1634.416,1634.555,1
39,2022-11-10,1634.555,1634.6977,1
40,2022-11-11,1634.6977,1635.0993,1
41,2022-11-14,1635.0993,1635.2378,1
42,2022-11-15,1635.2378,1635.3453,1
43,2022-11-16,1635.3453,1635.2624,0
44,2022-11-17,1635.2624,1635.2553,0
45,2022-11-18,1635.2553,1635.6515,1
46,2022-11-21,1635.6515,1635.7642,1
47,2022-11-22,1635.7642,1635.9058,1
48,2022-11-23,1635.9058,1636.038,1
49,2022-11-24,1636.038,1636.0986,1
50,2022-11-25,1636.0986,1636.5114,1
51,2022-11-28,1636.5114,1636.6298,1
52,2022-11-29,1636.6298,1637.0105,1
53,2022-11-30,1637.0105,1637.1472,1
54,2022-12-01,1637.1472,1637.2816,1
55,2022-12-02,1637.2816,1637.6928,1
56,2022-12-05,1637.6928,1637.8386,1
57,2022-12-06,1637.8386,1637.9749,1
58,2022-12-07,1637.9749,1638.1186,1
59,2022-12-08,1638.1186,1638.5926,1
60,2022-12-09,1638.5926,1639.0124,1
61,2022-12-12,1639.0124,1639.1383,1
62,2022-12-13,1639.1383,1639.2272,1
63,2022-12-14,1639.2272,1639.3738,1
64,2022-12-15,1639.3738,1639.5339,1
65,2022-12-16,1639.5339,,0
