,Date,Present,Next,Class
0,2022-09-16,1588.2417,1588.358,1
1,2022-09-19,1588.358,1588.7618,1
2,2022-09-20,1588.7618,1588.9739,1
3,2022-09-21,1588.9739,1588.6202,0
4,2022-09-22,1588.6202,1588.4975,0
5,2022-09-23,1588.4975,1588.5176,1
6,2022-09-26,1588.5176,1588.2288,0
7,2022-09-27,1588.2288,1587.9878,0
8,2022-09-28,1587.9878,1588.2271,1
9,2022-09-29,1588.2271,1588.0944,0
10,2022-09-30,1588.0944,1588.261,1
11,2022-10-03,1588.261,1588.8139,1
12,2022-10-04,1588.8139,1588.8615,1
13,2022-10-05,1588.8615,1589.0004,1
14,2022-10-06,1589.0004,1589.3879,1
15,2022-10-07,1589.3879,1589.5109,1
16,2022-10-10,1589.5109,1589.7455,1
17,2022-10-11,1589.7455,1589.9503,1
18,2022-10-12,1589.9503,1590.1379,1
19,2022-10-13,1590.1379,1590.2132,1
20,2022-10-14,1590.2132,1590.5673,1
21,2022-10-17,1590.5673,1590.6801,1
22,2022-10-18,1590.6801,1590.5996,0
23,2022-10-19,1590.5996,1590.8531,1
24,2022-10-20,1590.8531,1590.7023,0
25,2022-10-21,1590.7023,1590.6013,0
26,2022-10-24,1590.6013,1590.8217,1
27,2022-10-25,1590.8217,1590.7712,0
28,2022-10-26,1590.7712,1590.833,1
29,2022-10-27,1590.833,1590.8403,1
30,2022-10-28,1590.8403,1591.042,1
31,2022-10-31,1591.042,1591.1569,1
32,2022-11-01,1591.1569,1591.3169,1
33,2022-11-02,1591.3169,1591.4361,1
34,2022-11-03,1591.4361,1591.3742,0
35,2022-11-04,1591.3742,1591.7927,1
36,2022-11-07,1591.7927,1592.2299,1
37,2022-11-08,1592.2299,1592.4891,1
38,2022-11-09,1592.4891,1592.6964,1
39,2022-11-10,1592.6964,1593.0989,1
40,2022-11-11,1593.0989,1593.5628,1
41,2022-11-14,1593.5628,1593.7454,1
42,2022-11-15,1593.7454,1593.8866,1
43,2022-11-16,1593.8866,1593.8775,0
44,2022-11-17,1593.8775,1593.8239,0
45,2022-11-18,1593.8239,1594.2926,1
46,2022-11-21,1594.2926,1594.4757,1
47,2022-11-22,1594.4757,1594.6866,1
48,2022-11-23,1594.6866,1594.7907,1
49,2022-11-24,1594.7907,1594.9492,1
50,2022-11-25,1594.9492,1595.4597,1
51,2022-11-28,1595.4597,1595.6776,1
52,2022-11-29,1595.6776,1596.0168,1
53,2022-11-30,1596.0168,1596.278,1
54,2022-12-01,1596.278,1596.4716,1
55,2022-12-02,1596.4716,1596.9087,1
56,2022-12-05,1596.9087,1597.13,1
57,2022-12-06,1597.13,1597.2127,1
58,2022-12-07,1597.2127,1597.1827,0
59,2022-12-08,1597.1827,1597.4054,1
60,2022-12-09,1597.4054,1597.8645,1
61,2022-12-12,1597.8645,1598.0694,1
62,2022-12-13,1598.0694,1598.1755,1
63,2022-12-14,1598.1755,1598.3898,1
64,2022-12-15,1598.3898,1598.6725,1
65,2022-12-16,1598.6725,,0
