,Date,Present,Next,Class
0,9/16/2022,  1667.000000,  1667.390000,1
1,9/19/2022,  1667.390000,  1667.610000,1
2,9/20/2022,  1667.610000,  1667.790000,1
3,9/21/2022,  1667.790000,  1667.980000,1
4,9/22/2022,  1667.980000,  1668.180000,1
5,9/23/2022,  1668.180000,  1668.470000,1
6,9/26/2022,  1668.470000,  1668.660000,1
7,9/27/2022,  1668.660000,  1668.860000,1
8,9/28/2022,  1668.860000,  1669.080000,1
9,9/29/2022,  1669.080000,  1669.160000,1
10,9/30/2022,  1669.160000,  1669.220000,1
11,10/3/2022,  1669.220000,  1669.470000,1
12,10/4/2022,  1669.470000,  1669.710000,1
13,10/5/2022,  1669.710000,  1669.920000,1
14,10/6/2022,  1669.920000,  1670.160000,1
15,10/7/2022,  1670.160000,  1670.520000,1
16,10/10/2022,  1670.520000,  1670.770000,1
17,10/11/2022,  1670.770000,  1671.000000,1
18,10/12/2022,  1671.000000,  1671.240000,1
19,10/13/2022,  1671.240000,  1671.330000,1
20,10/14/2022,  1671.330000,  1671.750000,1
21,10/17/2022,  1671.750000,  1672.010000,1
22,10/18/2022,  1672.010000,  1672.260000,1
23,10/19/2022,  1672.260000,  1672.470000,1
24,10/20/2022,  1672.470000,  1672.670000,1
25,10/21/2022,  1672.670000,  1673.130000,1
26,10/24/2022,  1673.130000,  1673.350000,1
27,10/25/2022,  1673.350000,  1673.550000,1
28,10/26/2022,  1673.550000,  1673.790000,1
29,10/27/2022,  1673.790000,  1674.000000,1
30,10/28/2022,  1674.000000,  1674.380000,1
31,10/31/2022,  1674.380000,  1674.610000,1
32,11/1/2022,  1674.610000,  1674.830000,1
33,11/2/2022,  1674.830000,  1675.000000,1
34,11/3/2022,  1675.000000,  1675.120000,1
35,11/4/2022,  1675.120000,  1675.530000,1
36,11/7/2022,  1675.530000,  1675.760000,1
37,11/8/2022,  1675.760000,  1676.000000,1
38,11/9/2022,  1676.000000,  1676.230000,1
39,11/10/2022,  1676.230000,  1676.470000,1
40,11/11/2022,  1676.470000,  1676.970000,1
41,11/14/2022,  1676.970000,  1677.190000,1
42,11/15/2022,  1677.190000,  1677.420000,1
43,11/16/2022,  1677.420000,  1677.640000,1
44,11/17/2022,  1677.640000,  1677.870000,1
45,11/18/2022,  1677.870000,  1678.300000,1
46,11/21/2022,  1678.300000,  1678.510000,1
47,11/22/2022,  1678.510000,  1678.680000,1
48,11/23/2022,  1678.680000,  1678.830000,1
49,11/24/2022,  1678.830000,  1678.980000,1
50,11/25/2022,  1678.980000,  1679.290000,1
51,11/28/2022,  1679.290000,  1679.390000,1
52,11/29/2022,  1679.390000,  1679.500000,1
53,11/30/2022,  1679.500000,  1679.740000,1
54,12/1/2022,  1679.740000,  1679.980000,1
55,12/2/2022,  1679.980000,  1680.280000,1
56,12/5/2022,  1680.280000,  1680.520000,1
57,12/6/2022,  1680.520000,  1680.560000,1
58,12/7/2022,  1680.560000,  1680.700000,1
59,12/8/2022,  1680.700000,  1680.890000,1
60,12/9/2022,  1680.890000,  1681.160000,1
61,12/12/2022,  1681.160000,  1681.280000,1
62,12/13/2022,  1681.280000,  1681.420000,1
63,12/14/2022,  1681.420000,  1681.470000,1
64,12/15/2022,  1681.470000,  1681.680000,1
65,12/16/2022,  1681.680000,,0
