,Date,Present,Next,Class
0,2022-09-16,1259.05,1259.36,1
1,2022-09-19,1259.36,1259.51,1
2,2022-09-20,1259.51,1259.66,1
3,2022-09-21,1259.66,1259.81,1
4,2022-09-22,1259.81,1259.96,1
5,2022-09-23,1259.96,1260.26,1
6,2022-09-26,1260.26,1260.41,1
7,2022-09-27,1260.41,1260.48,1
8,2022-09-28,1260.48,1260.6,1
9,2022-09-29,1260.6,1260.73,1
10,2022-09-30,1260.73,1260.81,1
11,2022-10-03,1260.81,1260.97,1
12,2022-10-04,1260.97,1261.12,1
13,2022-10-05,1261.12,1261.27,1
14,2022-10-06,1261.27,1261.42,1
15,2022-10-07,1261.42,1261.55,1
16,2022-10-10,1261.55,1261.7,1
17,2022-10-11,1261.7,1261.85,1
18,2022-10-12,1261.85,1262.01,1
19,2022-10-13,1262.01,1262.14,1
20,2022-10-14,1262.14,1262.34,1
21,2022-10-17,1262.34,1262.48,1
22,2022-10-18,1262.48,1262.55,1
23,2022-10-19,1262.55,1262.71,1
24,2022-10-20,1262.71,1262.8,1
25,2022-10-21,1262.8,1263.1,1
26,2022-10-24,1263.1,1263.28,1
27,2022-10-25,1263.28,1263.44,1
28,2022-10-26,1263.44,1263.56,1
29,2022-10-27,1263.56,1263.7,1
30,2022-10-28,1263.7,1263.91,1
31,2022-10-31,1263.91,1263.99,1
32,2022-11-01,1263.99,1264.15,1
33,2022-11-02,1264.15,1264.29,1
34,2022-11-03,1264.29,1264.36,1
35,2022-11-04,1264.36,1264.7,1
36,2022-11-07,1264.7,1264.85,1
37,2022-11-08,1264.85,1265.0,1
38,2022-11-09,1265.0,1265.16,1
39,2022-11-10,1265.16,1265.33,1
40,2022-11-11,1265.33,1265.66,1
41,2022-11-14,1265.66,1265.81,1
42,2022-11-15,1265.81,1265.97,1
43,2022-11-16,1265.97,1266.13,1
44,2022-11-17,1266.13,1266.27,1
45,2022-11-18,1266.27,1266.6,1
46,2022-11-21,1266.6,1266.76,1
47,2022-11-22,1266.76,1266.92,1
48,2022-11-23,1266.92,1267.07,1
49,2022-11-24,1267.07,1267.2,1
50,2022-11-25,1267.2,1267.55,1
51,2022-11-28,1267.55,1267.71,1
52,2022-11-29,1267.71,1267.87,1
53,2022-11-30,1267.87,1268.04,1
54,2022-12-01,1268.04,1268.18,1
55,2022-12-02,1268.18,1268.36,1
56,2022-12-05,1268.36,1268.45,1
57,2022-12-06,1268.45,1268.46,1
58,2022-12-07,1268.46,1268.54,1
59,2022-12-08,1268.54,1268.64,1
60,2022-12-09,1268.64,1268.71,1
61,2022-12-12,1268.71,1268.74,1
62,2022-12-13,1268.74,1268.83,1
63,2022-12-14,1268.83,1268.84,1
64,2022-12-15,1268.84,1268.93,1
65,2022-12-16,1268.93,,0
