,Date,Present,Next,Class
0,9/16/2022,  1709.585100,  1710.043300,1
1,9/19/2022,  1710.043300,  1710.216100,1
2,9/20/2022,  1710.216100,  1710.388500,1
3,9/21/2022,  1710.388500,  1710.556300,1
4,9/22/2022,  1710.556300,  1710.709100,1
5,9/23/2022,  1710.709100,  1711.187000,1
6,9/26/2022,  1711.187000,  1711.363800,1
7,9/27/2022,  1711.363800,  1711.523500,1
8,9/28/2022,  1711.523500,  1711.694500,1
9,9/29/2022,  1711.694500,  1711.821700,1
10,9/30/2022,  1711.821700,  1712.326800,1
11,10/3/2022,  1712.326800,  1712.517700,1
12,10/4/2022,  1712.517700,  1712.695100,1
13,10/5/2022,  1712.695100,  1712.860900,1
14,10/6/2022,  1712.860900,  1713.044400,1
15,10/7/2022,  1713.044400,  1713.559600,1
16,10/10/2022,  1713.559600,  1713.748000,1
17,10/11/2022,  1713.748000,  1713.934200,1
18,10/12/2022,  1713.934200,  1714.125100,1
19,10/13/2022,  1714.125100,  1714.299900,1
20,10/14/2022,  1714.299900,  1714.817500,1
21,10/17/2022,  1714.817500,  1714.926400,1
22,10/18/2022,  1714.926400,  1715.021500,1
23,10/19/2022,  1715.021500,  1715.173100,1
24,10/20/2022,  1715.173100,  1715.305500,1
25,10/21/2022,  1715.305500,  1715.745200,1
26,10/24/2022,  1715.745200,  1715.930200,1
27,10/25/2022,  1715.930200,  1716.100700,1
28,10/26/2022,  1716.100700,  1716.268800,1
29,10/27/2022,  1716.268800,  1716.383900,1
30,10/28/2022,  1716.383900,  1716.693700,1
31,10/31/2022,  1716.693700,  1716.842700,1
32,11/1/2022,  1716.842700,  1717.010000,1
33,11/2/2022,  1717.010000,  1717.188500,1
34,11/3/2022,  1717.188500,  1717.356200,1
35,11/4/2022,  1717.356200,  1717.865700,1
36,11/7/2022,  1717.865700,  1718.046800,1
37,11/8/2022,  1718.046800,  1718.222600,1
38,11/9/2022,  1718.222600,  1718.400400,1
39,11/10/2022,  1718.400400,  1718.573100,1
40,11/11/2022,  1718.573100,  1719.119800,1
41,11/14/2022,  1719.119800,  1719.304100,1
42,11/15/2022,  1719.304100,  1719.500700,1
43,11/16/2022,  1719.500700,  1719.676600,1
44,11/17/2022,  1719.676600,  1719.849900,1
45,11/18/2022,  1719.849900,  1720.358700,1
46,11/21/2022,  1720.358700,  1720.549400,1
47,11/22/2022,  1720.549400,  1720.745300,1
48,11/23/2022,  1720.745300,  1720.932800,1
49,11/24/2022,  1720.932800,  1721.126300,1
50,11/25/2022,  1721.126300,  1721.715400,1
51,11/28/2022,  1721.715400,  1721.909500,1
52,11/29/2022,  1721.909500,  1722.086600,1
53,11/30/2022,  1722.086600,  1722.277100,1
54,12/1/2022,  1722.277100,  1722.461300,1
55,12/2/2022,  1722.461300,  1723.056400,1
56,12/5/2022,  1723.056400,  1723.245400,1
57,12/6/2022,  1723.245400,  1723.433100,1
58,12/7/2022,  1723.433100,  1723.621400,1
59,12/8/2022,  1723.621400,  1723.800200,1
60,12/9/2022,  1723.800200,  1724.357800,1
61,12/12/2022,  1724.357800,  1724.547000,1
62,12/13/2022,  1724.547000,  1724.733300,1
63,12/14/2022,  1724.733300,  1724.918400,1
64,12/15/2022,  1724.918400,  1725.105100,1
65,12/16/2022,  1725.105100,,0
