,Unnamed: 0,date,value,Next,Class
0,0,2022-09-19,2849.83,2851.87,1
1,1,2022-09-20,2851.87,2850.41,0
2,2,2022-09-21,2850.41,2846.65,0
3,3,2022-09-22,2846.65,2842.77,0
4,4,2022-09-23,2842.77,2835.97,0
5,5,2022-09-26,2835.97,2834.39,0
6,6,2022-09-27,2834.39,2830.89,0
7,7,2022-09-28,2830.89,2832.59,1
8,8,2022-09-29,2832.59,2830.61,0
9,9,2022-09-30,2830.61,2830.55,0
10,10,2022-10-03,2830.55,2835.13,1
11,11,2022-10-04,2835.13,2839.73,1
12,12,2022-10-05,2839.73,2838.96,0
13,13,2022-10-06,2838.96,2830.06,0
14,14,2022-10-07,2830.06,2828.26,0
15,15,2022-10-10,2828.26,2827.02,0
16,16,2022-10-11,2827.02,2825.73,0
17,17,2022-10-12,2825.73,2826.62,1
18,18,2022-10-13,2826.62,2825.4,0
19,19,2022-10-14,2825.4,2822.65,0
20,20,2022-10-17,2822.65,2822.93,1
21,21,2022-10-18,2822.93,2820.31,0
22,22,2022-10-19,2820.31,2818.06,0
23,23,2022-10-20,2818.06,2811.41,0
24,24,2022-10-21,2811.41,2811.16,0
25,25,2022-10-24,2811.16,2810.55,0
26,26,2022-10-25,2810.55,2810.8,1
27,27,2022-10-26,2810.8,2814.64,1
28,28,2022-10-27,2814.64,2815.7,1
29,29,2022-10-28,2815.7,2815.68,0
30,30,2022-10-31,2815.68,2818.01,1
31,31,2022-11-01,2818.01,2821.87,1
32,32,2022-11-02,2821.87,2819.41,0
33,33,2022-11-03,2819.41,2816.91,0
34,34,2022-11-04,2816.91,2812.79,0
35,35,2022-11-07,2812.79,2813.32,1
36,36,2022-11-08,2813.32,2815.71,1
37,37,2022-11-09,2815.71,2817.25,1
38,38,2022-11-10,2817.25,2826.08,1
39,39,2022-11-11,2826.08,2829.16,1
40,40,2022-11-14,2829.16,2833.5,1
41,41,2022-11-15,2833.5,2835.34,1
42,42,2022-11-16,2835.34,2834.05,0
43,43,2022-11-17,2834.05,2833.64,0
44,44,2022-11-18,2833.64,2833.34,0
45,45,2022-11-21,2833.34,2834.83,1
46,46,2022-11-22,2834.83,2840.69,1
47,47,2022-11-23,2840.69,2845.48,1
48,48,2022-11-24,2845.48,2846.65,1
49,49,2022-11-25,2846.65,2847.77,1
50,50,2022-11-28,2847.77,2849.64,1
51,51,2022-11-29,2849.64,2853.34,1
52,52,2022-11-30,2853.34,2861.07,1
53,53,2022-12-01,2861.07,2865.47,1
54,54,2022-12-02,2865.47,2863.38,0
55,55,2022-12-05,2863.38,2862.19,0
56,56,2022-12-06,2862.19,2851.45,0
57,57,2022-12-07,2851.45,2851.55,1
58,58,2022-12-08,2851.55,2852.86,1
59,59,2022-12-09,2852.86,2854.53,1
60,60,2022-12-12,2854.53,2852.74,0
61,61,2022-12-13,2852.74,2856.53,1
62,62,2022-12-14,2856.53,2856.2,0
63,63,2022-12-15,2856.2,2858.26,1
64,64,2022-12-16,2858.26,2859.61,1
65,65,2022-12-19,2859.61,,0
