,Unnamed: 0,date,value,Next,Class
0,0,2022-09-19,4238.9411,4239.5798,1
1,1,2022-09-20,4239.5798,4240.2186,1
2,2,2022-09-21,4240.2186,4240.8575,1
3,3,2022-09-22,4240.8575,4241.4965,1
4,4,2022-09-23,4241.4965,4243.4139,1
5,5,2022-09-26,4243.4139,4244.0533,1
6,6,2022-09-27,4244.0533,4244.6928,1
7,7,2022-09-28,4244.6928,4245.3324,1
8,8,2022-09-29,4245.3324,4245.9721,1
9,9,2022-09-30,4245.9721,4247.8915,1
10,10,2022-10-03,4247.8915,4248.5316,1
11,11,2022-10-04,4248.5316,4249.1718,1
12,12,2022-10-05,4249.1718,4249.8121,1
13,13,2022-10-06,4249.8121,4250.4525,1
14,14,2022-10-07,4250.4525,4252.3739,1
15,15,2022-10-10,4252.3739,4253.0147,1
16,16,2022-10-11,4253.0147,4253.6556,1
17,17,2022-10-12,4253.6556,4254.2966,1
18,18,2022-10-13,4254.2966,4254.9377,1
19,19,2022-10-14,4254.9377,4256.8612,1
20,20,2022-10-17,4256.8612,4257.5026,1
21,21,2022-10-18,4257.5026,4258.1441,1
22,22,2022-10-19,4258.1441,4258.7857,1
23,23,2022-10-20,4258.7857,4259.4274,1
24,24,2022-10-21,4259.4274,4261.3529,1
25,25,2022-10-24,4261.3529,4261.995,1
26,26,2022-10-25,4261.995,4262.6372,1
27,27,2022-10-26,4262.6372,4263.2795,1
28,28,2022-10-27,4263.2795,4263.9219,1
29,29,2022-10-28,4263.9219,4265.8494,1
30,30,2022-10-31,4265.8494,4266.4922,1
31,31,2022-11-01,4266.4922,4267.1351,1
32,32,2022-11-02,4267.1351,4267.7781,1
33,33,2022-11-03,4267.7781,4268.4212,1
34,34,2022-11-04,4268.4212,4270.3508,1
35,35,2022-11-07,4270.3508,4270.9943,1
36,36,2022-11-08,4270.9943,4271.6379,1
37,37,2022-11-09,4271.6379,4272.2816,1
38,38,2022-11-10,4272.2816,4272.9254,1
39,39,2022-11-11,4272.9254,4274.857,1
40,40,2022-11-14,4274.857,4275.5012,1
41,41,2022-11-15,4275.5012,4276.1455,1
42,42,2022-11-16,4276.1455,4276.7899,1
43,43,2022-11-17,4276.7899,4277.4343,1
44,44,2022-11-18,4277.4343,4279.3679,1
45,45,2022-11-21,4279.3679,4280.0127,1
46,46,2022-11-22,4280.0127,4280.6576,1
47,47,2022-11-23,4280.6576,4281.3026,1
48,48,2022-11-24,4281.3026,4281.9477,1
49,49,2022-11-25,4281.9477,4283.8834,1
50,50,2022-11-28,4283.8834,4284.5289,1
51,51,2022-11-29,4284.5289,4285.1745,1
52,52,2022-11-30,4285.1745,4285.8202,1
53,53,2022-12-01,4285.8202,4286.466,1
54,54,2022-12-02,4286.466,4288.4037,1
55,55,2022-12-05,4288.4037,4289.0499,1
56,56,2022-12-06,4289.0499,4289.6962,1
57,57,2022-12-07,4289.6962,4290.3426,1
58,58,2022-12-08,4290.3426,4290.9891,1
59,59,2022-12-09,4290.9891,4292.9289,1
60,60,2022-12-12,4292.9289,4293.5758,1
61,61,2022-12-13,4293.5758,4294.2228,1
62,62,2022-12-14,4294.2228,4294.8699,1
63,63,2022-12-15,4294.8699,4295.5171,1
64,64,2022-12-16,4295.5171,4297.4589,1
65,65,2022-12-19,4297.4589,,0
