,Date,Present,Next,Class
0,9/16/2022,  4237.025700,  4238.941100,1
1,9/19/2022,  4238.941100,  4239.579800,1
2,9/20/2022,  4239.579800,  4240.218600,1
3,9/21/2022,  4240.218600,  4240.857500,1
4,9/22/2022,  4240.857500,  4241.496500,1
5,9/23/2022,  4241.496500,  4243.413900,1
6,9/26/2022,  4243.413900,  4244.053300,1
7,9/27/2022,  4244.053300,  4244.692800,1
8,9/28/2022,  4244.692800,  4245.332400,1
9,9/29/2022,  4245.332400,  4245.972100,1
10,9/30/2022,  4245.972100,  4247.891500,1
11,10/3/2022,  4247.891500,  4248.531600,1
12,10/4/2022,  4248.531600,  4249.171800,1
13,10/5/2022,  4249.171800,  4249.812100,1
14,10/6/2022,  4249.812100,  4250.452500,1
15,10/7/2022,  4250.452500,  4252.373900,1
16,10/10/2022,  4252.373900,  4253.014700,1
17,10/11/2022,  4253.014700,  4253.655600,1
18,10/12/2022,  4253.655600,  4254.296600,1
19,10/13/2022,  4254.296600,  4254.937700,1
20,10/14/2022,  4254.937700,  4256.861200,1
21,10/17/2022,  4256.861200,  4257.502600,1
22,10/18/2022,  4257.502600,  4258.144100,1
23,10/19/2022,  4258.144100,  4258.785700,1
24,10/20/2022,  4258.785700,  4259.427400,1
25,10/21/2022,  4259.427400,  4261.352900,1
26,10/24/2022,  4261.352900,  4261.995000,1
27,10/25/2022,  4261.995000,  4262.637200,1
28,10/26/2022,  4262.637200,  4263.279500,1
29,10/27/2022,  4263.279500,  4263.921900,1
30,10/28/2022,  4263.921900,  4265.849400,1
31,10/31/2022,  4265.849400,  4266.492200,1
32,11/1/2022,  4266.492200,  4267.135100,1
33,11/2/2022,  4267.135100,  4267.778100,1
34,11/3/2022,  4267.778100,  4268.421200,1
35,11/4/2022,  4268.421200,  4270.350800,1
36,11/7/2022,  4270.350800,  4270.994300,1
37,11/8/2022,  4270.994300,  4271.637900,1
38,11/9/2022,  4271.637900,  4272.281600,1
39,11/10/2022,  4272.281600,  4272.925400,1
40,11/11/2022,  4272.925400,  4274.857000,1
41,11/14/2022,  4274.857000,  4275.501200,1
42,11/15/2022,  4275.501200,  4276.145500,1
43,11/16/2022,  4276.145500,  4276.789900,1
44,11/17/2022,  4276.789900,  4277.434300,1
45,11/18/2022,  4277.434300,  4279.367900,1
46,11/21/2022,  4279.367900,  4280.012700,1
47,11/22/2022,  4280.012700,  4280.657600,1
48,11/23/2022,  4280.657600,  4281.302600,1
49,11/24/2022,  4281.302600,  4281.947700,1
50,11/25/2022,  4281.947700,  4283.883400,1
51,11/28/2022,  4283.883400,  4284.528900,1
52,11/29/2022,  4284.528900,  4285.174500,1
53,11/30/2022,  4285.174500,  4285.820200,1
54,12/1/2022,  4285.820200,  4286.466000,1
55,12/2/2022,  4286.466000,  4288.403700,1
56,12/5/2022,  4288.403700,  4289.049900,1
57,12/6/2022,  4289.049900,  4289.696200,1
58,12/7/2022,  4289.696200,  4290.342600,1
59,12/8/2022,  4290.342600,  4290.989100,1
60,12/9/2022,  4290.989100,  4292.928900,1
61,12/12/2022,  4292.928900,  4293.575800,1
62,12/13/2022,  4293.575800,  4294.222800,1
63,12/14/2022,  4294.222800,  4294.869900,1
64,12/15/2022,  4294.869900,  4295.517100,1
65,12/16/2022,  4295.517100,,0
