,Date,Present,Next,Class
0,2022-09-16,1357.52,1358.01,1
1,2022-09-19,1358.01,1358.05,1
2,2022-09-20,1358.05,1357.91,0
3,2022-09-21,1357.91,1356.61,0
4,2022-09-22,1356.61,1354.72,0
5,2022-09-23,1354.72,1353.38,0
6,2022-09-26,1353.38,1352.19,0
7,2022-09-27,1352.19,1350.06,0
8,2022-09-28,1350.06,1350.45,1
9,2022-09-29,1350.45,1349.57,0
10,2022-09-30,1349.57,1350.34,1
11,2022-10-03,1350.34,1351.89,1
12,2022-10-04,1351.89,1354.49,1
13,2022-10-05,1354.49,1355.35,1
14,2022-10-06,1355.35,1354.44,0
15,2022-10-07,1354.44,1354.32,0
16,2022-10-10,1354.32,1353.23,0
17,2022-10-11,1353.23,1353.38,1
18,2022-10-12,1353.38,1353.86,1
19,2022-10-13,1353.86,1353.67,0
20,2022-10-14,1353.67,1353.06,0
21,2022-10-17,1353.06,1352.08,0
22,2022-10-18,1352.08,1352.4,1
23,2022-10-19,1352.4,1351.62,0
24,2022-10-20,1351.62,1348.63,0
25,2022-10-21,1348.63,1346.72,0
26,2022-10-24,1346.72,1346.08,0
27,2022-10-25,1346.08,1346.65,1
28,2022-10-26,1346.65,1348.47,1
29,2022-10-27,1348.47,1349.35,1
30,2022-10-28,1349.35,1350.05,1
31,2022-10-31,1350.05,1350.09,1
32,2022-11-01,1350.09,1351.33,1
33,2022-11-02,1351.33,1351.03,0
34,2022-11-03,1351.03,1350.05,0
35,2022-11-04,1350.05,1351.0,1
36,2022-11-07,1351.0,1351.34,1
37,2022-11-08,1351.34,1352.8,1
38,2022-11-09,1352.8,1353.72,1
39,2022-11-10,1353.72,1356.32,1
40,2022-11-11,1356.32,1358.84,1
41,2022-11-14,1358.84,1360.48,1
42,2022-11-15,1360.48,1361.28,1
43,2022-11-16,1361.28,1361.39,1
44,2022-11-17,1361.39,1362.19,1
45,2022-11-18,1362.19,1363.0,1
46,2022-11-21,1363.0,1363.58,1
47,2022-11-22,1363.58,1366.34,1
48,2022-11-23,1366.34,1369.12,1
49,2022-11-24,1369.12,1368.64,0
50,2022-11-25,1368.64,1368.04,0
51,2022-11-28,1368.04,1368.32,1
52,2022-11-29,1368.32,1368.89,1
53,2022-11-30,1368.89,1372.09,1
54,2022-12-01,1372.09,1372.89,1
55,2022-12-02,1372.89,1370.58,0
56,2022-12-05,1370.58,1370.96,1
57,2022-12-06,1370.96,1367.63,0
58,2022-12-07,1367.63,1366.03,0
59,2022-12-08,1366.03,1365.06,0
60,2022-12-09,1365.06,1364.91,0
61,2022-12-12,1364.91,1364.81,0
62,2022-12-13,1364.81,1365.89,1
63,2022-12-14,1365.89,1364.22,0
64,2022-12-15,1364.22,1365.38,1
65,2022-12-16,1365.38,,0
