,date,value,Next ,Class
0,2022-09-16,2652.53,2652.97,1
1,2022-09-19,2652.97,2654.66,1
2,2022-09-20,2654.66,2652.17,0
3,2022-09-21,2652.17,2648.18,0
4,2022-09-22,2648.18,2641.43,0
5,2022-09-23,2641.43,2634.77,0
6,2022-09-26,2634.77,2633.18,0
7,2022-09-27,2633.18,2628.13,0
8,2022-09-28,2628.13,2630.29,1
9,2022-09-29,2630.29,2627.19,0
10,2022-09-30,2627.19,2630.85,1
11,2022-10-03,2630.85,2636.25,1
12,2022-10-04,2636.25,2644.52,1
13,2022-10-05,2644.52,2642.66,0
14,2022-10-06,2642.66,2639.33,0
15,2022-10-07,2639.33,2637.6,0
16,2022-10-10,2637.6,2633.73,0
17,2022-10-11,2633.73,2633.43,0
18,2022-10-12,2633.43,2633.64,1
19,2022-10-13,2633.64,2632.96,0
20,2022-10-14,2632.96,2627.22,0
21,2022-10-17,2627.22,2627.8,1
22,2022-10-18,2627.8,2625.3,0
23,2022-10-19,2625.3,2619.84,0
24,2022-10-20,2619.84,2608.62,0
25,2022-10-21,2608.62,2608.34,0
26,2022-10-24,2608.34,2606.09,0
27,2022-10-25,2606.09,2605.59,0
28,2022-10-26,2605.59,2609.28,1
29,2022-10-27,2609.28,2612.89,1
30,2022-10-28,2612.89,2612.69,0
31,2022-10-31,2612.69,2618.56,1
32,2022-11-01,2618.56,2627.76,1
33,2022-11-02,2627.76,2626.05,0
34,2022-11-03,2626.05,2622.31,0
35,2022-11-04,2622.31,2623.57,1
36,2022-11-07,2623.57,2624.54,1
37,2022-11-08,2624.54,2629.62,1
38,2022-11-09,2629.62,2633.91,1
39,2022-11-10,2633.91,2644.54,1
40,2022-11-11,2644.54,2654.0,1
41,2022-11-14,2654.0,2662.96,1
42,2022-11-15,2662.96,2666.72,1
43,2022-11-16,2666.72,2666.69,0
44,2022-11-17,2666.69,2666.74,1
45,2022-11-18,2666.74,2665.21,0
46,2022-11-21,2665.21,2667.09,1
47,2022-11-22,2667.09,2674.24,1
48,2022-11-23,2674.24,2684.35,1
49,2022-11-24,2684.35,2686.97,1
50,2022-11-25,2686.97,2690.76,1
51,2022-11-28,2690.76,2693.46,1
52,2022-11-29,2693.46,2699.19,1
53,2022-11-30,2699.19,2710.84,1
54,2022-12-01,2710.84,2715.65,1
55,2022-12-02,2715.65,2711.6,0
56,2022-12-05,2711.6,2707.66,0
57,2022-12-06,2707.66,2704.22,0
58,2022-12-07,2704.22,2704.91,1
59,2022-12-08,2704.91,2707.06,1
60,2022-12-09,2707.06,2708.59,1
61,2022-12-12,2708.59,2708.52,0
62,2022-12-13,2708.52,2709.8,1
63,2022-12-14,2709.8,2711.85,1
64,2022-12-15,2711.85,2713.7,1
65,2022-12-16,2713.7,,0
