,date,value,Next,Class
0,2022-09-16,1060.87,1061.25,1
1,2022-09-19,1061.25,1061.44,1
2,2022-09-20,1061.44,1061.64,1
3,2022-09-21,1061.64,1061.85,1
4,2022-09-22,1061.85,1062.05,1
5,2022-09-23,1062.05,1062.45,1
6,2022-09-26,1062.45,1062.64,1
7,2022-09-27,1062.64,1062.82,1
8,2022-09-28,1062.82,1063.0,1
9,2022-09-29,1063.0,1063.18,1
10,2022-09-30,1063.18,1063.35,1
11,2022-10-03,1063.35,1063.55,1
12,2022-10-04,1063.55,1063.75,1
13,2022-10-05,1063.75,1063.95,1
14,2022-10-06,1063.95,1064.14,1
15,2022-10-07,1064.14,1064.43,1
16,2022-10-10,1064.43,1064.62,1
17,2022-10-11,1064.62,1064.83,1
18,2022-10-12,1064.83,1065.02,1
19,2022-10-13,1065.02,1065.19,1
20,2022-10-14,1065.19,1065.5,1
21,2022-10-17,1065.5,1065.69,1
22,2022-10-18,1065.69,1065.76,1
23,2022-10-19,1065.76,1065.94,1
24,2022-10-20,1065.94,1066.01,1
25,2022-10-21,1066.01,1066.36,1
26,2022-10-24,1066.36,1066.54,1
27,2022-10-25,1066.54,1066.72,1
28,2022-10-26,1066.72,1066.9,1
29,2022-10-27,1066.9,1067.07,1
30,2022-10-28,1067.07,1067.36,1
31,2022-10-31,1067.36,1067.54,1
32,2022-11-01,1067.54,1067.73,1
33,2022-11-02,1067.73,1067.91,1
34,2022-11-03,1067.91,1068.03,1
35,2022-11-04,1068.03,1068.43,1
36,2022-11-07,1068.43,1068.64,1
37,2022-11-08,1068.64,1068.84,1
38,2022-11-09,1068.84,1069.03,1
39,2022-11-10,1069.03,1069.24,1
40,2022-11-11,1069.24,1069.64,1
41,2022-11-14,1069.64,1069.83,1
42,2022-11-15,1069.83,1070.02,1
43,2022-11-16,1070.02,1070.21,1
44,2022-11-17,1070.21,1070.4,1
45,2022-11-18,1070.4,1070.82,1
46,2022-11-21,1070.82,1071.01,1
47,2022-11-22,1071.01,1071.2,1
48,2022-11-23,1071.2,1071.39,1
49,2022-11-24,1071.39,1071.59,1
50,2022-11-25,1071.59,1071.99,1
51,2022-11-28,1071.99,1072.2,1
52,2022-11-29,1072.2,1072.4,1
53,2022-11-30,1072.4,1072.61,1
54,2022-12-01,1072.61,1072.82,1
55,2022-12-02,1072.82,1073.24,1
56,2022-12-05,1073.24,1073.47,1
57,2022-12-06,1073.47,1073.63,1
58,2022-12-07,1073.63,1073.82,1
59,2022-12-08,1073.82,1074.03,1
60,2022-12-09,1074.03,1074.36,1
61,2022-12-12,1074.36,1074.39,1
62,2022-12-13,1074.39,1074.57,1
63,2022-12-14,1074.57,1074.59,1
64,2022-12-15,1074.59,1074.78,1
65,2022-12-16,1074.78,,0
