,date,value,next,class
0,2022-09-19,1226.07,1226.33,1
1,2022-09-20,1226.33,1226.57,1
2,2022-09-21,1226.57,1226.84,1
3,2022-09-22,1226.84,1227.03,1
4,2022-09-23,1227.03,1227.43,1
5,2022-09-26,1227.43,1227.61,1
6,2022-09-27,1227.61,1227.8,1
7,2022-09-28,1227.8,1228.01,1
8,2022-09-29,1228.01,1228.21,1
9,2022-09-30,1228.21,1228.31,1
10,2022-10-03,1228.31,1228.59,1
11,2022-10-04,1228.59,1228.83,1
12,2022-10-05,1228.83,1229.08,1
13,2022-10-06,1229.08,1229.31,1
14,2022-10-07,1229.31,1229.73,1
15,2022-10-10,1229.73,1229.92,1
16,2022-10-11,1229.92,1230.13,1
17,2022-10-12,1230.13,1230.39,1
18,2022-10-13,1230.39,1230.42,1
19,2022-10-14,1230.42,1230.92,1
20,2022-10-17,1230.92,1231.15,1
21,2022-10-18,1231.15,1230.75,0
22,2022-10-19,1230.75,1230.96,1
23,2022-10-20,1230.96,1231.17,1
24,2022-10-21,1231.17,1231.77,1
25,2022-10-24,1231.77,1231.96,1
26,2022-10-25,1231.96,1232.15,1
27,2022-10-26,1232.15,1232.39,1
28,2022-10-27,1232.39,1232.45,1
29,2022-10-28,1232.45,1232.76,1
30,2022-10-31,1232.76,1233.1,1
31,2022-11-01,1233.1,1233.33,1
32,2022-11-02,1233.33,1233.52,1
33,2022-11-03,1233.52,1233.72,1
34,2022-11-04,1233.72,1234.21,1
35,2022-11-07,1234.21,1234.43,1
36,2022-11-08,1234.43,1234.65,1
37,2022-11-09,1234.65,1234.88,1
38,2022-11-10,1234.88,1235.13,1
39,2022-11-11,1235.13,1235.63,1
40,2022-11-14,1235.63,1235.86,1
41,2022-11-15,1235.86,1236.08,1
42,2022-11-16,1236.08,1236.31,1
43,2022-11-17,1236.31,1236.54,1
44,2022-11-18,1236.54,1237.01,1
45,2022-11-21,1237.01,1237.23,1
46,2022-11-22,1237.23,1237.45,1
47,2022-11-23,1237.45,1237.7,1
48,2022-11-24,1237.7,1237.93,1
49,2022-11-25,1237.93,1238.39,1
50,2022-11-28,1238.39,1238.62,1
51,2022-11-29,1238.62,1238.87,1
52,2022-11-30,1238.87,1239.1,1
53,2022-12-01,1239.1,1239.35,1
54,2022-12-02,1239.35,1239.8,1
55,2022-12-05,1239.8,1240.02,1
56,2022-12-06,1240.02,1240.29,1
57,2022-12-07,1240.29,1240.53,1
58,2022-12-08,1240.53,1240.78,1
59,2022-12-09,1240.78,1241.23,1
60,2022-12-12,1241.23,1241.29,1
61,2022-12-13,1241.29,1241.53,1
62,2022-12-14,1241.53,1241.56,1
63,2022-12-15,1241.56,1241.81,1
64,2022-12-16,1241.81,1242.14,1
65,2022-12-19,1242.14,,0
