,timestamp,open,low,high,close,volume
0,2022-09-16,4050,3930,4050,3930,121776100
1,2022-09-19,3950,3860,3960,3910,134433200
2,2022-09-20,3930,3860,3970,3890,63910800
3,2022-09-21,3880,3800,3930,3910,67111800
4,2022-09-22,3910,3890,4120,4100,150225400
5,2022-09-23,4050,4010,4080,4050,77100300
6,2022-09-26,3940,3830,3940,3860,163896500
7,2022-09-27,3900,3870,3940,3910,89367200
8,2022-09-28,3900,3860,3960,3870,72114400
9,2022-09-29,3900,3900,3970,3950,91134100
10,2022-09-30,3920,3870,3960,3960,104670300
11,2022-10-03,3930,3920,4000,3960,54514500
12,2022-10-04,3990,3990,4120,4120,145080300
13,2022-10-05,4140,4080,4170,4080,57945800
14,2022-10-06,4080,4040,4250,4100,159208200
15,2022-10-07,4100,4080,4170,4140,49875500
16,2022-10-10,4050,3920,4050,3920,107867500
17,2022-10-11,3930,3890,3950,3930,59752100
18,2022-10-12,3960,3960,4050,4000,101116400
19,2022-10-13,4090,4010,4090,4020,53264100
20,2022-10-14,4000,3950,4050,3950,45091900
21,2022-10-17,3950,3900,3960,3960,42063700
22,2022-10-18,3980,3840,4000,3860,95622800
23,2022-10-19,3850,3800,3880,3840,69215500
24,2022-10-20,3840,3830,4000,4000,119895500
25,2022-10-21,3980,3950,4020,3960,37327700
26,2022-10-24,3970,3910,3990,3920,47873100
27,2022-10-25,3890,3840,3920,3880,74608100
28,2022-10-26,3880,3850,3950,3930,73155800
29,2022-10-27,3950,3920,4020,3980,81920000
30,2022-10-28,4000,3900,4000,3910,49317400
31,2022-10-31,3940,3920,3980,3980,76758600
32,2022-11-01,3940,3720,3940,3750,175308100
33,2022-11-02,3750,3690,3820,3740,101047500
34,2022-11-03,3740,3730,3810,3750,57965500
35,2022-11-04,3730,3710,3790,3750,78870300
36,2022-11-07,3500,3450,3560,3480,0
37,2022-11-08,3500,3450,3560,3480,0
38,2022-11-09,3500,3450,3560,3480,0
39,2022-11-10,3500,3450,3560,3480,153812400
40,2022-11-11,3500,3440,3540,3490,96575300
41,2022-11-14,3490,3490,3560,3500,60258000
42,2022-11-15,3550,3480,3570,3510,55915600
43,2022-11-16,3610,3520,3640,3570,86525300
44,2022-11-17,3530,3500,3610,3590,73229600
45,2022-11-18,3590,3560,3620,3590,40581500
46,2022-11-21,3610,3610,3710,3690,65550500
47,2022-11-22,3720,3650,3750,3700,59965000
48,2022-11-23,3720,3720,3790,3750,45573200
49,2022-11-24,3760,3740,3780,3750,24418800
50,2022-11-25,3750,3690,3750,3730,29644700
51,2022-11-28,3740,3720,3780,3740,40277700
52,2022-11-29,3790,3780,3880,3880,94151500
53,2022-11-30,3900,3850,3930,3870,152171400
54,2022-12-01,3900,3850,3930,3870,0
55,2022-12-02,3890,3820,3890,3850,36977700
56,2022-12-05,3880,3760,3890,3780,51037700
57,2022-12-06,3800,3750,3830,3810,56845900
58,2022-12-07,3820,3780,3870,3830,59277300
59,2022-12-08,3830,3710,3840,3740,63665900
60,2022-12-09,3730,3630,3740,3680,67555400
