,timestamp,open,low,high,close,volume
0,2022-09-16,7000,6900,7050,6900,65885100
1,2022-09-19,6950,6925,7225,7125,52232700
2,2022-09-20,7150,7100,7250,7175,47337700
3,2022-09-21,7125,7100,7200,7150,26007500
4,2022-09-22,7025,7000,7225,7175,26295200
5,2022-09-23,7100,7050,7175,7150,22258800
6,2022-09-26,7000,6850,7025,6975,61422800
7,2022-09-27,7000,6950,7050,6950,42809400
8,2022-09-28,6950,6800,7000,6800,50825400
9,2022-09-29,6850,6700,6900,6775,36653400
10,2022-09-30,6700,6600,6750,6625,71017400
11,2022-10-03,6650,6600,6700,6625,27280600
12,2022-10-04,6725,6700,6800,6725,33322400
13,2022-10-05,6800,6675,6825,6675,31019300
14,2022-10-06,6675,6600,6750,6600,37002600
15,2022-10-07,6550,6450,6575,6475,54850200
16,2022-10-10,6425,6375,6525,6500,34319700
17,2022-10-11,6400,6400,6575,6525,35320000
18,2022-10-12,6450,6350,6475,6350,72794100
19,2022-10-13,6375,6275,6400,6350,44281200
20,2022-10-14,6500,6350,6500,6350,45496900
21,2022-10-17,6325,6200,6525,6425,50710300
22,2022-10-18,6450,6350,6500,6350,42600400
23,2022-10-19,6425,6400,6525,6525,25542800
24,2022-10-20,6500,6400,6525,6425,32226200
25,2022-10-21,6475,6450,6675,6575,52148500
26,2022-10-24,6575,6575,6700,6650,37202900
27,2022-10-25,6700,6600,6700,6700,37836000
28,2022-10-26,6700,6575,6700,6575,36289700
29,2022-10-27,6575,6525,6675,6650,30429800
30,2022-10-28,6650,6500,6650,6550,28492900
31,2022-10-31,6550,6550,6650,6650,45774000
32,2022-11-01,6650,6475,6675,6575,59240700
33,2022-11-02,6525,6375,6550,6425,59695600
34,2022-11-03,6375,6350,6425,6375,29905800
35,2022-11-04,6350,6350,6425,6425,60465200
36,2022-11-07,6550,6450,6550,6525,0
37,2022-11-08,6550,6450,6550,6525,0
38,2022-11-09,6550,6450,6550,6525,0
39,2022-11-10,6550,6450,6550,6525,33770400
40,2022-11-11,6600,6450,6625,6450,50938200
41,2022-11-14,6450,6300,6475,6300,46011200
42,2022-11-15,6300,6200,6350,6225,65536000
43,2022-11-16,6175,6100,6200,6175,60298900
44,2022-11-17,6200,6050,6300,6300,35165100
45,2022-11-18,6275,6200,6300,6225,29304900
46,2022-11-21,6275,6250,6350,6325,19074900
47,2022-11-22,6325,6225,6350,6225,33102700
48,2022-11-23,6275,6200,6300,6200,30863200
49,2022-11-24,6200,6200,6275,6200,21534300
50,2022-11-25,6175,6125,6200,6175,40948100
51,2022-11-28,6175,6150,6275,6225,37901700
52,2022-11-29,6125,6025,6150,6050,121505900
53,2022-11-30,6050,6025,6200,6050,191276100
54,2022-12-01,6050,6025,6200,6050,0
55,2022-12-02,6175,6050,6175,6125,51852900
56,2022-12-05,6075,6000,6100,6025,64357800
57,2022-12-06,6000,5800,6025,5875,69873000
58,2022-12-07,5800,5700,5900,5725,116677600
59,2022-12-08,5650,5550,5800,5675,161238600
60,2022-12-09,5700,5650,5750,5675,55355700
