,timestamp,open,low,high,close,volume
0,2022-09-16,9275,9025,9300,9100,83906300
1,2022-09-19,9250,9150,9300,9225,68698300
2,2022-09-20,9325,9200,9375,9200,70376100
3,2022-09-21,9150,9100,9275,9275,35522200
4,2022-09-22,9275,9175,9300,9200,48239600
5,2022-09-23,9200,9150,9250,9200,30938500
6,2022-09-26,9125,8950,9375,9250,66884800
7,2022-09-27,9250,9200,9350,9350,65479700
8,2022-09-28,9450,9275,9600,9300,66542500
9,2022-09-29,9350,9200,9375,9250,33972600
10,2022-09-30,9300,9225,9425,9425,56750500
11,2022-10-03,9325,9225,9375,9275,27331200
12,2022-10-04,9300,9225,9375,9225,45123500
13,2022-10-05,9300,9275,9475,9275,37945800
14,2022-10-06,9300,9225,9325,9325,21639600
15,2022-10-07,9325,9275,9425,9425,25633500
16,2022-10-10,9375,9275,9400,9300,27732500
17,2022-10-11,9425,9250,9425,9300,35962800
18,2022-10-12,9375,9300,9500,9425,59365700
19,2022-10-13,9500,9325,9550,9475,29416000
20,2022-10-14,9650,9375,9650,9400,53200800
21,2022-10-17,9450,9300,9475,9450,30452600
22,2022-10-18,9500,9450,9575,9500,33952200
23,2022-10-19,9375,9325,9575,9475,35772400
24,2022-10-20,9350,9350,9925,9900,51211200
25,2022-10-21,10000,9925,10450,10350,91993900
26,2022-10-24,10325,10250,10500,10250,51084000
27,2022-10-25,10275,10225,10450,10225,41652600
28,2022-10-26,10225,10000,10250,10200,40265700
29,2022-10-27,10200,10050,10325,10200,42265600
30,2022-10-28,10125,10100,10225,10200,51218700
31,2022-10-31,10300,10225,10550,10550,86937300
32,2022-11-01,10600,10225,10600,10400,55949000
33,2022-11-02,10375,9975,10400,10075,63757700
34,2022-11-03,9950,9950,10200,10175,59799300
35,2022-11-04,10025,10000,10150,10150,35390600
36,2022-11-07,10050,10000,10150,10100,0
37,2022-11-08,10050,10000,10150,10100,0
38,2022-11-09,10050,10000,10150,10100,0
39,2022-11-10,10050,10000,10150,10100,30982000
40,2022-11-11,10300,10225,10450,10425,51004100
41,2022-11-14,10550,10150,10550,10250,30527600
42,2022-11-15,10300,10100,10300,10250,41500400
43,2022-11-16,10100,9900,10175,10000,64128900
44,2022-11-17,9850,9850,10025,9900,83781300
45,2022-11-18,9950,9925,10225,10175,55823300
46,2022-11-21,10175,10025,10200,10100,26155800
47,2022-11-22,10050,10050,10250,10125,39925300
48,2022-11-23,10125,10125,10300,10200,39125300
49,2022-11-24,10225,10200,10300,10225,29850700
50,2022-11-25,10225,10100,10225,10175,38992400
51,2022-11-28,10175,10125,10275,10125,32389500
52,2022-11-29,10250,10200,10450,10325,36130500
53,2022-11-30,10325,10325,10800,10525,173568400
54,2022-12-01,10325,10325,10800,10525,0
55,2022-12-02,10400,10325,10525,10525,35406600
56,2022-12-05,10650,10575,11000,10875,73236400
57,2022-12-06,10875,10725,11000,10900,69680100
58,2022-12-07,10625,10375,10700,10375,100443100
59,2022-12-08,10075,9975,10225,10050,139954200
60,2022-12-09,9950,9825,10050,9925,120669100
