,timestamp,open,low,high,close,volume
0,2022-09-16,1600,1595,1605,1600,1596600
1,2022-09-19,1595,1575,1705,1705,11773900
2,2022-09-20,1700,1675,1805,1795,9836000
3,2022-09-21,1790,1780,1880,1875,13175700
4,2022-09-22,1880,1865,2200,2000,10333700
5,2022-09-23,2010,1960,2070,2020,9819600
6,2022-09-26,2020,1920,2050,1920,4106700
7,2022-09-27,1920,1900,1965,1900,3565500
8,2022-09-28,1900,1845,1900,1845,3789300
9,2022-09-29,1820,1785,1860,1785,6015400
10,2022-09-30,1785,1745,1800,1755,5476800
11,2022-10-03,1750,1740,1840,1810,12122100
12,2022-10-04,1800,1800,1930,1870,10355400
13,2022-10-05,1870,1870,1975,1960,17468000
14,2022-10-06,1960,1900,1990,1915,6404300
15,2022-10-07,1910,1820,1915,1845,9665100
16,2022-10-10,1845,1820,1915,1915,8029700
17,2022-10-11,1915,1910,2070,2060,12649900
18,2022-10-12,2080,2070,2290,2170,20407900
19,2022-10-13,2180,2150,2310,2250,15159300
20,2022-10-14,2250,2230,2320,2300,7186800
21,2022-10-17,2300,2210,2330,2240,6561600
22,2022-10-18,2240,2190,2260,2210,3273800
23,2022-10-19,2200,2180,2220,2200,2834400
24,2022-10-20,2200,2140,2240,2140,3285600
25,2022-10-21,2140,2030,2140,2040,3606400
26,2022-10-24,2040,2000,2170,2160,12923900
27,2022-10-25,2170,2010,2250,2010,23759700
28,2022-10-26,2030,1895,2030,1900,3309200
29,2022-10-27,1930,1835,1930,1895,8417500
30,2022-10-28,1895,1840,1920,1900,8776100
31,2022-10-31,1905,1885,1950,1885,8085400
32,2022-11-01,1890,1800,2020,1985,29401300
33,2022-11-02,1995,1965,2100,2000,21230300
34,2022-11-03,1995,1950,2010,1990,7781100
35,2022-11-04,2000,1875,2000,1875,3671700
36,2022-11-07,1855,1845,1860,1860,0
37,2022-11-08,1855,1845,1860,1860,0
38,2022-11-09,1855,1845,1860,1860,0
39,2022-11-10,1855,1845,1860,1860,544900
40,2022-11-11,1855,1845,1860,1860,921300
41,2022-11-14,1855,1845,1855,1855,385400
42,2022-11-15,1855,1785,1860,1800,1794100
43,2022-11-16,1810,1760,1810,1770,2137600
44,2022-11-17,1780,1765,1795,1780,507100
45,2022-11-18,1780,1775,1880,1775,1428500
46,2022-11-21,1775,1765,1790,1765,599100
47,2022-11-22,1770,1740,1780,1740,910000
48,2022-11-23,1745,1725,1775,1735,4065000
49,2022-11-24,1735,1730,1755,1750,652900
50,2022-11-25,1750,1725,1755,1740,1047400
51,2022-11-28,1750,1710,1900,1895,11684800
52,2022-11-29,1900,1840,1995,1945,15708800
53,2022-11-30,1950,1840,2030,1900,12231400
54,2022-12-01,1950,1840,2030,1900,0
55,2022-12-02,1870,1830,1875,1835,1396500
56,2022-12-05,1835,1710,1835,1720,16944300
57,2022-12-06,1750,1700,1900,1895,12557900
58,2022-12-07,1915,1870,1990,1875,14263900
59,2022-12-08,1870,1800,1875,1850,2596600
60,2022-12-09,1850,1825,1850,1830,194900
