,timestamp,open,low,high,close,volume
0,2022-09-16,286,266,286,268,153086900
1,2022-09-19,268,250,268,254,103991700
2,2022-09-20,256,250,278,278,116029500
3,2022-09-21,278,262,280,272,80793400
4,2022-09-22,272,262,272,266,34305700
5,2022-09-23,266,262,284,278,118561300
6,2022-09-26,280,260,280,270,80992600
7,2022-09-27,268,256,270,264,53988500
8,2022-09-28,270,254,270,262,42577100
9,2022-09-29,262,254,268,254,37106900
10,2022-09-30,256,240,262,256,49437900
11,2022-10-03,258,258,274,270,62590000
12,2022-10-04,272,268,278,272,43221300
13,2022-10-05,278,270,282,270,68325800
14,2022-10-06,280,264,280,272,39918800
15,2022-10-07,272,270,286,284,75001700
16,2022-10-10,284,280,296,290,108901900
17,2022-10-11,290,276,294,278,56041400
18,2022-10-12,276,260,276,264,65006600
19,2022-10-13,264,262,276,264,28385700
20,2022-10-14,266,264,270,270,40485100
21,2022-10-17,274,256,276,266,32574100
22,2022-10-18,266,262,272,266,25440700
23,2022-10-19,268,264,282,282,48200400
24,2022-10-20,290,282,292,286,74232600
25,2022-10-21,286,282,292,286,49589800
26,2022-10-24,286,284,298,292,125934900
27,2022-10-25,292,286,298,294,64777100
28,2022-10-26,294,288,344,344,372582500
29,2022-10-27,348,328,354,336,395165000
30,2022-10-28,338,322,354,322,262744800
31,2022-10-31,322,322,344,336,156832600
32,2022-11-01,336,332,350,336,169901000
33,2022-11-02,336,336,380,380,477880000
34,2022-11-03,386,370,398,394,233007400
35,2022-11-04,390,372,394,378,186413400
36,2022-11-07,376,370,396,390,0
37,2022-11-08,376,370,396,390,0
38,2022-11-09,376,370,396,390,0
39,2022-11-10,376,370,396,390,192769600
40,2022-11-11,392,364,396,364,340842800
41,2022-11-14,354,340,358,340,278501000
42,2022-11-15,332,324,352,344,211590700
43,2022-11-16,346,332,354,334,178498000
44,2022-11-17,334,330,344,338,176819800
45,2022-11-18,338,332,344,338,143839000
46,2022-11-21,338,334,350,340,146315500
47,2022-11-22,340,340,348,344,155157900
48,2022-11-23,346,340,354,348,179756400
49,2022-11-24,354,344,360,344,193390300
50,2022-11-25,344,336,346,336,175849100
51,2022-11-28,336,314,336,332,192488500
52,2022-11-29,330,324,342,340,178352000
53,2022-11-30,342,332,346,338,164398400
54,2022-12-01,342,332,346,338,0
55,2022-12-02,348,342,362,356,160629600
56,2022-12-05,358,332,362,332,195827800
57,2022-12-06,332,310,334,310,228554300
58,2022-12-07,308,290,308,290,234071000
59,2022-12-08,290,276,304,302,191978700
60,2022-12-09,306,288,306,296,176750200
