,timestamp,open,low,high,close,volume
0,2022-09-16,2580,2470,2580,2500,31295200
1,2022-09-19,2530,2520,2570,2550,22894600
2,2022-09-20,2570,2540,2570,2550,12464600
3,2022-09-21,2550,2480,2550,2520,12837600
4,2022-09-22,2510,2500,2550,2550,10729100
5,2022-09-23,2550,2480,2550,2500,12470300
6,2022-09-26,2490,2400,2530,2460,28413300
7,2022-09-27,2470,2470,2560,2530,16469200
8,2022-09-28,2540,2490,2550,2500,8953900
9,2022-09-29,2520,2450,2540,2450,12664700
10,2022-09-30,2450,2410,2490,2460,12160200
11,2022-10-03,2440,2430,2490,2450,2761100
12,2022-10-04,2480,2460,2520,2500,6192400
13,2022-10-05,2550,2510,2560,2540,9602600
14,2022-10-06,2540,2530,2560,2550,5034500
15,2022-10-07,2550,2490,2550,2520,5445600
16,2022-10-10,2500,2470,2530,2500,5459800
17,2022-10-11,2530,2460,2530,2510,4056500
18,2022-10-12,2500,2420,2500,2450,11140800
19,2022-10-13,2450,2440,2480,2470,5175800
20,2022-10-14,2500,2360,2500,2380,12226000
21,2022-10-17,2350,2310,2400,2400,4916100
22,2022-10-18,2420,2390,2490,2480,9206800
23,2022-10-19,2500,2450,2530,2490,7218800
24,2022-10-20,2490,2490,2580,2560,12214500
25,2022-10-21,2510,2470,2540,2470,11031300
26,2022-10-24,2460,2390,2480,2400,18789600
27,2022-10-25,2420,2400,2440,2400,11384000
28,2022-10-26,2400,2390,2440,2420,7115200
29,2022-10-27,2420,2400,2440,2420,8364700
30,2022-10-28,2430,2430,2470,2450,7293600
31,2022-10-31,2480,2450,2530,2520,17517800
32,2022-11-01,2520,2450,2530,2470,10588200
33,2022-11-02,2490,2410,2490,2430,15276800
34,2022-11-03,2400,2390,2430,2430,16686100
35,2022-11-04,2440,2390,2450,2430,19945700
36,2022-11-07,2410,2390,2440,2400,0
37,2022-11-08,2410,2390,2440,2400,0
38,2022-11-09,2410,2390,2440,2400,0
39,2022-11-10,2410,2390,2440,2400,13292200
40,2022-11-11,2420,2350,2430,2400,23069900
41,2022-11-14,2400,2380,2420,2400,4714800
42,2022-11-15,2400,2370,2400,2390,4742700
43,2022-11-16,2390,2250,2390,2260,23812300
44,2022-11-17,2260,2250,2320,2300,22945900
45,2022-11-18,2310,2280,2320,2290,6270100
46,2022-11-21,2300,2260,2300,2270,4327800
47,2022-11-22,2270,2260,2320,2280,7665200
48,2022-11-23,2290,2270,2300,2280,2941600
49,2022-11-24,2280,2260,2290,2270,9087600
50,2022-11-25,2260,2210,2280,2210,21914900
51,2022-11-28,2220,2200,2250,2210,10058200
52,2022-11-29,2200,2160,2220,2200,12380200
53,2022-11-30,2200,2170,2240,2170,12061000
54,2022-12-01,2200,2170,2240,2170,0
55,2022-12-02,2260,2220,2300,2300,22755200
56,2022-12-05,2300,2270,2340,2300,27456300
57,2022-12-06,2300,2260,2310,2290,20697100
58,2022-12-07,2270,2220,2290,2220,16954800
59,2022-12-08,2220,2130,2220,2170,26063000
60,2022-12-09,2170,2070,2180,2070,32015900
