,timestamp,open,low,high,close,volume
5589,2022-09-16,6550,6400,6550,6525,21405100
5590,2022-09-19,6625,6450,6675,6525,12190300
5591,2022-09-20,6625,6475,6650,6475,12804200
5592,2022-09-21,6475,6425,6625,6625,14094600
5593,2022-09-22,6500,6500,6675,6650,10366800
5594,2022-09-23,6625,6575,6700,6625,8758600
5595,2022-09-26,6500,6400,6500,6500,9581800
5596,2022-09-27,6400,6300,6575,6575,12361600
5597,2022-09-28,6550,6225,6550,6250,12308500
5598,2022-09-29,6375,6225,6375,6250,7504200
5599,2022-09-30,6250,6225,6425,6400,13794500
5600,2022-10-03,6300,6175,6400,6175,12138500
5601,2022-10-04,6300,6250,6575,6550,17089200
5602,2022-10-05,6625,6625,6775,6725,15289600
5603,2022-10-06,6725,6600,6750,6725,9630000
5604,2022-10-07,6800,6725,6800,6800,13516300
5605,2022-10-10,6700,6525,6750,6675,12255700
5606,2022-10-11,6750,6550,6750,6550,8469100
5607,2022-10-12,6575,6475,6700,6575,11308900
5608,2022-10-13,6675,6525,6675,6525,5854000
5609,2022-10-14,6625,6550,6700,6700,8086700
5610,2022-10-17,6700,6500,6700,6575,5846200
5611,2022-10-18,6650,6550,6650,6650,3856000
5612,2022-10-19,6700,6625,6925,6900,18198800
5613,2022-10-20,6875,6725,6900,6875,10286400
5614,2022-10-21,6875,6575,6900,6575,15878500
5615,2022-10-24,6600,6550,6650,6600,8531500
5616,2022-10-25,6650,6575,6700,6675,6999800
5617,2022-10-26,6700,6650,6775,6700,9178000
5618,2022-10-27,6750,6675,6825,6750,9381300
5619,2022-10-28,6725,6300,6725,6500,35676300
5620,2022-10-31,6500,6425,6525,6500,11128100
5621,2022-11-01,6525,6425,6550,6525,10834500
5622,2022-11-02,6725,6550,6750,6625,15760000
5623,2022-11-03,6625,6600,6700,6625,4340900
5624,2022-11-04,6525,6500,6750,6750,9856200
5625,2022-11-07,7225,7000,7300,7100,0
5626,2022-11-08,7225,7000,7300,7100,0
5627,2022-11-09,7225,7000,7300,7100,0
5628,2022-11-10,7225,7000,7300,7100,12011600
5629,2022-11-11,7375,7275,7500,7425,42507800
5630,2022-11-14,7550,7250,7550,7300,24844500
5631,2022-11-15,7450,7250,7575,7300,30632100
5632,2022-11-16,7400,7150,7400,7275,10280500
5633,2022-11-17,7100,6900,7175,7100,9237600
5634,2022-11-18,7050,6900,7125,6900,21064400
5635,2022-11-21,6950,6950,7125,7025,4236500
5636,2022-11-22,7025,6925,7075,7000,6550100
5637,2022-11-23,7175,7150,7250,7200,7987900
5638,2022-11-24,7200,7100,7250,7175,4114900
5639,2022-11-25,7175,7025,7200,7125,5788300
5640,2022-11-28,7100,7025,7200,7175,5204600
5641,2022-11-29,7225,7200,7350,7300,16219300
5642,2022-11-30,7400,7275,7425,7375,35907400
5643,2022-12-01,7400,7275,7425,7375,0
5644,2022-12-02,7400,7375,7525,7400,24752200
5645,2022-12-05,7525,7400,7650,7425,20512000
5646,2022-12-06,7350,7225,7400,7300,9000600
5647,2022-12-07,7300,7050,7350,7075,13161800
5648,2022-12-08,7200,7125,7525,7375,23783300
5649,2022-12-09,7250,7150,7350,7250,8136400
