,timestamp,open,low,high,close,volume
5589,2022-09-16,1835,1825,1900,1900,112579900
5590,2022-09-19,1900,1855,1930,1875,86049100
5591,2022-09-20,1870,1840,1875,1850,53757900
5592,2022-09-21,1845,1820,1850,1840,48378000
5593,2022-09-22,1830,1825,1865,1855,62485200
5594,2022-09-23,1850,1850,1850,1845,35652700
5595,2022-09-26,1845,1830,1855,1850,81519600
5596,2022-09-27,1825,1825,1865,1850,79268200
5597,2022-09-28,1855,1795,1855,1820,40202000
5598,2022-09-29,1790,1790,1855,1830,34876300
5599,2022-09-30,1830,1825,1850,1830,50240300
5600,2022-10-03,1830,1800,1840,1810,20938800
5601,2022-10-04,1830,1790,1845,1815,22605800
5602,2022-10-05,1815,1815,1850,1845,16903000
5603,2022-10-06,1850,1835,1865,1850,33851500
5604,2022-10-07,1850,1830,1855,1845,29216100
5605,2022-10-10,1845,1835,1905,1895,24787700
5606,2022-10-11,1895,1835,1900,1835,33465900
5607,2022-10-12,1850,1850,1900,1900,23860300
5608,2022-10-13,1860,1850,1860,1860,67251900
5609,2022-10-14,1855,1845,1860,1845,34128200
5610,2022-10-17,1845,1845,1945,1930,93740100
5611,2022-10-18,1935,1885,1940,1900,107641800
5612,2022-10-19,1900,1875,1980,1980,66266800
5613,2022-10-20,1960,1945,2070,2030,117918400
5614,2022-10-21,2030,1965,2050,1975,65666200
5615,2022-10-24,1975,1955,2050,1995,30724200
5616,2022-10-25,2020,1975,2070,2000,44422400
5617,2022-10-26,2000,2000,2050,2040,22343400
5618,2022-10-27,2030,2010,2040,2010,59875500
5619,2022-10-28,2030,1995,2030,2020,37954400
5620,2022-10-31,2030,2020,2080,2050,98912400
5621,2022-11-01,2050,1975,2050,1985,62496200
5622,2022-11-02,1945,1875,1980,1970,80371900
5623,2022-11-03,1970,1930,1985,1970,36548900
5624,2022-11-04,1970,1910,1970,1965,40378400
5625,2022-11-07,1950,1935,1980,1980,0
5626,2022-11-08,1950,1935,1980,1980,0
5627,2022-11-09,1950,1935,1980,1980,0
5628,2022-11-10,1950,1935,1980,1980,26816600
5629,2022-11-11,1980,1970,2040,2000,67795400
5630,2022-11-14,2060,1980,2060,2010,17679800
5631,2022-11-15,2030,2010,2050,2030,29218700
5632,2022-11-16,2030,2000,2030,2030,17946700
5633,2022-11-17,2030,2010,2050,2030,18995500
5634,2022-11-18,2050,2010,2080,2060,21741100
5635,2022-11-21,2080,2030,2150,2110,36647800
5636,2022-11-22,2150,2020,2150,2020,29365400
5637,2022-11-23,2030,2000,2060,2050,25096500
5638,2022-11-24,2050,2010,2110,2070,28228800
5639,2022-11-25,2050,2020,2100,2100,22959700
5640,2022-11-28,2090,2050,2150,2120,44193200
5641,2022-11-29,2130,2060,2140,2100,34545100
5642,2022-11-30,2100,2070,2140,2070,199167700
5643,2022-12-01,2100,2070,2140,2070,0
5644,2022-12-02,2010,2010,2060,2060,21243500
5645,2022-12-05,2030,2010,2090,2060,23264800
5646,2022-12-06,2060,1960,2060,2030,29565600
5647,2022-12-07,2020,1995,2040,2030,39551300
5648,2022-12-08,2020,2000,2140,2140,26193800
5649,2022-12-09,2140,2060,2140,2130,31532700
