,timestamp,open,low,high,close,volume
5589,2022-09-16,980,965,1005,965,127265900
5590,2022-09-19,975,920,980,970,111044200
5591,2022-09-20,975,945,980,955,51623800
5592,2022-09-21,955,920,965,960,122531400
5593,2022-09-22,940,935,990,990,95182400
5594,2022-09-23,990,970,1010,995,165310600
5595,2022-09-26,950,930,955,930,137365500
5596,2022-09-27,900,865,920,900,236631400
5597,2022-09-28,900,870,900,870,75157100
5598,2022-09-29,900,890,920,895,113557700
5599,2022-09-30,885,865,925,915,90376700
5600,2022-10-03,920,890,930,930,118658300
5601,2022-10-04,940,940,980,975,148831700
5602,2022-10-05,985,955,990,955,83556400
5603,2022-10-06,965,935,985,945,74156200
5604,2022-10-07,945,935,960,940,55129100
5605,2022-10-10,960,945,995,990,164621800
5606,2022-10-11,980,960,995,975,72939100
5607,2022-10-12,975,950,995,995,70297800
5608,2022-10-13,985,975,1020,990,131014000
5609,2022-10-14,1015,995,1015,1010,75702300
5610,2022-10-17,995,955,1005,1005,73308700
5611,2022-10-18,1010,970,1010,975,56296600
5612,2022-10-19,965,960,980,965,29795700
5613,2022-10-20,965,965,1030,1030,76412500
5614,2022-10-21,1025,1010,1040,1020,48564800
5615,2022-10-24,1005,1005,1100,1085,136436900
5616,2022-10-25,1095,1070,1100,1085,64483600
5617,2022-10-26,1090,1055,1095,1080,37443500
5618,2022-10-27,1095,1095,1150,1150,112826300
5619,2022-10-28,1155,1135,1170,1145,42049400
5620,2022-10-31,1165,1120,1165,1155,48311100
5621,2022-11-01,1150,1075,1150,1105,148472100
5622,2022-11-02,1105,1090,1130,1110,49414700
5623,2022-11-03,1115,1100,1150,1130,44582500
5624,2022-11-04,1135,1090,1195,1190,103122200
5625,2022-11-07,1130,1085,1145,1085,0
5626,2022-11-08,1130,1085,1145,1085,0
5627,2022-11-09,1130,1085,1145,1085,0
5628,2022-11-10,1130,1085,1145,1085,122349200
5629,2022-11-11,1095,1060,1170,1160,129631400
5630,2022-11-14,1170,1145,1185,1160,58046900
5631,2022-11-15,1145,1135,1170,1140,28151100
5632,2022-11-16,1160,1130,1165,1160,31134600
5633,2022-11-17,1150,1130,1155,1130,20636200
5634,2022-11-18,1105,1065,1105,1070,72821300
5635,2022-11-21,1050,1040,1070,1055,51140800
5636,2022-11-22,1065,1040,1080,1080,52580100
5637,2022-11-23,1085,1070,1105,1090,38434600
5638,2022-11-24,1075,1065,1100,1075,38473800
5639,2022-11-25,1075,1055,1085,1055,32182400
5640,2022-11-28,1030,990,1040,1000,111490300
5641,2022-11-29,1015,1015,1060,1055,58847400
5642,2022-11-30,1055,1045,1085,1065,74162600
5643,2022-12-01,1055,1045,1085,1065,0
5644,2022-12-02,1135,1075,1135,1080,48431600
5645,2022-12-05,1085,1085,1140,1095,65272800
5646,2022-12-06,1090,1060,1105,1090,32278100
5647,2022-12-07,1070,1050,1085,1065,41225500
5648,2022-12-08,1060,1020,1075,1070,46787900
5649,2022-12-09,1070,1060,1080,1075,19747700
