,timestamp,open,low,high,close,volume
4443,2022-09-16,1640,1615,1700,1700,123100
4444,2022-09-19,1700,1650,1750,1750,153100
4445,2022-09-20,1745,1660,1750,1720,8900
4446,2022-09-21,1750,1680,1750,1720,341500
4447,2022-09-22,1685,1670,1720,1720,17300
4448,2022-09-23,1720,1715,1745,1745,20900
4449,2022-09-26,1740,1740,1745,1745,21400
4450,2022-09-27,1735,1735,1745,1745,15100
4451,2022-09-28,1740,1740,1745,1745,40500
4452,2022-09-29,1745,1745,1745,1745,10000
4453,2022-09-30,1735,1735,1735,1735,35100
4454,2022-10-03,1735,1735,1740,1735,12400
4455,2022-10-04,1700,1700,1700,1700,6700
4456,2022-10-05,1680,1680,1735,1735,7200
4457,2022-10-06,1735,1735,1740,1735,442100
4458,2022-10-07,1730,1685,1730,1720,41000
4459,2022-10-10,1675,1675,1725,1720,17500
4460,2022-10-11,1680,1670,1680,1675,51600
4461,2022-10-12,1665,1665,1685,1685,6200
4462,2022-10-13,1685,1685,1735,1735,10100
4463,2022-10-14,1735,1735,1735,1735,4000
4464,2022-10-17,1735,1735,1740,1740,30600
4465,2022-10-18,1730,1730,1730,1730,15200
4466,2022-10-19,1725,1685,1725,1715,15200
4467,2022-10-20,1680,1680,1700,1700,8400
4468,2022-10-21,1700,1585,1715,1715,35800
4469,2022-10-24,1715,1655,1715,1715,9400
4470,2022-10-25,1715,1705,1715,1705,51000
4471,2022-10-26,1715,1715,1730,1730,200
4472,2022-10-27,1725,1720,1725,1720,20200
4473,2022-10-28,1720,1600,1720,1685,123100
4474,2022-10-31,1720,1715,1725,1725,10400
4475,2022-11-01,1725,1690,1725,1720,8100
4476,2022-11-02,1720,1715,1720,1715,10200
4477,2022-11-03,1730,1700,1730,1720,20900
4478,2022-11-04,1720,1675,1730,1730,53400
4479,2022-11-07,1690,1690,1730,1720,0
4480,2022-11-08,1690,1690,1730,1720,0
4481,2022-11-09,1690,1690,1730,1720,0
4482,2022-11-10,1690,1690,1730,1720,35900
4483,2022-11-11,1685,1600,1780,1780,62600
4484,2022-11-14,1775,1720,1780,1740,31100
4485,2022-11-15,1740,1685,1740,1725,57600
4486,2022-11-16,1725,1695,1725,1720,30500
4487,2022-11-17,1715,1685,1720,1720,27800
4488,2022-11-18,1715,1630,1720,1685,164500
4489,2022-11-21,1680,1600,1685,1685,45000
4490,2022-11-22,1670,1630,1680,1650,6200
4491,2022-11-23,1630,1625,1680,1680,13400
4492,2022-11-24,1675,1645,1680,1680,21000
4493,2022-11-25,1680,1650,1750,1750,22100
4494,2022-11-28,1750,1665,1750,1740,39400
4495,2022-11-29,1740,1735,1740,1735,31600
4496,2022-11-30,1735,1675,1735,1730,34400
4497,2022-12-01,1735,1675,1735,1730,0
4498,2022-12-02,1730,1730,1730,1730,214200
4499,2022-12-05,1725,1720,1725,1720,30800
4500,2022-12-06,1700,1655,1700,1700,35000
4501,2022-12-07,1700,1660,1700,1700,51800
4502,2022-12-08,1670,1635,1700,1700,28800
4503,2022-12-09,1700,1695,1700,1700,14200
