,timestamp,open,low,high,close,volume
3975,2022-09-16,880,870,900,900,26607200
3976,2022-09-19,900,890,910,905,17487100
3977,2022-09-20,905,880,905,885,23217300
3978,2022-09-21,885,870,890,875,31052700
3979,2022-09-22,875,870,885,875,17041200
3980,2022-09-23,875,870,880,875,17170900
3981,2022-09-26,875,855,880,860,18304400
3982,2022-09-27,860,855,870,855,10293200
3983,2022-09-28,855,855,875,870,11946300
3984,2022-09-29,875,855,875,855,14391100
3985,2022-09-30,855,825,855,830,36980300
3986,2022-10-03,830,830,845,835,10603900
3987,2022-10-04,840,835,845,835,13414700
3988,2022-10-05,840,835,845,840,12469100
3989,2022-10-06,840,835,850,845,15083000
3990,2022-10-07,845,820,850,825,26861500
3991,2022-10-10,825,815,830,815,18028100
3992,2022-10-11,815,805,825,805,18782900
3993,2022-10-12,810,785,815,785,36765100
3994,2022-10-13,790,780,790,780,17974400
3995,2022-10-14,785,780,795,780,16994500
3996,2022-10-17,785,770,790,780,27727100
3997,2022-10-18,785,780,795,790,21547500
3998,2022-10-19,790,780,795,780,19634500
3999,2022-10-20,780,775,790,775,35624200
4000,2022-10-21,780,780,805,795,18257400
4001,2022-10-24,800,795,815,810,11867900
4002,2022-10-25,810,800,810,800,10084000
4003,2022-10-26,800,800,820,810,13733900
4004,2022-10-27,810,810,835,825,16976300
4005,2022-10-28,830,820,845,835,22225400
4006,2022-10-31,845,820,850,820,33215200
4007,2022-11-01,820,815,830,815,9454600
4008,2022-11-02,815,815,830,815,8978900
4009,2022-11-03,815,810,825,815,14311900
4010,2022-11-04,810,805,815,815,16820400
4011,2022-11-07,835,820,835,830,0
4012,2022-11-08,835,820,835,830,0
4013,2022-11-09,835,820,835,830,0
4014,2022-11-10,835,820,835,830,16419700
4015,2022-11-11,840,825,840,825,6636800
4016,2022-11-14,830,820,835,835,4075900
4017,2022-11-15,830,815,830,815,11110400
4018,2022-11-16,820,805,820,815,11189700
4019,2022-11-17,815,805,820,810,15955700
4020,2022-11-18,810,805,820,805,12878100
4021,2022-11-21,805,805,815,805,7280800
4022,2022-11-22,810,800,815,805,24844200
4023,2022-11-23,805,805,815,810,19696500
4024,2022-11-24,815,810,815,810,17383400
4025,2022-11-25,810,800,815,800,22621500
4026,2022-11-28,805,800,810,810,21439400
4027,2022-11-29,805,795,810,800,25274900
4028,2022-11-30,805,795,815,795,28849400
4029,2022-12-01,805,795,815,795,0
4030,2022-12-02,825,810,840,815,33393100
4031,2022-12-05,815,805,820,810,20286700
4032,2022-12-06,805,780,805,785,25858500
4033,2022-12-07,785,775,795,780,26420000
4034,2022-12-08,780,740,780,755,59312000
4035,2022-12-09,755,735,755,740,27680600
