,timestamp,open,low,high,close,volume
5589,2022-09-16,1815,1775,1815,1785,6412600
5590,2022-09-19,1790,1775,1820,1800,2330000
5591,2022-09-20,1800,1785,1820,1810,4209800
5592,2022-09-21,1810,1790,1825,1795,3258700
5593,2022-09-22,1720,1720,1810,1800,1395200
5594,2022-09-23,1795,1790,1815,1800,3043900
5595,2022-09-26,1800,1780,1810,1800,1133300
5596,2022-09-27,1805,1790,1815,1805,4885800
5597,2022-09-28,1805,1775,1815,1805,2247000
5598,2022-09-29,1810,1780,1840,1820,8585100
5599,2022-09-30,1820,1805,1840,1830,7060900
5600,2022-10-03,1830,1825,1935,1930,9646100
5601,2022-10-04,1950,1905,1955,1935,7073900
5602,2022-10-05,1935,1875,1945,1935,8249100
5603,2022-10-06,1935,1930,2030,2020,15463300
5604,2022-10-07,2020,1985,2070,2070,11939900
5605,2022-10-10,2060,1990,2080,2060,9122500
5606,2022-10-11,2060,1995,2070,2010,3602300
5607,2022-10-12,2000,1990,2060,2020,10491200
5608,2022-10-13,2020,2000,2050,2040,3938100
5609,2022-10-14,2040,2040,2200,2160,16639100
5610,2022-10-17,2170,2100,2170,2120,8492700
5611,2022-10-18,2150,2100,2250,2220,13298000
5612,2022-10-19,2240,2190,2260,2230,6297500
5613,2022-10-20,2230,2200,2520,2520,24195800
5614,2022-10-21,2480,2380,2480,2420,21583900
5615,2022-10-24,2420,2320,2430,2400,11129700
5616,2022-10-25,2400,2380,2430,2400,11078500
5617,2022-10-26,2400,2340,2420,2400,19107800
5618,2022-10-27,2400,2390,2500,2440,14034300
5619,2022-10-28,2450,2370,2460,2430,5108300
5620,2022-10-31,2450,2370,2490,2400,9956700
5621,2022-11-01,2400,2280,2410,2300,20939600
5622,2022-11-02,2290,2280,2380,2330,7671500
5623,2022-11-03,2330,2300,2380,2340,5288500
5624,2022-11-04,2340,2300,2420,2420,4005500
5625,2022-11-07,2370,2340,2500,2500,0
5626,2022-11-08,2370,2340,2500,2500,0
5627,2022-11-09,2370,2340,2500,2500,0
5628,2022-11-10,2370,2340,2500,2500,8703900
5629,2022-11-11,2500,2330,2500,2400,12026100
5630,2022-11-14,2400,2330,2410,2370,3709600
5631,2022-11-15,2370,2350,2410,2370,4435100
5632,2022-11-16,2370,2340,2390,2360,1443200
5633,2022-11-17,2360,2260,2380,2280,7305400
5634,2022-11-18,2240,2210,2370,2330,5791100
5635,2022-11-21,2350,2310,2370,2330,3353100
5636,2022-11-22,2330,2230,2380,2270,1941400
5637,2022-11-23,2310,2270,2430,2430,8367900
5638,2022-11-24,2430,2390,2450,2420,4387000
5639,2022-11-25,2420,2380,2420,2400,954500
5640,2022-11-28,2420,2380,2500,2500,7854300
5641,2022-11-29,2500,2500,2600,2520,10064700
5642,2022-11-30,2530,2500,2550,2520,2186200
5643,2022-12-01,2530,2500,2550,2520,0
5644,2022-12-02,2540,2510,2550,2540,3491000
5645,2022-12-05,2530,2470,2560,2540,5795200
5646,2022-12-06,2540,2420,2550,2540,4094700
5647,2022-12-07,2540,2460,2550,2540,3742600
5648,2022-12-08,2540,2460,2540,2530,3535800
5649,2022-12-09,2530,2480,2530,2500,2344500
