,timestamp,open,low,high,close,volume
4894,2022-09-16,1835,1820,1850,1830,114268400
4895,2022-09-19,1830,1760,1860,1820,147856000
4896,2022-09-20,1825,1780,1845,1785,107955200
4897,2022-09-21,1790,1750,1810,1810,107872900
4898,2022-09-22,1790,1785,1835,1835,87312700
4899,2022-09-23,1845,1775,1855,1780,249973800
4900,2022-09-26,1735,1685,1740,1700,199116200
4901,2022-09-27,1710,1705,1755,1750,97880200
4902,2022-09-28,1740,1725,1750,1725,46912800
4903,2022-09-29,1750,1710,1775,1710,94654700
4904,2022-09-30,1705,1680,1755,1755,110826400
4905,2022-10-03,1745,1720,1750,1735,50041700
4906,2022-10-04,1755,1740,1770,1765,78404100
4907,2022-10-05,1780,1765,1790,1765,51083500
4908,2022-10-06,1775,1750,1775,1765,32339000
4909,2022-10-07,1765,1740,1765,1755,22737200
4910,2022-10-10,1755,1745,1835,1825,132982500
4911,2022-10-11,1830,1800,1840,1800,72538000
4912,2022-10-12,1810,1765,1840,1835,82513700
4913,2022-10-13,1835,1815,1850,1835,58887100
4914,2022-10-14,1855,1800,1855,1800,49728400
4915,2022-10-17,1800,1770,1840,1835,66632800
4916,2022-10-18,1835,1815,1855,1835,61532100
4917,2022-10-19,1835,1805,1845,1810,48120900
4918,2022-10-20,1810,1810,1900,1835,204131600
4919,2022-10-21,1840,1840,1885,1870,102260500
4920,2022-10-24,1875,1875,1940,1920,119392900
4921,2022-10-25,1935,1885,1945,1885,72611000
4922,2022-10-26,1895,1870,1940,1920,74750200
4923,2022-10-27,1935,1905,1945,1925,54023400
4924,2022-10-28,1920,1885,1925,1910,57450000
4925,2022-10-31,1925,1920,1995,1975,164501600
4926,2022-11-01,1965,1940,1990,1945,69401100
4927,2022-11-02,1940,1920,1965,1940,52163200
4928,2022-11-03,1940,1920,1970,1940,44920700
4929,2022-11-04,1940,1890,1950,1945,73593700
4930,2022-11-07,1830,1765,1830,1800,0
4931,2022-11-08,1830,1765,1830,1800,0
4932,2022-11-09,1830,1765,1830,1800,0
4933,2022-11-10,1830,1765,1830,1800,110580700
4934,2022-11-11,1825,1780,1835,1820,89195600
4935,2022-11-14,1830,1805,1835,1810,60707500
4936,2022-11-15,1825,1790,1825,1800,45414100
4937,2022-11-16,1805,1780,1810,1805,34721300
4938,2022-11-17,1810,1800,1830,1800,56500000
4939,2022-11-18,1805,1790,1815,1795,22288300
4940,2022-11-21,1805,1790,1815,1800,15603200
4941,2022-11-22,1815,1810,1885,1880,123915200
4942,2022-11-23,1890,1865,1900,1895,50996500
4943,2022-11-24,1900,1875,1905,1875,19981700
4944,2022-11-25,1875,1850,1880,1855,20408000
4945,2022-11-28,1850,1835,1865,1845,32216300
4946,2022-11-29,1855,1855,1875,1860,30670000
4947,2022-11-30,1860,1860,1915,1880,107333400
4948,2022-12-01,1860,1860,1915,1880,0
4949,2022-12-02,1900,1875,1905,1890,21375400
4950,2022-12-05,1890,1855,1905,1855,28707000
4951,2022-12-06,1845,1800,1845,1830,50900100
4952,2022-12-07,1830,1810,1840,1835,41257100
4953,2022-12-08,1835,1800,1860,1850,59926700
4954,2022-12-09,1855,1795,1865,1800,67891200
