,timestamp,open,low,high,close,volume
5589,2022-09-16,2180,2080,2240,2200,14406400
5590,2022-09-19,2220,2060,2250,2140,6186300
5591,2022-09-20,2140,2080,2150,2100,2634600
5592,2022-09-21,2120,2080,2210,2130,6722600
5593,2022-09-22,2140,2100,2170,2160,3633300
5594,2022-09-23,2180,2160,2350,2270,18084800
5595,2022-09-26,2270,2210,2420,2350,13190400
5596,2022-09-27,2370,2290,2390,2330,3625500
5597,2022-09-28,2330,2300,2410,2360,9744200
5598,2022-09-29,2360,2200,2370,2200,12645600
5599,2022-09-30,2070,2050,2180,2130,17576100
5600,2022-10-03,2100,2080,2200,2160,2284700
5601,2022-10-04,2200,2140,2210,2170,4535600
5602,2022-10-05,2150,2120,2210,2170,6143300
5603,2022-10-06,2180,2120,2320,2270,13639000
5604,2022-10-07,2270,2250,2400,2330,8511300
5605,2022-10-10,2330,2300,2490,2320,13012700
5606,2022-10-11,2320,2260,2350,2300,4727100
5607,2022-10-12,2290,2190,2330,2300,4563600
5608,2022-10-13,2300,2270,2400,2350,10939300
5609,2022-10-14,2350,2330,2430,2400,9217400
5610,2022-10-17,2400,2330,2450,2380,5199500
5611,2022-10-18,2380,2290,2410,2370,5495500
5612,2022-10-19,2370,2360,2640,2600,22346000
5613,2022-10-20,2600,2560,2640,2630,4713900
5614,2022-10-21,2630,2610,2730,2730,8293800
5615,2022-10-24,2730,2650,2790,2710,8588000
5616,2022-10-25,2710,2670,2780,2780,8029200
5617,2022-10-26,2750,2620,2790,2630,11895100
5618,2022-10-27,2630,2560,2690,2610,7444200
5619,2022-10-28,2660,2430,2660,2430,29478200
5620,2022-10-31,2330,2260,2470,2400,29610000
5621,2022-11-01,2410,2240,2450,2240,24500300
5622,2022-11-02,2200,2150,2350,2350,18566800
5623,2022-11-03,2340,2280,2440,2410,9828600
5624,2022-11-04,2440,2250,2440,2250,12445500
5625,2022-11-07,2180,2100,2200,2120,0
5626,2022-11-08,2180,2100,2200,2120,0
5627,2022-11-09,2180,2100,2200,2120,0
5628,2022-11-10,2180,2100,2200,2120,6237600
5629,2022-11-11,2170,2100,2170,2130,4278200
5630,2022-11-14,2130,1995,2140,2060,7207700
5631,2022-11-15,2060,1995,2080,2010,7155700
5632,2022-11-16,2020,1990,2050,2000,5841800
5633,2022-11-17,2020,2020,2120,2030,12109400
5634,2022-11-18,2030,2020,2090,2050,6949800
5635,2022-11-21,2070,2010,2070,2020,2704400
5636,2022-11-22,2020,1990,2050,2040,5086600
5637,2022-11-23,2040,2040,2140,2100,11505100
5638,2022-11-24,2130,2040,2140,2090,6263300
5639,2022-11-25,2090,2020,2110,2020,3374200
5640,2022-11-28,2050,1880,2050,1895,16974900
5641,2022-11-29,1895,1765,1895,1805,11921400
5642,2022-11-30,1815,1755,1910,1900,8709800
5643,2022-12-01,1815,1755,1910,1900,0
5644,2022-12-02,1800,1770,1845,1820,2857500
5645,2022-12-05,1795,1795,1850,1840,2797000
5646,2022-12-06,1845,1800,1845,1800,1394600
5647,2022-12-07,1800,1705,1810,1730,4204100
5648,2022-12-08,1715,1690,1805,1790,3917500
5649,2022-12-09,1810,1710,1880,1750,4545100
