,timestamp,open,low,high,close,volume
5589,2022-09-16,450,450,494,480,273994800
5590,2022-09-19,480,466,496,470,57727500
5591,2022-09-20,474,468,488,470,61653500
5592,2022-09-21,472,466,515,505,328346400
5593,2022-09-22,510,482,515,484,123020300
5594,2022-09-23,490,486,540,505,154714100
5595,2022-09-26,510,492,530,500,101122000
5596,2022-09-27,500,498,515,515,79772900
5597,2022-09-28,520,505,560,530,128114500
5598,2022-09-29,540,494,540,494,183870200
5599,2022-09-30,480,460,500,490,151138800
5600,2022-10-03,490,474,500,488,36369800
5601,2022-10-04,494,492,515,510,78381000
5602,2022-10-05,515,498,520,510,37905700
5603,2022-10-06,510,510,580,575,172904100
5604,2022-10-07,575,565,610,585,176342100
5605,2022-10-10,580,565,630,615,169182100
5606,2022-10-11,615,600,625,620,77330500
5607,2022-10-12,620,580,620,590,181721300
5608,2022-10-13,590,580,640,620,137800900
5609,2022-10-14,630,615,665,635,162089700
5610,2022-10-17,635,625,665,635,107081000
5611,2022-10-18,645,625,650,635,33750100
5612,2022-10-19,640,635,715,710,171786000
5613,2022-10-20,710,695,735,710,112499400
5614,2022-10-21,710,705,750,745,185020400
5615,2022-10-24,750,720,775,725,164038600
5616,2022-10-25,725,705,735,715,89420700
5617,2022-10-26,720,680,725,680,133618500
5618,2022-10-27,685,660,715,710,176337400
5619,2022-10-28,720,665,730,665,154907300
5620,2022-10-31,620,620,665,635,461207700
5621,2022-11-01,635,595,655,595,209135700
5622,2022-11-02,570,555,600,575,390479300
5623,2022-11-03,575,570,605,585,143628600
5624,2022-11-04,585,545,590,545,182516800
5625,2022-11-07,510,494,520,498,0
5626,2022-11-08,510,494,520,498,0
5627,2022-11-09,510,494,520,498,0
5628,2022-11-10,510,494,520,498,58299300
5629,2022-11-11,500,496,510,498,76783300
5630,2022-11-14,500,464,500,464,264854800
5631,2022-11-15,460,432,464,438,219614100
5632,2022-11-16,438,426,452,430,113771000
5633,2022-11-17,430,428,486,472,305692800
5634,2022-11-18,476,460,510,505,229938600
5635,2022-11-21,505,478,510,480,143500200
5636,2022-11-22,478,474,510,510,183980500
5637,2022-11-23,520,510,545,530,212724400
5638,2022-11-24,530,505,555,535,132208700
5639,2022-11-25,540,515,545,515,96083900
5640,2022-11-28,515,480,515,480,144290200
5641,2022-11-29,470,448,476,448,153053700
5642,2022-11-30,448,426,486,472,358786200
5643,2022-12-01,448,426,486,472,0
5644,2022-12-02,468,460,492,482,154382900
5645,2022-12-05,482,476,496,480,98431400
5646,2022-12-06,480,460,482,460,48251800
5647,2022-12-07,464,436,474,450,141773700
5648,2022-12-08,450,448,474,466,77356700
5649,2022-12-09,468,446,480,448,185245700
