,timestamp,open,low,high,close,volume
5589,2022-09-16,34900,33925,34900,34325,7910500
5590,2022-09-19,34050,33900,34925,34300,3879300
5591,2022-09-20,34575,34000,34950,34150,2326300
5592,2022-09-21,34000,33425,34450,34325,3047600
5593,2022-09-22,34200,33925,35100,35100,3573100
5594,2022-09-23,35000,34000,35000,34000,5776500
5595,2022-09-26,33300,32000,33325,33300,9864200
5596,2022-09-27,33300,33075,33650,33400,5896000
5597,2022-09-28,33400,33000,33725,33000,8204400
5598,2022-09-29,33000,32800,33750,33125,7552700
5599,2022-09-30,32875,32575,33100,32825,8211900
5600,2022-10-03,32825,32675,33200,33000,7297000
5601,2022-10-04,33300,33300,34100,33800,7788100
5602,2022-10-05,33125,33075,34000,33075,4997300
5603,2022-10-06,33375,32800,33600,32850,3049900
5604,2022-10-07,32950,32700,33175,33000,2082100
5605,2022-10-10,32700,32000,32700,32300,4267400
5606,2022-10-11,32300,32050,32600,32200,4923700
5607,2022-10-12,32300,31400,32600,32350,9727800
5608,2022-10-13,32425,32000,32500,32200,2041200
5609,2022-10-14,32350,32350,33750,33750,8183900
5610,2022-10-17,33600,32550,33600,32900,4607400
5611,2022-10-18,32725,32000,32850,32000,6185400
5612,2022-10-19,31700,31500,32075,31800,4172400
5613,2022-10-20,31850,31600,32050,31825,6895200
5614,2022-10-21,31900,31900,32525,32000,5119100
5615,2022-10-24,32000,32000,32725,32375,4007100
5616,2022-10-25,32400,31875,32750,32000,5432900
5617,2022-10-26,32625,32525,33200,33200,7372700
5618,2022-10-27,33200,32750,33725,32750,5031000
5619,2022-10-28,32800,32150,32975,32250,3669600
5620,2022-10-31,32275,32100,32750,32300,7956100
5621,2022-11-01,32400,31400,32700,31450,7861000
5622,2022-11-02,31200,30325,31350,30700,7935000
5623,2022-11-03,30675,30150,31000,31000,3432700
5624,2022-11-04,31000,30400,31275,31275,4065100
5625,2022-11-07,30550,29300,30550,29400,0
5626,2022-11-08,30550,29300,30550,29400,0
5627,2022-11-09,30550,29300,30550,29400,0
5628,2022-11-10,30550,29300,30550,29400,9061400
5629,2022-11-11,29500,29000,29750,29000,6478800
5630,2022-11-14,29000,28500,29200,28700,5804000
5631,2022-11-15,28125,28125,28775,28650,5751300
5632,2022-11-16,28700,28300,28800,28750,6942800
5633,2022-11-17,28500,28150,28700,28625,3085800
5634,2022-11-18,28500,28325,29050,28800,2946500
5635,2022-11-21,29100,28675,29275,28800,3245900
5636,2022-11-22,28800,28800,29200,28950,4743200
5637,2022-11-23,29050,29050,29950,29625,6978000
5638,2022-11-24,29725,29725,30100,29975,2407700
5639,2022-11-25,29950,29500,30000,29850,3091000
5640,2022-11-28,29775,29675,30025,29750,3434000
5641,2022-11-29,29750,29750,30825,30700,5461300
5642,2022-11-30,30700,30450,31250,30800,12416200
5643,2022-12-01,30700,30450,31250,30800,0
5644,2022-12-02,30600,29225,30600,29225,6111900
5645,2022-12-05,29225,28500,29500,28500,5464300
5646,2022-12-06,28500,27900,28625,28100,7208000
5647,2022-12-07,28125,27525,28650,28050,10339900
5648,2022-12-08,27900,27025,28025,27300,9505400
5649,2022-12-09,27025,26125,27175,26125,16636200
