,Mutual Funds,AUM,Type,Last NAV
0,Danamas Stabil,15.92,Bond,4295.52
1,Sucorinvest Stable Fund,14.56,Bond,1241.81
2,Eastspring IDR Fixed Income Fund Kelas A,5.57,Bond,1597.36
3,ABF Indonesia Bond Index Fund,4.76,Bond,48199.31
4,Manulife Obligasi Negara Indonesia II Kelas A,4.27,Bond,2713.7
5,Schroder Dana Mantap Plus II,2.12,Bond,2891.49
6,Sucorinvest Sharia Sukuk Fund,1.58,Bond,1074.78
7,Manulife Obligasi Unggulan Kelas A,1.51,Bond,2812.27
8,Batavia Dana Obligasi Ultima,1.29,Bond,2858.26
9,Eastspring Syariah Fixed Income Amanah Kelas A,0.85,Bond,1365.38
