,Mutual_funds,Predicted_NAV,Percentage,Label
0,Batavia Dana Saham Clean,61854.0,-0.14,0
1,Manulife Saham Andalan Clean,2345.0,5.33,1
2,BNI-AM Indeks IDX30 Clean,877.0,2.72,1
3,Sucroinvest Equity Fund Clean,2808.0,2.0,1
4,BNI-AM Inspiring Equity Fund Clean,1038.0,2.22,1
5,Sucroinvest Sharia Equity Fund Clean,877.0,2.72,1
6,Simas Saham Unggulan Clean,1300.0,0.61,1
7,DanaReksa Mawah Konsumer 10 Kelas A Clean,1609.0,0.93,1
8,Schroder 90 Plus Equity Fund Clean,2046.0,-0.41,0
9,Manulife Dana Saham Kelas A Clean,11045.0,3.51,1
