,Mutual Funds,AUM,Type,Last NAV
0,Batavia Dana Kas Maxima,11.38,Money Market,1649.94
1,Sucorinvest Money Market Fund,9.49,Money Market,1681.68
2,Bahana Dana Likuid,4.9,Money Market,1715.24
3,Manulife Dana Kas II Kelas A,4.28,Money Market,1649.15
4,TRIM Kas 2,3.73,Money Market,1725.11
5,Danareksa Seruni Pasar Uang III,2.96,Money Market,1598.67
6,Sucorinvest Sharia Money Market Fund,2.62,Money Market,1268.93
7,Danamas Rupiah Plus,2.29,Money Market,1613.67
8,Danareksa Seruni Pasar Uang II,2.07,Money Market,1639.53
9,BNI-AM Dana Likuid,2.01,Money Market,1750.96
