,Mutual Funds,AUM,Type,Last NAV
0,Manulife dana saham kelas A,6.18,Saham,10670.01
1,Batavia Dana Saham,4.83,Saham,61942.0
2,Sucorinvest equity fund,3.17,Saham,2752.81
3,Manulife Saham Andalan,3.02,Saham,2226.38
4,BNI-AM Indeks IDX30,1.72,Saham,853.78
5,BNI-AM Dana Saham Inspiring Equity Fund,1.38,Saham,1015.48
6,Simas Saham Unggulan,1.13,Saham,1284.07
7,Schroder 90 Plus Equity Fund,0.98,Saham,2054.42
8,Sucorinvest Sharia Equity Fund,0.62,Saham,2008.46
9,Danareksa Mawar Konsumer 10 Kelas A,0.364,Saham,1594.16
