,,,,
,,,,
,Date,Present ,Next ,Class
,2022-09-16,63.171.030.000,63.457.970.000,1
,2022-09-19,63.457.970.000,63.278.430.000,0
,2022-09-20,63.278.430.000,63.141.540.000,0
,2022-09-21,63.141.540.000,63.655.960.000,1
,2022-09-22,63.655.960.000,63.241.550.000,0
,2022-09-23,63.241.550.000,62.768.420.000,0
,2022-09-26,62.768.420.000,62.979.600.000,1
,2022-09-27,62.979.600.000,62.350.570.000,0
,2022-09-28,62.350.570.000,62.235.410.000,0
,2022-09-29,62.235.410.000,62.338.870.000,1
,2022-09-30,62.338.870.000,62.193.520.000,0
,2022-10-03,62.193.520.000,62.634.460.000,1
,2022-10-04,62.634.460.000,62.486.040.000,0
,2022-10-05,62.486.040.000,62.522.130.000,1
,2022-10-06,62.522.130.000,62.053.520.000,0
,2022-10-07,62.053.520.000,61.732.530.000,0
,2022-10-10,61.732.530.000,61.366.590.000,0
,2022-10-11,61.366.590.000,61.283.270.000,0
,2022-10-12,61.283.270.000,61.108.740.000,0
,2022-10-13,61.108.740.000,60.503.630.000,0
,2022-10-14,60.503.630.000,60.723.190.000,1
,2022-10-17,60.723.190.000,60.795.540.000,1
,2022-10-18,60.795.540.000,61.072.100.000,1
,2022-10-19,61.072.100.000,62.616.090.000,1
,2022-10-20,62.616.090.000,62.535.290.000,0
,2022-10-21,62.535.290.000,62.643.490.000,1
,2022-10-24,62.643.490.000,62.696.630.000,1
,2022-10-25,62.696.630.000,62.645.630.000,0
,2022-10-26,62.645.630.000,63.130.600.000,1
,2022-10-27,63.130.600.000,63.081.320.000,0
,2022-10-28,63.081.320.000,63.443.500.000,1
,2022-10-31,63.443.500.000,62.875.600.000,0
,2022-11-01,62.875.600.000,62.513.490.000,0
,2022-11-02,62.513.490.000,62.513.270.000,0
,2022-11-03,62.513.270.000,62.747.640.000,1
,2022-11-04,62.747.640.000,63.401.240.000,1
,2022-11-07,63.401.240.000,62.768.530.000,0
,2022-11-08,62.768.530.000,62.908.240.000,1
,2022-11-09,62.908.240.000,62.240.070.000,0
,2022-11-10,62.240.070.000,63.125.620.000,1
,2022-11-11,63.125.620.000,62.574.450.000,0
,2022-11-14,62.574.450.000,62.860.850.000,1
,2022-11-15,62.860.850.000,62.172.190.000,0
,2022-11-16,62.172.190.000,62.221.230.000,1
,2022-11-17,62.221.230.000,62.369.620.000,1
,2022-11-18,62.369.620.000,62.175.250.000,0
,2022-11-21,62.175.250.000,62.041.750.000,0
,2022-11-22,62.041.750.000,62.437.010.000,1
,2022-11-23,62.437.010.000,63.013.390.000,1
,2022-11-24,63.013.390.000,62.685.410.000,0
,2022-11-25,62.685.410.000,62.313.780.000,0
,2022-11-28,62.313.780.000,62.385.330.000,1
,2022-11-29,62.385.330.000,63.191.120.000,1
,2022-11-30,63.191.120.000,63.189.480.000,0
,2022-12-01,63.189.480.000,63.161.420.000,0
,2022-12-02,63.161.420.000,62.851.660.000,0
,2022-12-05,62.851.660.000,62.666.730.000,0
,2022-12-06,62.666.730.000,61.862.170.000,0
,2022-12-07,61.862.170.000,62.022.760.000,1
,2022-12-08,62.022.760.000,61.547.010.000,0
,2022-12-09,61.547.010.000,61.550.620.000,1
,2022-12-12,61.550.620.000,62.084.010.000,1
,2022-12-13,62.084.010.000,62.102.780.000,1
,2022-12-14,62.102.780.000,61.573.350.000,0
,2022-12-15,61.573.350.000,61.942.000.000,1
,2022-12-16,61.942.000.000,,0
