,Unnamed: 0,id,date,value,Next,Class
0,0,3820513,2022-09-16,1647.8351,1659.9706,1
1,1,3821957,2022-09-19,1659.9706,1655.252,0
2,2,3822902,2022-09-20,1655.252,1655.1826,0
3,3,3824446,2022-09-21,1655.1826,1665.8771,1
4,4,3826855,2022-09-22,1665.8771,1654.0295,0
5,5,3827570,2022-09-23,1654.0295,1638.0355,0
6,6,3829803,2022-09-26,1638.0355,1639.372,1
7,7,3830655,2022-09-27,1639.372,1622.7852,0
8,8,3832155,2022-09-28,1622.7852,1620.2275,0
9,9,3833623,2022-09-29,1620.2275,1627.3215,1
10,10,3835178,2022-09-30,1627.3215,1621.6866,0
11,11,3836713,2022-10-03,1621.6866,1635.9305,1
12,12,3839149,2022-10-04,1635.9305,1631.2212,0
13,13,3839784,2022-10-05,1631.2212,1631.4923,1
14,14,3841902,2022-10-06,1631.4923,1619.2168,0
15,15,3843392,2022-10-07,1619.2168,1610.6072,0
16,16,3844305,2022-10-10,1610.6072,1606.7426,0
17,17,3845919,2022-10-11,1606.7426,1610.8794,1
18,18,3847411,2022-10-12,1610.8794,1607.4961,0
19,19,3849917,2022-10-13,1607.4961,1596.684,0
20,20,3850533,2022-10-14,1596.684,1600.3122,1
21,21,3851835,2022-10-17,1600.3122,1600.2979,0
22,22,3853545,2022-10-18,1600.2979,1609.6037,1
23,23,3855924,2022-10-19,1609.6037,1647.7804,1
24,24,3857377,2022-10-20,1647.7804,1654.4515,1
25,25,3858896,2022-10-21,1654.4515,1669.5274,1
26,26,3859573,2022-10-24,1669.5274,1664.5344,0
27,27,3861959,2022-10-25,1664.5344,1658.7282,0
28,28,3863710,2022-10-26,1658.7282,1675.7463,1
29,29,3864254,2022-10-27,1675.7463,1668.3593,0
30,30,3865793,2022-10-28,1668.3593,1681.5204,1
31,31,3867045,2022-10-31,1681.5204,1665.0246,0
32,32,3868656,2022-11-01,1665.0246,1648.2521,0
33,33,3870168,2022-11-02,1648.2521,1650.2831,1
34,34,3871693,2022-11-03,1650.2831,1655.3925,1
35,35,3873241,2022-11-04,1655.3925,1672.033,1
36,36,3875068,2022-11-07,1672.033,1654.8194,0
37,37,3877395,2022-11-08,1654.8194,1655.9877,1
38,38,3877797,2022-11-09,1655.9877,1637.3429,0
39,39,3879331,2022-11-10,1637.3429,1660.7654,1
40,40,3881531,2022-11-11,1660.7654,1639.5791,0
41,41,3882273,2022-11-14,1639.5791,1642.3348,1
42,42,3885475,2022-11-15,1642.3348,1625.8271,0
43,43,3886836,2022-11-16,1625.8271,1624.9377,0
44,44,3888374,2022-11-17,1624.9377,1629.288,1
45,45,3889787,2022-11-18,1629.288,1625.8501,0
46,46,3891264,2022-11-21,1625.8501,1620.1489,0
47,47,3892799,2022-11-22,1620.1489,1630.8931,1
48,48,3894289,2022-11-23,1630.8931,1636.5471,1
49,49,3895761,2022-11-24,1636.5471,1630.0961,0
50,50,3897244,2022-11-25,1630.0961,1624.4384,0
51,51,3899406,2022-11-28,1624.4384,1630.5374,1
52,52,3900127,2022-11-29,1630.5374,1660.8988,1
53,53,3901603,2022-11-30,1660.8988,1649.6942,0
54,54,3903089,2022-12-01,1649.6942,1650.0841,1
55,55,3904621,2022-12-02,1650.0841,1639.4023,0
56,56,3907055,2022-12-05,1639.4023,1614.5998,0
57,57,3908650,2022-12-06,1614.5998,1593.196,0
58,58,3909767,2022-12-07,1593.196,1597.2356,1
59,59,3910551,2022-12-08,1597.2356,1582.5833,0
60,60,3912081,2022-12-09,1582.5833,1590.3469,1
61,61,3914089,2022-12-12,1590.3469,1598.6716,1
62,62,3916121,2022-12-13,1598.6716,1597.6339,0
63,63,3916855,2022-12-14,1597.6339,1583.0099,0
64,64,3918856,2022-12-15,1583.0099,1594.1644,1
65,65,3920391,2022-12-16,1594.1644,,0
