,Unnamed: 0,id,date,value,Next,Class
0,0,3820837,2022-09-16,11704.82,11720.28,1
1,1,3822269,2022-09-19,11720.28,11743.82,1
2,2,3823939,2022-09-20,11743.82,11779.3,1
3,3,3825549,2022-09-21,11779.3,11810.65,1
4,4,3827058,2022-09-22,11810.65,11740.85,0
5,5,3828430,2022-09-23,11740.85,11641.87,0
6,6,3829951,2022-09-26,11641.87,11624.68,0
7,7,3831664,2022-09-27,11624.68,11569.93,0
8,8,3833044,2022-09-28,11569.93,11507.66,0
9,9,3834261,2022-09-29,11507.66,11494.6,0
10,10,3835137,2022-09-30,11494.6,11443.87,0
11,11,3837588,2022-10-03,11443.87,11551.42,1
12,12,3839245,2022-10-04,11551.42,11537.92,0
13,13,3840778,2022-10-05,11537.92,11588.24,1
14,14,3842352,2022-10-06,11588.24,11524.45,0
15,15,3843997,2022-10-07,11524.45,11479.13,0
16,16,3845124,2022-10-10,11479.13,11378.46,0
17,17,3846704,2022-10-11,11378.46,11329.61,0
18,18,3848411,2022-10-12,11329.61,11323.73,0
19,19,3850120,2022-10-13,11323.73,11254.67,0
20,20,3851438,2022-10-14,11254.67,11270.18,1
21,21,3852854,2022-10-17,11270.18,11234.78,0
22,22,3854514,2022-10-18,11234.78,11333.29,1
23,23,3856146,2022-10-19,11333.29,11539.14,1
24,24,3857651,2022-10-20,11539.14,11604.56,1
25,25,3859173,2022-10-21,11604.56,11636.89,1
26,26,3860600,2022-10-24,11636.89,11617.04,0
27,27,3861920,2022-10-25,11617.04,11562.84,0
28,28,3863685,2022-10-26,11562.84,11668.49,1
29,29,3865040,2022-10-27,11668.49,11573.64,0
30,30,3866650,2022-10-28,11573.64,11620.17,1
31,31,3867553,2022-10-31,11620.17,11429.68,0
32,32,3869465,2022-11-01,11429.68,11336.19,0
33,33,3871217,2022-11-02,11336.19,11361.25,1
34,34,3872607,2022-11-03,11361.25,11372.51,1
35,35,3874345,2022-11-04,11372.51,11452.24,1
36,36,3875049,2022-11-07,11452.24,11382.92,0
37,37,3877377,2022-11-08,11382.92,11371.21,0
38,38,3878502,2022-11-09,11371.21,11191.0,0
39,39,3880050,2022-11-10,11191.0,11413.32,1
40,40,3881729,2022-11-11,11413.32,11248.23,0
41,41,3883326,2022-11-14,11248.23,11234.59,0
42,42,3885805,2022-11-15,11234.59,11146.01,0
43,43,3887072,2022-11-16,11146.01,11189.12,1
44,44,3889161,2022-11-17,11189.12,11241.5,1
45,45,3890635,2022-11-18,11241.5,11151.94,0
46,46,3891999,2022-11-21,11151.94,11103.47,0
47,47,3892759,2022-11-22,11103.47,11156.19,1
48,48,3895006,2022-11-23,11156.19,11215.89,1
49,49,3895709,2022-11-24,11215.89,11151.95,0
50,50,3897991,2022-11-25,11151.95,11063.67,0
51,51,3899634,2022-11-28,11063.67,11069.27,1
52,52,3901289,2022-11-29,11069.27,11223.89,1
53,53,3902556,2022-11-30,11223.89,11157.77,0
54,54,3904037,2022-12-01,11157.77,11123.03,0
55,55,3905600,2022-12-02,11123.03,11037.56,0
56,56,3907031,2022-12-05,11037.56,10853.06,0
57,57,3908626,2022-12-06,10853.06,10693.58,0
58,58,3909729,2022-12-07,10693.58,10685.89,0
59,59,3911561,2022-12-08,10685.89,10540.61,0
60,60,3913031,2022-12-09,10540.61,10604.68,1
61,61,3914481,2022-12-12,10604.68,10689.88,1
62,62,3916164,2022-12-13,10689.88,10675.33,0
63,63,3917219,2022-12-14,10675.33,10585.71,0
64,64,3918842,2022-12-15,10585.71,10670.01,1
65,65,3920374,2022-12-16,10670.01,,0
