,,,,
,Date,Present ,Next ,Class
,2022-09-16,13.380.658,13.455.034,1
,2022-09-19,13.455.034,1.342.040.300,1
,2022-09-20,1.342.040.300,1.338.933.000,0
,2022-09-21,1.338.933.000,1.347.130.000,1
,2022-09-22,1.347.130.000,1.337.341.700,0
,2022-09-23,1.337.341.700,1.326.655.300,0
,2022-09-26,1.326.655.300,1.325.006.300,0
,2022-09-27,1.325.006.300,1.317.021.500,0
,2022-09-28,1.317.021.500,1.312.859.500,0
,2022-09-29,1.312.859.500,1.315.299.400,1
,2022-09-30,1.315.299.400,1.312.957.300,0
,2022-10-03,1.312.957.300,1.323.895.500,1
,2022-10-04,1.323.895.500,1.321.753.100,0
,2022-10-05,1.321.753.100,1.322.202.700,1
,2022-10-06,1.322.202.700,1.313.796.800,0
,2022-10-07,1.313.796.800,1.308.336.300,0
,2022-10-10,1.308.336.300,1.301.022.100,0
,2022-10-11,1.301.022.100,1.300.253.400,0
,2022-10-12,1.300.253.400,1.295.751.000,0
,2022-10-13,1.295.751.000,1.287.571.100,0
,2022-10-14,1.287.571.100,1.291.185.300,1
,2022-10-17,1.291.185.300,1.291.426.000,1
,2022-10-18,1.291.426.000,1.294.081.100,1
,2022-10-19,1.294.081.100,1.323.649.400,1
,2022-10-20,1.323.649.400,1.328.451.900,1
,2022-10-21,1.328.451.900,1.336.123.600,1
,2022-10-24,1.336.123.600,1.335.954.200,0
,2022-10-25,1.335.954.200,1.335.603.900,0
,2022-10-26,1.335.603.900,1.346.984.200,1
,2022-10-27,1.346.984.200,1.347.193.500,1
,2022-10-28,1.347.193.500,1.355.955.100,1
,2022-10-31,1.355.955.100,1.341.688.400,0
,2022-11-01,1.341.688.400,1.331.585.700,0
,2022-11-02,1.331.585.700,1.333.057.000,1
,2022-11-03,1.333.057.000,1.339.325.000,1
,2022-11-04,1.339.325.000,1.349.876.200,1
,2022-11-07,1.349.876.200,1.338.646.200,0
,2022-11-08,1.338.646.200,1.339.677.200,1
,2022-11-09,1.339.677.200,1.324.221.400,0
,2022-11-10,1.324.221.400,1.340.420.500,1
,2022-11-11,1.340.420.500,1.328.011.700,0
,2022-11-14,1.328.011.700,1.331.066.300,1
,2022-11-15,1.331.066.300,1.321.850.100,0
,2022-11-16,1.321.850.100,1.323.504.200,1
,2022-11-17,1.323.504.200,1.326.050.200,1
,2022-11-18,1.326.050.200,1.321.616.500,0
,2022-11-21,1.321.616.500,1.318.226.000,0
,2022-11-22,1.318.226.000,1.324.455.800,1
,2022-11-23,1.324.455.800,1.330.567.900,1
,2022-11-24,1.330.567.900,1.326.410.300,0
,2022-11-25,1.326.410.300,1.321.993.400,0
,2022-11-28,1.321.993.400,1.324.143.600,1
,2022-11-29,1.324.143.600,1.341.670.700,1
,2022-11-30,1.341.670.700,1.335.503.700,0
,2022-12-01,1.335.503.700,1.332.728.600,0
,2022-12-02,1.332.728.600,1.324.234.000,0
,2022-12-05,1.324.234.000,1.305.114.500,0
,2022-12-06,1.305.114.500,1.288.113.800,0
,2022-12-07,1.288.113.800,1.288.989.700,1
,2022-12-08,1.288.989.700,1.277.475.800,0
,2022-12-09,1.277.475.800,1.286.547.800,1
,2022-12-12,1.286.547.800,1.295.493.700,1
,2022-12-13,1.295.493.700,1.295.385.600,0
,2022-12-14,1.295.385.600,1.284.070.900,0
,2022-12-15,1.284.070.900,1.292.058.000,1
,2022-12-16,1.292.058.000,,0
