,Unnamed: 0,id,date,value,Next,Class
0,0,3819672,2022-09-16,2950.99,2951.61,1
1,1,3821654,2022-09-19,2951.61,2939.09,0
2,2,3823288,2022-09-20,2939.09,2923.64,0
3,3,3824862,2022-09-21,2923.64,2935.16,1
4,4,3826523,2022-09-22,2935.16,2907.79,0
5,5,3828113,2022-09-23,2907.79,2872.16,0
6,6,3828929,2022-09-26,2872.16,2875.36,1
7,7,3830494,2022-09-27,2875.36,2845.96,0
8,8,3831999,2022-09-28,2845.96,2827.5,0
9,9,3833516,2022-09-29,2827.5,2837.34,1
10,10,3835037,2022-09-30,2837.34,2846.26,1
11,11,3837090,2022-10-03,2846.26,2886.48,1
12,12,3838719,2022-10-04,2886.48,2895.89,1
13,13,3840185,2022-10-05,2895.89,2890.38,0
14,14,3841836,2022-10-06,2890.38,2899.7,1
15,15,3843324,2022-10-07,2899.7,2878.96,0
16,16,3844185,2022-10-10,2878.96,2846.41,0
17,17,3845785,2022-10-11,2846.41,2845.72,0
18,18,3848111,2022-10-12,2845.72,2837.54,0
19,19,3848866,2022-10-13,2837.54,2804.03,0
20,20,3850374,2022-10-14,2804.03,2815.21,1
21,21,3852378,2022-10-17,2815.21,2815.63,1
22,22,3854036,2022-10-18,2815.63,2813.58,0
23,23,3855586,2022-10-19,2813.58,2875.91,1
24,24,3856976,2022-10-20,2875.91,2879.7,1
25,25,3857932,2022-10-21,2879.7,2902.44,1
26,26,3859446,2022-10-24,2902.44,2896.31,0
27,27,3860936,2022-10-25,2896.31,2906.34,1
28,28,3863311,2022-10-26,2906.34,2921.06,1
29,29,3864077,2022-10-27,2921.06,2900.79,0
30,30,3865600,2022-10-28,2900.79,2928.03,1
31,31,3867261,2022-10-31,2928.03,2893.06,0
32,32,3868968,2022-11-01,2893.06,2874.93,0
33,33,3870559,2022-11-02,2874.93,2869.67,0
34,34,3872106,2022-11-03,2869.67,2875.7,1
35,35,3873659,2022-11-04,2875.7,2890.0,1
36,36,3874785,2022-11-07,2890.0,2887.4,0
37,37,3876131,2022-11-08,2887.4,2883.49,0
38,38,3877682,2022-11-09,2883.49,2856.71,0
39,39,3879205,2022-11-10,2856.71,2888.32,1
40,40,3880692,2022-11-11,2888.32,2860.74,0
41,41,3882680,2022-11-14,2860.74,2849.57,0
42,42,3886178,2022-11-15,2849.57,2831.57,0
43,43,3887318,2022-11-16,2831.57,2843.82,1
44,44,3888849,2022-11-17,2843.82,2832.32,0
45,45,3890278,2022-11-18,2832.32,2840.81,1
46,46,3891133,2022-11-21,2840.81,2844.8,1
47,47,3892656,2022-11-22,2844.8,2852.47,1
48,48,3894145,2022-11-23,2852.47,2849.86,0
49,49,3895616,2022-11-24,2849.86,2843.3,0
50,50,3897105,2022-11-25,2843.3,2830.29,0
51,51,3898598,2022-11-28,2830.29,2836.8,1
52,52,3900471,2022-11-29,2836.8,2846.23,1
53,53,3901918,2022-11-30,2846.23,2850.92,1
54,54,3903389,2022-12-01,2850.92,2841.01,0
55,55,3905828,2022-12-02,2841.01,2798.75,0
56,56,3906496,2022-12-05,2798.75,2763.37,0
57,57,3907462,2022-12-06,2763.37,2743.65,0
58,58,3908933,2022-12-07,2743.65,2748.96,1
59,59,3910418,2022-12-08,2748.96,2720.09,0
60,60,3911915,2022-12-09,2720.09,2740.95,1
61,61,3913741,2022-12-12,2740.95,2757.32,1
62,62,3915240,2022-12-13,2757.32,2767.05,1
63,63,3916616,2022-12-14,2767.05,2754.68,0
64,64,3917971,2022-12-15,2754.68,2752.81,0
65,65,3919668,2022-12-16,2752.81,,0
