,Unnamed: 0,id,date,value,Next,Class
0,0,3819674,2022-09-16,2107.56,2126.83,1
1,1,3821658,2022-09-19,2126.83,2129.98,1
2,2,3823293,2022-09-20,2129.98,2120.93,0
3,3,3824867,2022-09-21,2120.93,2130.12,1
4,4,3826528,2022-09-22,2130.12,2131.48,1
5,5,3828118,2022-09-23,2131.48,2108.64,0
6,6,3828932,2022-09-26,2108.64,2088.02,0
7,7,3830497,2022-09-27,2088.02,2057.81,0
8,8,3832002,2022-09-28,2057.81,2030.62,0
9,9,3833519,2022-09-29,2030.62,2040.43,1
10,10,3835039,2022-09-30,2040.43,2084.34,1
11,11,3837095,2022-10-03,2084.34,2098.49,1
12,12,3838724,2022-10-04,2098.49,2099.07,1
13,13,3840190,2022-10-05,2099.07,2104.87,1
14,14,3841839,2022-10-06,2104.87,2082.03,0
15,15,3843327,2022-10-07,2082.03,2082.83,1
16,16,3844187,2022-10-10,2082.83,2076.71,0
17,17,3845788,2022-10-11,2076.71,2074.52,0
18,18,3848113,2022-10-12,2074.52,2071.49,0
19,19,3848869,2022-10-13,2071.49,2071.91,1
20,20,3850377,2022-10-14,2071.91,2067.94,0
21,21,3852381,2022-10-17,2067.94,2051.99,0
22,22,3854041,2022-10-18,2051.99,2053.55,1
23,23,3855591,2022-10-19,2053.55,2073.16,1
24,24,3856980,2022-10-20,2073.16,2079.22,1
25,25,3857934,2022-10-21,2079.22,2093.16,1
26,26,3859448,2022-10-24,2093.16,2076.46,0
27,27,3860938,2022-10-25,2076.46,2114.82,1
28,28,3863313,2022-10-26,2114.82,2101.83,0
29,29,3864080,2022-10-27,2101.83,2081.3,0
30,30,3865603,2022-10-28,2081.3,2091.46,1
31,31,3867265,2022-10-31,2091.46,2083.77,0
32,32,3868972,2022-11-01,2083.77,2106.51,1
33,33,3870563,2022-11-02,2106.51,2113.78,1
34,34,3872110,2022-11-03,2113.78,2103.69,0
35,35,3873664,2022-11-04,2103.69,2095.95,0
36,36,3874787,2022-11-07,2095.95,2104.46,1
37,37,3876133,2022-11-08,2104.46,2092.59,0
38,38,3877685,2022-11-09,2092.59,2080.92,0
39,39,3879208,2022-11-10,2080.92,2098.25,1
40,40,3880695,2022-11-11,2098.25,2073.24,0
41,41,3882684,2022-11-14,2073.24,2067.12,0
42,42,3886183,2022-11-15,2067.12,2053.32,0
43,43,3887322,2022-11-16,2053.32,2060.51,1
44,44,3888854,2022-11-17,2060.51,2058.09,0
45,45,3890282,2022-11-18,2058.09,2060.59,1
46,46,3891135,2022-11-21,2060.59,2069.76,1
47,47,3892658,2022-11-22,2069.76,2076.32,1
48,48,3894147,2022-11-23,2076.32,2068.23,0
49,49,3895618,2022-11-24,2068.23,2063.57,0
50,50,3897107,2022-11-25,2063.57,2059.57,0
51,51,3898600,2022-11-28,2059.57,2056.52,0
52,52,3900475,2022-11-29,2056.52,2062.13,1
53,53,3901922,2022-11-30,2062.13,2057.38,0
54,54,3903393,2022-12-01,2057.38,2060.11,1
55,55,3905831,2022-12-02,2060.11,2031.13,0
56,56,3906498,2022-12-05,2031.13,2013.16,0
57,57,3907464,2022-12-06,2013.16,1994.86,0
58,58,3908935,2022-12-07,1994.86,1996.75,1
59,59,3910420,2022-12-08,1996.75,1978.88,0
60,60,3911917,2022-12-09,1978.88,1987.64,1
61,61,3913745,2022-12-12,1987.64,1997.17,1
62,62,3915244,2022-12-13,1997.17,1988.25,0
63,63,3916620,2022-12-14,1988.25,1994.51,1
64,64,3917975,2022-12-15,1994.51,2008.46,1
65,65,3919672,2022-12-16,2008.46,,0
