,Unnamed: 0,id,date,value,Next ,Class
0,0,3820481,2022-09-16,2652.53,2652.97,1
1,1,3821939,2022-09-19,2652.97,2654.66,1
2,2,3823111,2022-09-20,2654.66,2652.17,0
3,3,3825180,2022-09-21,2652.17,2648.18,0
4,4,3826280,2022-09-22,2648.18,2641.43,0
5,5,3827852,2022-09-23,2641.43,2634.77,0
6,6,3829035,2022-09-26,2634.77,2633.18,0
7,7,3831471,2022-09-27,2633.18,2628.13,0
8,8,3832116,2022-09-28,2628.13,2630.29,1
9,9,3833605,2022-09-29,2630.29,2627.19,0
10,10,3835903,2022-09-30,2627.19,2630.85,1
11,11,3836917,2022-10-03,2630.85,2636.25,1
12,12,3838521,2022-10-04,2636.25,2644.52,1
13,13,3839993,2022-10-05,2644.52,2642.66,0
14,14,3841887,2022-10-06,2642.66,2639.33,0
15,15,3843367,2022-10-07,2639.33,2637.6,0
16,16,3844897,2022-10-10,2637.6,2633.73,0
17,17,3845894,2022-10-11,2633.73,2633.43,0
18,18,3848416,2022-10-12,2633.43,2633.64,1
19,19,3848995,2022-10-13,2633.64,2632.96,0
20,20,3850491,2022-10-14,2632.96,2627.22,0
21,21,3852440,2022-10-17,2627.22,2627.8,1
22,22,3853796,2022-10-18,2627.8,2625.3,0
23,23,3855347,2022-10-19,2625.3,2619.84,0
24,24,3857357,2022-10-20,2619.84,2608.62,0
25,25,3858964,2022-10-21,2608.62,2608.34,0
26,26,3860280,2022-10-24,2608.34,2606.09,0
27,27,3861578,2022-10-25,2606.09,2605.59,0
28,28,3863365,2022-10-26,2605.59,2609.28,1
29,29,3864209,2022-10-27,2609.28,2612.89,1
30,30,3865741,2022-10-28,2612.89,2612.69,0
31,31,3867558,2022-10-31,2612.69,2618.56,1
32,32,3869219,2022-11-01,2618.56,2627.76,1
33,33,3870858,2022-11-02,2627.76,2626.05,0
34,34,3872617,2022-11-03,2626.05,2622.31,0
35,35,3873463,2022-11-04,2622.31,2623.57,1
36,36,3875375,2022-11-07,2623.57,2624.54,1
37,37,3876932,2022-11-08,2624.54,2629.62,1
38,38,3877776,2022-11-09,2629.62,2633.91,1
39,39,3879304,2022-11-10,2633.91,2644.54,1
40,40,3881523,2022-11-11,2644.54,2654.0,1
41,41,3883009,2022-11-14,2654.0,2662.96,1
42,42,3885823,2022-11-15,2662.96,2666.72,1
43,43,3887619,2022-11-16,2666.72,2666.69,0
44,44,3888613,2022-11-17,2666.69,2666.74,1
45,45,3890640,2022-11-18,2666.74,2665.21,0
46,46,3892003,2022-11-21,2665.21,2667.09,1
47,47,3893578,2022-11-22,2667.09,2674.24,1
48,48,3895308,2022-11-23,2674.24,2684.35,1
49,49,3896474,2022-11-24,2684.35,2686.97,1
50,50,3897996,2022-11-25,2686.97,2690.76,1
51,51,3899639,2022-11-28,2690.76,2693.46,1
52,52,3901299,2022-11-29,2693.46,2699.19,1
53,53,3902566,2022-11-30,2699.19,2710.84,1
54,54,3904048,2022-12-01,2710.84,2715.65,1
55,55,3905605,2022-12-02,2715.65,2711.6,0
56,56,3907036,2022-12-05,2711.6,2707.66,0
57,57,3908291,2022-12-06,2707.66,2704.22,0
58,58,3910104,2022-12-07,2704.22,2704.91,1
59,59,3911273,2022-12-08,2704.91,2707.06,1
60,60,3913036,2022-12-09,2707.06,2708.59,1
61,61,3914489,2022-12-12,2708.59,2708.52,0
62,62,3915965,2022-12-13,2708.52,2709.8,1
63,63,3917224,2022-12-14,2709.8,2711.85,1
64,64,3918507,2022-12-15,2711.85,2713.7,1
65,65,3920177,2022-12-16,2713.7,,0
