,Unnamed: 0,id,date,value,Next,Class
0,0,3820480,2022-09-16,2819.01,2817.6,0
1,1,3821938,2022-09-19,2817.6,2818.42,1
2,2,3823112,2022-09-20,2818.42,2817.41,0
3,3,3825179,2022-09-21,2817.41,2811.73,0
4,4,3826281,2022-09-22,2811.73,2808.77,0
5,5,3827853,2022-09-23,2808.77,2803.99,0
6,6,3829033,2022-09-26,2803.99,2800.8,0
7,7,3831470,2022-09-27,2800.8,2797.71,0
8,8,3832114,2022-09-28,2797.71,2799.79,1
9,9,3833603,2022-09-29,2799.79,2796.81,0
10,10,3835902,2022-09-30,2796.81,2797.05,1
11,11,3836918,2022-10-03,2797.05,2801.1,1
12,12,3838522,2022-10-04,2801.1,2804.57,1
13,13,3839994,2022-10-05,2804.57,2805.41,1
14,14,3841885,2022-10-06,2805.41,2804.42,0
15,15,3843365,2022-10-07,2804.42,2802.65,0
16,16,3844896,2022-10-10,2802.65,2801.59,0
17,17,3845892,2022-10-11,2801.59,2801.33,0
18,18,3848415,2022-10-12,2801.33,2802.35,1
19,19,3848993,2022-10-13,2802.35,2799.94,0
20,20,3850489,2022-10-14,2799.94,2796.54,0
21,21,3852438,2022-10-17,2796.54,2796.06,0
22,22,3853797,2022-10-18,2796.06,2793.69,0
23,23,3855348,2022-10-19,2793.69,2789.93,0
24,24,3857356,2022-10-20,2789.93,2783.62,0
25,25,3858965,2022-10-21,2783.62,2781.18,0
26,26,3860279,2022-10-24,2781.18,2780.28,0
27,27,3861577,2022-10-25,2780.28,2779.66,0
28,28,3863363,2022-10-26,2779.66,2783.28,1
29,29,3864207,2022-10-27,2783.28,2783.62,1
30,30,3865739,2022-10-28,2783.62,2784.97,1
31,31,3867557,2022-10-31,2784.97,2787.54,1
32,32,3869218,2022-11-01,2787.54,2790.9,1
33,33,3870857,2022-11-02,2790.9,2789.51,0
34,34,3872618,2022-11-03,2789.51,2788.37,0
35,35,3873464,2022-11-04,2788.37,2790.44,1
36,36,3875374,2022-11-07,2790.44,2790.46,1
37,37,3876931,2022-11-08,2790.46,2791.19,1
38,38,3877774,2022-11-09,2791.19,2791.74,1
39,39,3879302,2022-11-10,2791.74,2799.25,1
40,40,3881522,2022-11-11,2799.25,2803.23,1
41,41,3883008,2022-11-14,2803.23,2807.74,1
42,42,3885824,2022-11-15,2807.74,2810.41,1
43,43,3887618,2022-11-16,2810.41,2810.87,1
44,44,3888614,2022-11-17,2810.87,2811.72,1
45,45,3890639,2022-11-18,2811.72,2812.52,1
46,46,3892002,2022-11-21,2812.52,2814.1,1
47,47,3893577,2022-11-22,2814.1,2817.16,1
48,48,3895307,2022-11-23,2817.16,2822.19,1
49,49,3896473,2022-11-24,2822.19,2825.69,1
50,50,3897995,2022-11-25,2825.69,2827.23,1
51,51,3899638,2022-11-28,2827.23,2829.83,1
52,52,3901300,2022-11-29,2829.83,2834.03,1
53,53,3902567,2022-11-30,2834.03,2842.09,1
54,54,3904049,2022-12-01,2842.09,2847.45,1
55,55,3905604,2022-12-02,2847.45,2846.52,0
56,56,3907035,2022-12-05,2846.52,2845.75,0
57,57,3908290,2022-12-06,2845.75,2842.07,0
58,58,3910103,2022-12-07,2842.07,2843.14,1
59,59,3911272,2022-12-08,2843.14,2844.89,1
60,60,3913035,2022-12-09,2844.89,2845.37,1
61,61,3914490,2022-12-12,2845.37,2844.53,0
62,62,3915966,2022-12-13,2844.53,2847.11,1
63,63,3917223,2022-12-14,2847.11,2809.19,0
64,64,3918508,2022-12-15,2809.19,2812.27,1
65,65,3920178,2022-12-16,2812.27,,0
