timestamp,open,low,high,close,volume
2008-07-16,1500,1500,1760,1730,789786000
2008-07-17,1700,1700,1760,1700,383602500
2008-07-18,1640,1640,1700,1640,95396000
2008-07-21,1680,1640,1690,1680,49749000
2008-07-22,1670,1660,1690,1670,29585500
2008-07-23,1660,1650,1670,1660,42075000
2008-07-24,1630,1610,1650,1630,74595000
2008-07-25,1630,1600,1650,1630,76357500
2008-07-28,1670,1620,1680,1670,75732500
2008-07-29,1680,1650,1690,1680,49173500
2008-07-30,1680,1650,1690,1680,0
2008-07-31,1690,1680,1710,1690,42381500
2008-08-01,1630,1620,1680,1630,78478500
2008-08-04,1590,1590,1630,1590,43837000
2008-08-05,1550,1540,1580,1550,50244500
2008-08-06,1540,1540,1570,1540,48545500
2008-08-07,1560,1540,1570,1560,50999500
2008-08-08,1600,1560,1600,1600,39360500
2008-08-11,1540,1540,1600,1540,39079000
2008-08-12,1510,1510,1560,1510,38431000
2008-08-13,1500,1500,1510,1500,28072500
2008-08-14,1520,1510,1540,1520,33205000
2008-08-15,1530,1510,1540,1530,24960000
2008-08-18,1530,1510,1540,1530,0
2008-08-19,1490,1490,1510,1490,25006500
2008-08-20,1530,1490,1540,1530,39692000
2008-08-21,1530,1530,1540,1530,28790500
2008-08-22,1560,1550,1570,1560,27394000
2008-08-25,1540,1520,1550,1540,29753000
2008-08-26,1540,1530,1560,1540,28639000
2008-08-27,1530,1530,1540,1530,23323500
2008-08-28,1530,1530,1540,1530,29418500
2008-08-29,1540,1530,1550,1540,26630000
2008-09-01,1530,1530,1550,1530,21011500
2008-09-02,1510,1500,1520,1510,26971500
2008-09-03,1480,1480,1510,1480,25662000
2008-09-04,1490,1470,1490,1490,20080000
2008-09-05,1450,1440,1470,1450,30259000
2008-09-08,1450,1450,1480,1450,25948000
2008-09-09,1410,1400,1450,1410,49851500
2008-09-10,1410,1340,1410,1410,35819000
2008-09-11,1400,1390,1410,1400,19940000
2008-09-12,1390,1380,1400,1390,17619500
2008-09-15,1360,1360,1390,1360,25371000
2008-09-16,1320,1240,1340,1320,44673500
2008-09-17,1350,1330,1380,1350,45475500
2008-09-18,1430,1300,1430,1430,3
2008-09-19,1510,1440,1530,1510,110096500
2008-09-22,1510,1510,1540,1510,18809500
2008-09-23,1510,1510,1540,1510,27651500
2008-09-24,1510,1500,1510,1510,18974000
2008-09-25,1490,1490,1510,1490,30922500
2008-09-26,1440,1430,1490,1440,71104000
2008-09-29,1440,1430,1490,1440,0
2008-09-30,1440,1430,1490,1440,0
2008-10-01,1440,1430,1490,1440,0
2008-10-02,1440,1430,1490,1440,0
2008-10-03,1440,1430,1490,1440,0
2008-10-06,1210,1190,1350,1210,3
2008-10-07,1000,980,1100,1000,3
2008-10-08,810,780,910,810,3
2008-10-09,810,810,810,810,0
2008-10-10,810,810,810,810,0
2008-10-13,730,730,810,730,3
2008-10-14,730,730,810,730,0
2008-10-15,730,730,810,730,0
2008-10-16,740,660,800,740,71792000
2008-10-17,740,720,770,740,17754000
2008-10-20,790,710,800,790,3
2008-10-21,760,760,830,760,7740000
2008-10-22,730,710,750,730,5129000
2008-10-23,690,680,710,690,7275000
2008-10-24,690,630,700,700,9426000
2008-10-27,630,630,640,630,3456000
2008-10-28,570,570,600,570,21728000
2008-10-29,520,520,600,520,3
2008-10-30,570,490,570,570,3
2008-10-31,680,540,680,680,3
2008-11-03,810,710,810,810,3
2008-11-04,810,770,850,810,20380000
2008-11-05,770,760,850,770,3
2008-11-06,700,700,700,700,1358000
2008-11-07,660,630,670,660,40742500
2008-11-10,620,620,690,620,3
2008-11-11,640,600,660,640,12207000
2008-11-12,640,610,650,640,6343000
2008-11-13,580,580,620,580,3
2008-11-14,560,560,610,560,3
2008-11-17,530,530,560,530,3
2008-11-18,520,480,520,520,11869000
2008-11-19,500,480,510,500,6924000
2008-11-20,490,470,500,490,5832000
2008-11-21,480,460,485,480,21885000
2008-11-24,470,465,485,470,3996000
2008-11-25,480,470,500,480,27690500
2008-11-26,530,485,550,530,3
2008-11-27,500,480,570,500,3
2008-11-28,490,490,530,520,19648000
2008-12-01,510,500,540,510,13396500
2008-12-02,470,460,480,470,12917000
2008-12-03,470,465,485,470,5268000
2008-12-04,495,480,500,495,12923000
2008-12-05,475,470,490,475,13778000
2008-12-08,475,470,490,475,0
2008-12-09,490,485,505,490,11217000
2008-12-10,520,480,530,520,3
2008-12-11,530,510,550,530,60031000
2008-12-12,500,490,530,500,24431500
2008-12-15,490,490,540,490,3
2008-12-16,500,490,505,500,8261000
2008-12-17,510,500,520,510,17197000
2008-12-18,500,490,510,500,17704000
2008-12-19,480,480,500,480,10967000
2008-12-22,485,475,495,485,5012000
2008-12-23,485,480,490,485,1856500
2008-12-24,490,485,500,490,2823000
2008-12-25,490,485,500,490,0
2008-12-26,490,485,500,490,0
2008-12-29,490,485,500,490,0
2008-12-30,485,485,495,485,2691000
2008-12-31,485,485,485,485,0
2009-01-01,485,485,485,485,0
2009-01-02,485,485,485,485,0
2009-01-05,520,485,520,520,3
2009-01-06,520,510,540,510,11781500
2009-01-07,520,510,550,520,27035500
2009-01-08,500,500,510,500,2130000
2009-01-09,510,510,520,510,1698000
2009-01-12,550,510,580,550,3
2009-01-13,660,540,660,660,3
2009-01-14,680,660,750,680,118802500
2009-01-15,660,620,690,660,38034500
2009-01-16,670,650,700,670,26462500
2009-01-19,650,640,680,650,8579500
2009-01-20,630,610,650,630,26961000
2009-01-21,640,600,680,640,32071000
2009-01-22,640,630,670,640,7662000
2009-01-23,640,620,640,640,3696500
2009-01-26,640,620,640,640,0
2009-01-27,690,650,690,690,3
2009-01-28,690,680,690,690,6889500
2009-01-29,720,700,740,720,75027000
2009-01-30,740,710,760,740,31744000
2009-02-02,730,710,750,730,16230000
2009-02-03,730,710,740,730,7222500
2009-02-04,770,730,770,770,3
2009-02-05,820,770,830,820,3
2009-02-06,870,830,870,870,62025000
2009-02-09,830,820,890,830,3
2009-02-10,850,810,870,850,12250000
2009-02-11,860,830,870,860,12423000
2009-02-12,850,830,860,850,5682000
2009-02-13,840,830,850,840,6425000
2009-02-16,830,820,850,830,3942000
2009-02-17,800,790,830,800,6605000
2009-02-18,820,770,830,820,11894000
2009-02-19,810,800,820,810,6976500
2009-02-20,790,770,820,790,10847500
2009-02-23,800,780,820,800,14914000
2009-02-24,780,760,790,780,8408500
2009-02-25,780,770,790,780,5669500
2009-02-26,770,760,790,770,6637500
2009-02-27,770,770,790,770,4059000
2009-03-02,730,730,780,730,3
2009-03-03,720,710,740,720,5855500
2009-03-04,760,720,760,760,3
2009-03-05,760,760,800,760,22316500
2009-03-06,750,750,770,750,1650000
2009-03-09,750,750,770,750,0
2009-03-10,770,760,780,770,2072500
2009-03-11,770,770,790,770,10249000
2009-03-12,770,760,790,770,3955500
2009-03-13,770,770,790,770,4976000
2009-03-16,750,750,790,750,2698000
2009-03-17,740,730,760,740,9686500
2009-03-18,740,730,750,740,4155500
2009-03-19,740,740,760,740,4216500
2009-03-20,780,750,790,780,15422500
2009-03-23,820,790,830,820,32856500
2009-03-24,890,820,1000,890,3
2009-03-25,890,880,930,890,43654500
2009-03-26,890,880,930,890,0
2009-03-27,940,910,950,940,34683000
2009-03-30,890,880,940,890,3
