timestamp,open,low,high,close,volume
2009-01-15,39,39,42,39,313145000
2009-01-16,40,39,40,40,47215000
2009-01-19,40,39,40,40,11965000
2009-01-20,39,32,39,39,5510000
2009-01-21,33,33,39,39,3685000
2009-01-22,39,36,39,39,4525000
2009-01-23,37,37,38,37,95000
2009-01-26,37,37,38,37,0
2009-01-27,38,38,39,38,2420000
2009-01-28,38,38,40,40,4185000
2009-01-29,39,39,40,39,1130000
2009-01-30,40,39,40,40,150000
2009-02-02,40,39,40,40,3855000
2009-02-03,40,39,40,40,205000
2009-02-04,40,40,40,40,30
2009-02-05,40,39,40,40,1215000
2009-02-06,40,39,40,40,2825000
2009-02-09,39,39,39,39,65000
2009-02-10,39,39,41,41,1035000
2009-02-11,39,39,42,39,1930000
2009-02-12,40,38,40,40,5820000
2009-02-13,40,40,40,40,30
2009-02-16,40,40,40,40,20
2009-02-17,40,40,40,40,20
2009-02-18,40,40,40,40,20
2009-02-19,40,40,40,40,20
2009-02-20,40,40,40,40,20
2009-02-23,40,40,40,40,20
2009-02-24,40,40,40,40,20
2009-02-25,40,40,40,40,20
2009-02-26,40,40,40,40,20
2009-02-27,40,40,40,40,20
2009-03-02,40,40,40,40,0
2009-03-03,40,40,40,40,20
2009-03-04,40,40,40,40,20
2009-03-05,40,40,40,40,20
2009-03-06,35,35,37,37,255000
2009-03-09,35,35,37,37,0
2009-03-10,37,37,37,37,0
2009-03-11,33,33,36,33,40000
2009-03-12,33,33,39,37,4400000
2009-03-13,38,37,38,38,270000
2009-03-16,39,37,39,39,505000
2009-03-17,38,38,38,38,185000
2009-03-18,39,37,39,39,565000
2009-03-19,39,39,39,39,0
2009-03-20,39,38,39,39,445000
2009-03-23,39,39,39,39,30
2009-03-24,39,39,39,39,20
2009-03-25,35,35,35,35,25000
2009-03-26,35,35,35,35,0
2009-03-27,35,35,35,35,10
2009-03-30,35,35,35,35,20
2009-03-31,35,35,35,35,10
2009-04-01,35,35,38,38,75000
2009-04-02,38,38,38,38,20
2009-04-03,39,38,39,39,105000
2009-04-06,39,39,39,39,20
2009-04-07,39,39,39,39,20
2009-04-08,39,39,39,39,20
2009-04-09,39,39,39,39,0
2009-04-10,39,39,39,39,0
2009-04-13,38,38,38,38,2545000
2009-04-14,39,38,39,39,205000
2009-04-15,39,39,39,39,5000
2009-04-16,39,39,39,39,20
2009-04-17,39,39,39,39,0
2009-04-20,39,39,39,39,20
2009-04-21,39,39,39,39,0
2009-04-22,35,35,35,35,40000
2009-04-23,34,34,34,34,10000
2009-04-24,34,34,34,34,10
2009-04-27,37,37,37,37,4750000
2009-04-28,37,37,37,37,20
2009-04-29,37,37,37,37,0
2009-04-30,35,35,35,35,5000
2009-05-01,35,35,35,35,20
2009-05-04,35,35,35,35,10
2009-05-05,35,35,35,35,10
2009-05-06,34,34,39,39,15000
2009-05-07,37,37,39,37,25000
2009-05-08,39,39,39,39,10000
2009-05-11,34,34,35,34,40000
2009-05-12,34,34,34,34,20
2009-05-13,34,34,34,34,50000
2009-05-14,34,34,34,34,10000
2009-05-15,34,34,34,34,20
2009-05-18,35,35,35,35,40000
2009-05-19,34,34,34,34,10000
