timestamp,open,low,high,close,volume
2001-04-16,100,98,100,98,26720769
2001-04-17,98,96,98,96,46143469
2001-04-18,96,96,98,98,49430188
2001-04-19,100,94,100,96,171685797
2001-04-20,92,86,92,88,259307923
2001-04-23,86,85,90,88,217479890
2001-04-24,88,88,92,90,170456512
2001-04-25,90,90,98,98,269685675
2001-04-26,90,90,98,98,269685675
2001-04-27,92,92,102,100,578449667
2001-04-30,102,100,110,108,469489744
2001-05-01,110,106,113,106,1017136123
2001-05-02,106,106,112,106,504990195
2001-05-03,106,106,117,117,830051916
2001-05-04,117,115,119,115,449348883
2001-05-07,115,115,115,115,0
2001-05-08,115,115,117,117,168871381
2001-05-09,113,112,115,113,234321092
2001-05-10,113,108,115,108,306027216
2001-05-11,108,108,112,110,178155717
2001-05-14,110,108,110,108,60933706
2001-05-15,108,108,112,110,79728824
2001-05-16,112,110,117,115,231668425
2001-05-17,117,115,119,115,264419160
2001-05-18,115,113,115,115,85357654
2001-05-21,112,112,115,113,138896242
2001-05-22,115,112,117,113,181707703
2001-05-23,112,112,113,112,35306353
2001-05-24,112,112,112,112,0
2001-05-25,112,112,119,117,466811197
2001-05-28,115,115,119,115,512081228
2001-05-29,117,117,135,135,1328274576
2001-05-30,135,133,141,133,1445897721
2001-05-31,137,131,141,133,971568476
2001-06-01,133,123,135,123,562760111
2001-06-04,123,123,123,123,0
2001-06-05,121,115,123,121,625822421
2001-06-06,125,123,127,125,308841631
2001-06-07,125,123,127,123,102535292
2001-06-08,125,123,127,125,71913160
2001-06-11,125,125,131,127,289606559
2001-06-12,129,129,133,133,458555580
2001-06-13,135,131,135,131,286028693
2001-06-14,133,131,135,133,259592600
2001-06-15,131,131,133,133,83384328
2001-06-18,131,131,135,133,77043807
2001-06-19,133,133,137,133,136385913
2001-06-20,133,133,139,137,189956851
2001-06-21,139,137,141,141,542185765
2001-06-22,139,137,141,139,152560713
2001-06-25,139,135,139,137,207645612
2001-06-26,137,137,139,139,206817462
2001-06-27,139,139,144,141,630636042
2001-06-28,142,139,142,142,403697128
2001-06-29,142,142,152,152,1396499882
2001-07-02,152,146,152,148,238668878
2001-07-03,148,144,148,144,114284666
2001-07-04,146,142,146,144,93296246
2001-07-05,144,144,146,146,71453796
2001-07-06,146,144,146,146,53040404
2001-07-09,144,144,150,150,249758321
2001-07-10,148,148,168,162,1154718972
2001-07-11,162,160,166,160,752678143
2001-07-12,162,154,164,154,302423470
2001-07-13,156,156,162,156,523222430
2001-07-16,158,158,162,160,187537101
2001-07-17,158,158,160,160,150328591
2001-07-18,160,160,166,164,305541972
2001-07-19,166,166,181,181,1059960523
2001-07-20,181,181,189,185,2449369373
2001-07-23,200,193,216,208,2485057452
2001-07-24,214,200,214,202,1443148005
2001-07-25,200,191,202,193,1977362830
2001-07-26,193,183,198,187,1171728391
2001-07-27,187,181,189,185,652051477
2001-07-30,187,185,191,189,348987484
2001-07-31,191,181,191,183,476011424
2001-08-01,183,183,193,185,328439018
2001-08-02,185,177,187,177,218612126
2001-08-03,177,171,179,179,334695431
2001-08-06,179,177,181,177,102179446
2001-08-07,177,177,185,185,245061159
2001-08-08,185,185,193,193,524814030
2001-08-09,197,181,200,183,1606985789
