Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,8050,15493741080650.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Pengembangan,Consumer Cyclicals,149,586448035693.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2002-04-03,2022-12-09
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Pengembangan,Financials,6700,4159404756000.0,2021-11-01 09:00:00,2022-11-11 15:59:00,2020-04-16 09:00:00,2022-11-11 16:00:00,2001-04-16,2022-12-09
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Utama,Industrials,3380,9305697700000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2011-12-06,2022-12-09
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000.0,Utama,Consumer Cyclicals,436,7477400000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2007-11-06,2022-12-09
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000.0,Utama,Infrastructures,164,2078726240000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2013-06-24,2022-12-09
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Utama,Properties & Real Estate,68,1511111109600.0,2022-02-21 09:00:00,2022-12-09 15:59:00,2021-05-21 09:00:00,2022-12-09 16:00:00,2021-05-21,2022-12-09
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Pengembangan,Consumer Non-Cyclicals,7425,4379983740000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376.0,Utama,Infrastructures,505,1798228934880.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2004-03-18,2022-12-09
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000.0,Utama,Financials,8825,8825000000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2004-03-31,2022-12-09
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Utama,Basic Materials,149,579487754291.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy,1670,68273493605000.0,2022-01-03 09:00:00,2022-12-09 15:59:00,2022-01-03 09:00:00,2022-12-09 16:00:00,2022-01-03,2022-12-09
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy,3680,117708340160000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2008-07-16,2022-12-09
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Pengembangan,Consumer Non-Cyclicals,278,278000000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2019-12-02,2022-12-09
AGII,Aneka Gas Industri Tbk.,2016-09-28,3066660000.0,Utama,Basic Materials,2350,7206651000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2016-09-28,2022-12-09
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,22520054593.0,Utama,Financials,446,10043944348478.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2003-08-08,2022-12-09
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,17481603282.0,Pengembangan,Financials,91,1590825898662.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2014-12-22,2022-12-09
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2940000000.0,Pengembangan,Financials,79,232260000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000.0,Pengembangan,Energy,222,48840000000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-07-20,2022-12-09
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Utama,Consumer Non-Cyclicals,156,1452640800000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Pengembangan,Consumer Cyclicals,50,322473181800.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2004-11-01,2022-12-09
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Pengembangan,Basic Materials,1320,808167360000.0,2021-11-01 09:00:00,2022-12-09 15:59:00,2020-04-16 09:00:00,2022-12-09 16:00:00,2001-04-16,2022-12-09
