timestamp,open,low,high,close,volume
2013-07-03,4050,3500,4100,3800,24711500
2013-07-04,3900,3600,3900,3600,543500
2013-07-05,3650,3600,3825,3825,1479000
2013-07-08,3825,3725,3825,3775,306500
2013-07-09,3750,3725,3750,3725,234000
2013-07-10,3700,3675,3725,3725,425500
2013-07-11,3725,3725,3750,3725,383500
2013-07-12,3725,3700,3750,3725,433500
2013-07-15,3725,3725,3775,3775,2500
2013-07-16,3725,3650,3725,3650,104500
2013-07-17,3625,3575,3800,3800,2344500
2013-07-18,3675,3675,3800,3700,45500
2013-07-19,3700,3700,3750,3750,3500
2013-07-22,3775,3775,3875,3875,513000
2013-07-23,3900,3875,4100,4100,32500
2013-07-24,4025,3850,4025,4025,20500
2013-07-25,3975,3975,4000,4000,34000
2013-07-26,3975,3975,3975,3975,363500
2013-07-29,3950,3950,3950,3950,4000
2013-07-30,3825,3825,3825,3825,11000
2013-07-31,3800,3800,3950,3950,4000
2013-08-01,3825,3800,3850,3825,198500
2013-08-02,3825,3825,3825,3825,198500
2013-08-05,3825,3825,3825,3825,0
2013-08-06,3825,3825,3825,3825,0
2013-08-07,3825,3825,3825,3825,0
2013-08-08,3825,3825,3825,3825,0
2013-08-09,3825,3825,3825,3825,0
2013-08-12,3825,3825,3825,3825,0
2013-08-13,3825,3825,3825,3825,350500
2013-08-14,3850,3850,3850,3850,1000
2013-08-15,3850,3850,3850,3850,1000
2013-08-16,3650,3650,3675,3650,6500
2013-08-19,3700,3650,3700,3650,189500
2013-08-20,3550,3550,3650,3650,157500
2013-08-21,3550,3550,3650,3550,1059000
2013-08-22,3500,3300,3500,3500,961500
2013-08-23,3525,3400,3525,3450,1095500
2013-08-26,3400,3200,3400,3200,743000
2013-08-27,3100,2775,3100,3025,1370500
2013-08-28,2950,2900,3125,3125,974500
2013-08-29,3025,3025,3100,3100,151000
2013-08-30,3100,3050,3100,3050,236500
2013-09-02,3050,3000,3050,3050,199000
2013-09-03,3075,3075,3275,3275,1691500
2013-09-04,3275,3275,3275,3275,25000
2013-09-05,3300,3250,3325,3250,650000
2013-09-06,3225,3075,3225,3075,727500
2013-09-09,3075,3075,3150,3125,1163000
2013-09-10,3125,3100,3125,3100,506000
2013-09-11,3100,3100,3100,3100,226500
2013-09-12,3100,3100,3125,3125,414000
2013-09-13,3100,3100,3100,3100,252500
2013-09-16,3100,3075,3100,3075,315500
2013-09-17,3100,3100,3100,3100,512000
2013-09-18,3125,3100,3125,3100,160000
2013-09-19,3100,3100,3375,3375,6029500
2013-09-20,3375,3375,3475,3475,4170000
2013-09-23,3350,3350,3525,3500,679500
2013-09-24,3475,3475,3525,3525,3212500
2013-09-25,3450,3400,3450,3400,293500
2013-09-26,3400,3400,3450,3425,329500
2013-09-27,3450,3450,3475,3450,52500
2013-09-30,3400,3375,3400,3400,123000
2013-10-01,3450,3450,3450,3450,441000
2013-10-02,3475,3475,3525,3525,1461500
2013-10-03,3525,3525,3525,3525,52500
2013-10-04,3500,3500,3500,3500,215000
2013-10-07,3500,3500,3500,3500,71500
2013-10-08,3500,3500,3500,3500,25000
2013-10-09,3475,3450,3475,3450,114000
2013-10-10,3450,3425,3450,3450,63000
2013-10-11,3450,3450,3475,3450,113000
2013-10-14,3450,3450,3475,3450,0
2013-10-15,3450,3450,3475,3450,0
2013-10-16,3450,3400,3450,3400,94500
2013-10-17,3425,3375,3425,3375,84000
2013-10-18,3375,3375,3475,3375,703000
2013-10-21,3400,3375,3400,3375,544500
2013-10-22,3375,3375,3375,3375,449000
2013-10-23,3375,3375,3450,3425,589500
2013-10-24,3425,3425,3425,3425,12500
2013-10-25,3400,3400,3400,3400,35000
2013-10-28,3400,3375,3400,3400,38000
2013-10-29,3375,3375,3375,3375,35000
2013-10-30,3375,3375,3375,3375,35000
2013-10-31,3350,3300,3350,3300,143000
2013-11-01,3275,3250,3275,3250,159000
2013-11-04,3250,3250,3250,3250,31500
2013-11-05,3250,3250,3250,3250,0
2013-11-06,3225,3150,3225,3150,187000
2013-11-07,3150,3125,3175,3175,45000
2013-11-08,3175,3175,3200,3200,447500
2013-11-11,3200,3200,3250,3200,245000
2013-11-12,3200,3175,3225,3175,234000
2013-11-13,3150,3150,3150,3150,29500
2013-11-14,3175,3175,3225,3200,582500
2013-11-15,3200,3200,3200,3200,29500
2013-11-18,3200,3200,3225,3200,89500
2013-11-19,3200,3175,3200,3200,85500
2013-11-20,3200,3200,3200,3200,52500
2013-11-21,3200,3200,3200,3200,617000
2013-11-22,3200,3200,3300,3275,324500
2013-11-25,3250,3250,3400,3325,2531500
2013-11-26,3325,3325,3450,3450,1978000
2013-11-27,3450,3275,3550,3275,4262000
2013-11-28,3325,3275,3350,3275,380000
2013-11-29,3275,3100,3275,3225,492000
2013-12-02,3200,3150,3200,3150,153500
2013-12-03,3125,3075,3125,3100,99500
2013-12-04,3075,3050,3075,3050,65000
2013-12-05,3050,2950,3050,2950,184000
2013-12-06,2925,2900,2950,2925,40500
2013-12-09,2950,2950,2950,2950,7000
2013-12-10,2950,2950,2950,2950,18500
2013-12-11,2925,2925,2925,2925,27500
2013-12-12,2900,2850,2900,2850,68000
2013-12-13,2875,2850,2875,2850,41500
2013-12-16,2850,2825,2850,2850,45000
2013-12-17,2850,2850,2900,2900,396500
2013-12-18,2875,2825,2875,2850,140500
2013-12-19,2850,2825,2875,2825,244500
2013-12-20,2825,2800,2825,2800,361000
2013-12-23,2800,2750,2800,2750,302000
2013-12-24,2750,2700,2750,2725,234000
2013-12-25,2750,2700,2750,2725,0
2013-12-26,2750,2700,2750,2725,0
2013-12-27,2725,2725,2725,2725,921000
2013-12-30,2775,2775,2775,2775,22500
2013-12-31,2775,2775,2775,2775,0
2014-01-01,2775,2775,2775,2775,0
2014-01-02,2775,2750,2800,2775,152500
2014-01-03,2775,2700,2775,2700,324500
2014-01-06,2700,2695,2700,2695,111900
2014-01-07,2690,2680,2690,2685,132400
2014-01-08,2685,2680,2685,2680,91000
2014-01-09,2675,2665,2675,2670,141800
2014-01-10,2665,2660,2665,2665,53100
2014-01-13,2665,2645,2665,2650,196700
2014-01-14,2665,2645,2665,2650,0
2014-01-15,2650,2600,2650,2640,343500
2014-01-16,2635,2630,2670,2635,270600
2014-01-17,2630,2500,2630,2605,197000
2014-01-20,2605,2585,2605,2590,73000
2014-01-21,2595,2595,2620,2600,332500
2014-01-22,2595,2585,2595,2590,14200
2014-01-23,2585,2580,2585,2580,9000
2014-01-24,2550,2550,2580,2550,58700
2014-01-27,2540,2530,2550,2540,40800
2014-01-28,2525,2500,2525,2500,21100
2014-01-29,2500,2500,2500,2500,253300
2014-01-30,2500,2480,2500,2480,32500
2014-01-31,2500,2480,2500,2480,0
2014-02-03,2480,2475,2495,2495,12300
2014-02-04,2490,2465,2495,2490,56500
2014-02-05,2495,2495,2580,2580,171400
2014-02-06,2580,2555,2580,2560,38800
2014-02-07,2565,2560,2575,2565,174000
2014-02-10,2565,2550,2570,2565,47600
2014-02-11,2565,2550,2565,2550,14900
2014-02-12,2550,2545,2550,2545,14300
2014-02-13,2540,2515,2540,2515,22300
2014-02-14,2515,2495,2515,2495,35100
2014-02-17,2500,2490,2505,2490,170600
2014-02-18,2490,2480,2810,2810,1125200
2014-02-19,2810,2795,3065,3000,1301500
2014-02-20,3000,2975,3015,3015,452300
2014-02-21,3010,3010,3080,3055,504300
2014-02-24,3055,3015,3075,3015,628400
2014-02-25,3010,2700,3010,3005,35100
2014-02-26,2810,2810,2980,2980,6700
2014-02-27,2970,2850,2980,2980,9300
2014-02-28,2930,2930,2990,2990,44400
2014-03-03,2985,2985,2995,2995,46500
2014-03-04,2990,2970,3000,2980,398000
2014-03-05,2980,2975,2985,2980,208000
2014-03-06,2980,2950,2980,2950,23700
2014-03-07,2945,2940,2950,2950,58400
2014-03-10,2950,2935,2970,2935,216100
2014-03-11,2935,2780,2935,2850,30900
2014-03-12,2850,2835,2850,2835,16600
2014-03-13,2835,2835,2860,2860,263700
2014-03-14,2860,2840,2860,2860,19200
2014-03-17,2860,2860,2905,2900,249600
2014-03-18,2900,2900,2915,2900,172900
2014-03-19,2900,2895,2955,2900,787100
2014-03-20,2895,2785,2895,2785,2041200
2014-03-21,2790,2500,2825,2500,151400
2014-03-24,2525,2475,2645,2500,1018300
2014-03-25,2505,2490,2520,2500,181700
2014-03-26,2500,2300,2500,2300,1226400
2014-03-27,2300,2280,2310,2295,1066500
2014-03-28,2295,2290,2295,2295,82200
2014-03-31,2295,2290,2295,2295,0
2014-04-01,2300,2295,2345,2335,440500
2014-04-02,2330,2260,2335,2270,1677100
2014-04-03,2280,2270,2280,2270,73100
2014-04-04,2270,2215,2270,2235,21400
2014-04-07,2235,2175,2235,2175,99300
2014-04-08,2175,2125,2175,2125,69400
2014-04-09,2125,2125,2125,2125,0
2014-04-10,2125,2070,2150,2090,778600
2014-04-11,2090,2090,2160,2140,187500
2014-04-14,2140,2140,2165,2155,269000
2014-04-15,2175,2175,2235,2220,157400
2014-04-16,2250,2170,2320,2320,188100
2014-04-17,2305,2250,2320,2300,125400
2014-04-18,2305,2250,2320,2300,0
2014-04-21,2300,2300,2325,2300,46600
2014-04-22,2260,2210,2300,2300,89600
2014-04-23,2250,2250,2290,2290,13900
2014-04-24,2300,2250,2300,2250,13200
2014-04-25,2250,2250,2250,2250,7300
2014-04-28,2250,2215,2250,2250,91500
2014-04-29,2250,2230,2300,2300,68000
2014-04-30,2330,2300,2335,2300,107000
2014-05-01,2330,2300,2335,2300,0
2014-05-02,2250,2230,2300,2245,1464200
2014-05-05,2235,2200,2300,2290,27200
2014-05-06,2290,2290,2300,2300,70500
2014-05-07,2330,2330,2330,2330,5800
