timestamp,open,low,high,close,volume
2022-02-08,895,795,895,825,50305400
2022-02-09,825,770,825,815,11716500
2022-02-10,815,815,835,825,6150100
2022-02-11,825,785,830,790,1530100
2022-02-14,790,735,790,740,2955500
2022-02-15,720,690,735,695,3469000
2022-02-16,680,660,710,705,1650700
2022-02-17,710,680,720,715,1061800
2022-02-18,715,700,720,720,397800
2022-02-21,715,705,735,720,687400
2022-02-22,680,670,720,680,8657100
2022-02-23,680,635,725,710,2301300
2022-02-24,710,680,725,725,3163100
2022-02-25,715,705,725,710,174500
2022-02-28,715,705,725,710,0
2022-03-01,710,700,765,765,2002000
2022-03-02,765,730,800,785,2916200
2022-03-03,765,730,800,785,0
2022-03-04,790,765,825,815,1638200
2022-03-07,815,785,825,795,846600
2022-03-08,790,775,810,795,748600
2022-03-09,795,780,810,805,654600
2022-03-10,805,795,815,810,700200
2022-03-11,810,805,825,805,343000
2022-03-14,810,795,810,800,104000
2022-03-15,810,780,815,815,2625000
2022-03-16,820,800,840,840,8538200
2022-03-17,845,825,850,830,3103300
2022-03-18,830,825,840,830,466000
2022-03-21,835,815,840,825,17004100
2022-03-22,830,825,850,840,2710500
2022-03-23,845,835,845,835,100100
2022-03-24,830,825,840,830,253900
2022-03-25,830,825,835,830,265400
2022-03-28,830,825,835,835,146400
2022-03-29,835,825,835,830,342900
2022-03-30,830,825,830,825,124200
2022-03-31,825,820,830,820,247600
2022-04-01,820,815,820,815,276700
2022-04-04,815,810,820,810,151900
2022-04-05,810,795,815,805,830700
2022-04-06,805,800,815,800,92300
2022-04-07,805,795,825,820,2385400
2022-04-08,805,805,845,845,1478100
2022-04-11,845,830,860,860,902000
2022-04-12,860,845,860,850,912900
2022-04-13,850,845,855,855,205400
2022-04-14,855,845,865,845,983500
2022-04-15,855,845,865,845,0
2022-04-18,835,825,850,850,1634300
2022-04-19,845,845,860,855,683400
2022-04-20,865,850,870,860,569200
2022-04-21,860,855,870,870,596300
2022-04-22,875,875,900,880,1194300
2022-04-25,880,870,900,900,874900
2022-04-26,905,905,940,935,1473100
2022-04-27,945,935,1010,995,6994400
2022-04-28,1000,960,1025,995,3059400
2022-04-29,1000,960,1025,995,0
2022-05-02,1000,960,1025,995,0
2022-05-03,1000,960,1025,995,0
2022-05-04,1000,960,1025,995,0
2022-05-05,1000,960,1025,995,0
2022-05-06,1000,960,1025,995,0
2022-05-09,990,945,990,945,2431800
2022-05-10,945,895,945,940,12412700
2022-05-11,940,940,955,955,732800
2022-05-12,950,950,980,980,1520300
2022-05-13,985,970,1015,1015,1366800
2022-05-16,985,970,1015,1015,0
2022-05-17,1015,990,1020,1010,683300
2022-05-18,1010,1000,1035,1035,1053900
2022-05-19,1040,1035,1070,1070,2397500
2022-05-20,1070,1060,1100,1100,5204200
2022-05-23,1100,1080,1120,1090,3347200
2022-05-24,1095,1055,1095,1080,2785700
2022-05-25,1080,1045,1105,1105,8509100
2022-05-26,1080,1045,1105,1105,0
2022-05-27,1080,1045,1105,1105,0
2022-05-30,1140,1125,1200,1200,7571700
2022-05-31,1200,1170,1220,1185,13575800
2022-06-01,1200,1170,1220,1185,0
2022-06-02,1185,1170,1235,1235,7986500
2022-06-03,1240,1235,1280,1275,3634100
2022-06-06,1275,1275,1335,1335,5928900
2022-06-07,1340,1310,1355,1320,7696300
2022-06-08,1320,1305,1320,1310,644900
2022-06-09,1310,1285,1350,1350,15382800
2022-06-10,1345,1340,1435,1435,7584900
2022-06-13,1455,1400,1640,1530,3295600
2022-06-14,1530,1530,1700,1700,8784400
2022-06-15,1705,1665,1720,1680,10996400
2022-06-16,1680,1680,1755,1755,6796600
2022-06-17,1755,1680,1755,1730,5502800
2022-06-20,1725,1695,1730,1725,2401300
2022-06-21,1720,1720,1880,1745,4001000
2022-06-22,1745,1700,1775,1735,3452900
2022-06-23,1725,1675,1750,1695,3556200
2022-06-24,1700,1645,1710,1645,4439600
2022-06-27,1645,1540,1645,1570,5659200
2022-06-28,1570,1515,1570,1555,3755600
2022-06-29,1560,1560,1595,1595,1807800
2022-06-30,1605,1565,1635,1565,844900
2022-07-01,1565,1520,1565,1520,2065200
2022-07-04,1520,1510,1525,1520,833700
2022-07-05,1515,1505,1530,1530,2748600
2022-07-06,1525,1525,1545,1540,2916100
2022-07-07,1535,1530,1570,1570,3304800
2022-07-08,1570,1570,1610,1610,3513400
2022-07-11,1615,1615,1690,1690,10774300
2022-07-12,1690,1670,1710,1675,4200100
2022-07-13,1675,1585,1685,1585,3543100
2022-07-14,1575,1500,1585,1550,2614800
2022-07-15,1550,1540,1555,1545,500200
2022-07-18,1545,1525,1560,1535,1097400
2022-07-19,1535,1520,1535,1535,354400
2022-07-20,1535,1495,1535,1525,5152100
2022-07-21,1515,1490,1525,1525,3152700
2022-07-22,1525,1525,1575,1575,2207200
2022-07-25,1580,1570,1605,1595,4053300
2022-07-26,1600,1600,1650,1650,3581400
2022-07-27,1650,1650,1715,1690,7227500
2022-07-28,1690,1690,1755,1755,3017300
2022-07-29,1755,1720,1795,1770,4338100
2022-08-01,1780,1770,1815,1815,5595200
2022-08-02,1815,1720,1815,1755,4562000
2022-08-03,1755,1720,1970,1880,4352100
2022-08-04,1885,1880,1950,1925,5467500
2022-08-05,1925,1850,1930,1885,5306400
