timestamp,open,low,high,close,volume
2005-09-29,2071,1997,2268,2268,5234740
2005-09-30,2268,2268,2441,2391,2198925
2005-10-03,2318,2318,2490,2441,1488760
2005-10-04,2490,2441,2515,2490,751223
2005-10-05,2465,2465,3008,2835,2282563
2005-10-06,2835,2835,3427,3403,1715851
2005-10-07,3378,3378,3945,3698,1893265
2005-10-10,3797,3797,3994,3994,1728523
2005-10-11,4044,3994,4340,4340,2207036
2005-10-12,4562,4389,4857,4562,2299798
2005-10-13,4611,3452,4857,3452,4550934
2005-10-14,3353,2761,3353,2835,2505092
2005-10-17,2811,2761,3131,2811,1596730
2005-10-18,2835,2811,2909,2835,249394
2005-10-19,2761,2761,2860,2761,247873
2005-10-20,2786,2663,2786,2663,58800
2005-10-21,2515,2367,2638,2515,105941
2005-10-24,2564,2515,2786,2761,329484
2005-10-25,2811,2786,2934,2835,527681
2005-10-26,2811,2786,2860,2811,25344
2005-10-27,2712,2663,2761,2712,5068
2005-10-28,2737,2663,2761,2737,113545
2005-10-31,2737,2712,2761,2737,46127
2005-11-01,2737,2687,2786,2737,133821
2005-11-02,2737,2687,2786,2737,0
2005-11-03,2737,2687,2786,2737,0
2005-11-04,2737,2687,2786,2737,0
2005-11-07,2737,2737,2737,2737,0
2005-11-08,2737,2737,2737,2737,0
2005-11-09,2564,2515,2613,2564,101886
2005-11-10,2613,2539,2663,2613,93776
2005-11-11,2564,2490,2564,2564,6082
2005-11-14,2515,2441,2515,2515,34469
2005-11-15,2465,2416,2515,2465,47648
2005-11-16,2367,2367,2490,2367,68431
2005-11-17,2416,2391,2465,2416,54238
2005-11-18,2391,2391,2465,2391,28893
2005-11-21,2342,2342,2465,2342,55251
2005-11-22,2416,2318,2441,2416,232666
2005-11-23,2391,2391,2391,2391,17741
2005-11-24,2416,2391,2416,2416,29400
2005-11-25,2515,2416,2613,2515,257504
2005-11-28,2515,2490,2589,2515,16220
2005-11-29,2465,2465,2515,2465,5575
2005-11-30,2490,2465,2539,2490,39031
2005-12-01,2441,2441,2515,2441,107462
2005-12-02,2515,2515,2539,2515,14193
2005-12-05,2490,2490,2515,2490,24331
2005-12-06,2465,2465,2515,2465,72486
2005-12-07,2515,2465,2564,2515,49169
2005-12-08,2441,2441,2515,2441,71472
2005-12-09,2416,2416,2416,2416,59814
2005-12-12,2367,2367,2465,2367,159673
2005-12-13,2367,2367,2391,2367,48155
2005-12-14,2318,2318,2367,2318,76541
2005-12-15,2293,2293,2318,2293,45113
2005-12-16,2268,2268,2318,2268,55758
2005-12-19,2268,2244,2268,2268,41565
2005-12-20,2244,2219,2293,2244,66403
2005-12-21,2219,2194,2219,2219,36496
2005-12-22,2194,2194,2244,2194,41058
2005-12-23,2194,2170,2194,2194,71472
2005-12-26,2194,2194,2194,2194,0
2005-12-27,2219,2219,2219,2219,506
2005-12-28,2170,2170,2170,2170,21796
2005-12-29,2244,2244,2244,2244,3041
2005-12-30,2244,2244,2244,2244,0
2006-01-02,2194,2170,2194,2194,24838
2006-01-03,2244,2219,2268,2244,130272
2006-01-04,2244,2244,2244,2244,11151
2006-01-05,2219,2219,2244,2219,51703
2006-01-06,2268,2219,2293,2268,136862
2006-01-09,2244,2219,2244,2244,121148
2006-01-10,2244,2244,2244,2244,0
2006-01-11,2293,2194,2293,2293,148521
2006-01-12,2244,2219,2268,2244,22303
2006-01-13,2219,2219,2268,2219,236214
2006-01-16,2318,2244,2318,2318,170317
2006-01-17,2342,2342,2909,2909,2701262
2006-01-18,2885,2811,3156,2885,1756403
2006-01-19,2959,2638,2983,2663,521598
2006-01-20,2539,2490,2663,2539,402984
2006-01-23,2441,2416,2539,2441,199718
2006-01-24,2441,2441,2465,2441,32948
2006-01-25,2367,2367,2539,2490,139903
2006-01-26,2515,2515,2737,2663,434412
2006-01-27,2638,2589,2687,2638,138890
2006-01-30,2638,2564,2712,2638,86172
2006-01-31,2638,2638,2638,2638,0
2006-02-01,2687,2638,2786,2687,309714
2006-02-02,2712,2712,2786,2712,181976
2006-02-03,2589,2589,2712,2589,196169
2006-02-06,2589,2589,2613,2589,34975
2006-02-07,2613,2589,2687,2613,136862
2006-02-08,2638,2564,2663,2638,166262
2006-02-09,2613,2589,2663,2613,241283
2006-02-10,2589,2589,2613,2589,25851
2006-02-13,2589,2539,2613,2589,93269
2006-02-14,2490,2465,2539,2490,192621
2006-02-15,2441,2441,2515,2441,51196
2006-02-16,2441,2441,2465,2441,13179
2006-02-17,2416,2416,2465,2416,75020
2006-02-20,2490,2441,2515,2490,34469
2006-02-21,2465,2441,2490,2465,23317
2006-02-22,2465,2416,2490,2465,83131
2006-02-23,2441,2416,2465,2441,26865
2006-02-24,2367,2367,2441,2367,56772
2006-02-27,2391,2391,2441,2391,31934
2006-02-28,2391,2367,2441,2391,64376
2006-03-01,2391,2342,2391,2391,54745
2006-03-02,2465,2416,2564,2465,287411
2006-03-03,2416,2416,2416,2416,5068
2006-03-06,2416,2416,2441,2441,23824
2006-03-07,2391,2391,2441,2391,54745
2006-03-08,2367,2342,2391,2367,51196
2006-03-09,2391,2391,2416,2391,16220
2006-03-10,2342,2342,2367,2342,30920
2006-03-13,2391,2367,2391,2391,40551
2006-03-14,2391,2391,2391,2391,3
2006-03-15,2391,2367,2416,2367,15713
2006-03-16,2391,2367,2391,2391,26865
