timestamp,open,low,high,close,volume
2022-04-11,400,372,416,382,9410897000
2022-04-12,422,360,442,370,3887331000
2022-04-13,370,360,380,374,3262811400
2022-04-14,374,374,382,376,3675981900
2022-04-15,374,374,382,376,0
2022-04-18,376,370,380,378,2660312700
2022-04-19,378,358,380,358,2252971800
2022-04-20,358,338,364,338,5804281200
2022-04-21,340,336,340,340,1670584600
2022-04-22,340,330,340,340,6075753400
2022-04-25,318,318,338,328,1960587900
2022-04-26,348,308,348,310,1843997100
2022-04-27,300,290,310,290,2077577300
2022-04-28,270,270,290,272,2280309800
2022-04-29,270,270,290,272,0
2022-05-02,270,270,290,272,0
2022-05-03,270,270,290,272,0
2022-05-04,270,270,290,272,0
2022-05-05,270,270,290,272,0
2022-05-06,270,270,290,272,0
2022-05-09,254,254,270,254,621345600
2022-05-10,254,238,254,238,201334400
2022-05-11,224,222,238,222,2942404500
2022-05-12,212,208,220,208,312982800
2022-05-13,200,194,200,194,407286800
2022-05-16,200,194,200,194,0
2022-05-17,187,181,224,200,3671507800
2022-05-18,186,186,250,248,4266865400
2022-05-19,232,232,292,280,7571482600
2022-05-20,262,262,314,304,4241679500
2022-05-23,324,286,324,296,4968873700
2022-05-24,276,276,312,302,4221223100
2022-05-25,300,290,310,304,3111550600
2022-05-26,300,290,310,304,0
2022-05-27,300,290,310,304,0
2022-05-30,318,308,318,314,3448044600
2022-05-31,314,300,314,304,2072919200
2022-06-01,314,300,314,304,0
2022-06-02,344,304,346,344,5638486100
2022-06-03,364,342,364,354,3103587800
2022-06-06,352,330,358,330,3429231900
2022-06-07,310,310,370,364,7097558600
2022-06-08,362,350,390,378,6461195500
2022-06-09,378,370,404,384,6857099000
2022-06-10,384,370,398,386,4737100100
2022-06-13,378,370,390,388,4416773900
2022-06-14,382,382,400,400,4917375800
2022-06-15,400,398,416,404,3624954900
2022-06-16,408,382,412,392,3994392700
2022-06-17,390,366,390,366,2749644800
2022-06-20,366,344,376,370,4244450500
2022-06-21,374,362,380,378,2290207400
2022-06-22,382,370,386,380,1834331100
2022-06-23,380,374,384,380,1406469400
2022-06-24,380,378,402,392,3220565000
2022-06-27,396,384,400,394,1513413700
2022-06-28,394,384,394,392,899052600
2022-06-29,388,384,398,390,968133900
2022-06-30,390,380,394,388,917267800
2022-07-01,388,362,390,370,1099867400
2022-07-04,370,346,370,346,705938600
2022-07-05,346,332,350,334,1573844700
2022-07-06,330,320,342,324,1129407400
2022-07-07,324,324,340,338,1074824400
2022-07-08,344,342,354,350,1241855000
2022-07-11,354,334,354,338,840928300
2022-07-12,338,330,338,330,802215500
2022-07-13,330,320,330,324,870421000
2022-07-14,324,320,336,332,786358600
2022-07-15,332,320,336,320,998698500
2022-07-18,320,298,328,298,1199187000
2022-07-19,304,286,316,302,1378449800
2022-07-20,306,304,314,308,973012900
2022-07-21,308,300,310,300,471674900
2022-07-22,300,300,310,308,901187400
2022-07-25,308,300,312,300,623353800
2022-07-26,300,292,304,292,793320900
2022-07-27,294,288,300,294,912067900
2022-07-28,300,296,310,306,1342198000
2022-07-29,308,296,310,296,692858200
2022-08-01,298,284,302,286,763215700
2022-08-02,288,280,292,286,499654100
2022-08-03,286,284,298,296,505564700
2022-08-04,300,296,304,296,685966500
2022-08-05,298,292,304,296,404408400
2022-08-08,296,282,300,282,695393800
2022-08-09,282,274,286,280,549107900
2022-08-10,282,276,286,280,378601800
2022-08-11,290,288,300,296,759510500
2022-08-12,298,290,298,292,281931400
2022-08-15,292,288,298,294,324300800
2022-08-16,292,292,326,324,1630048400
2022-08-17,292,292,326,324,0
2022-08-18,326,316,340,334,1467786100
2022-08-19,334,332,344,334,819289600
2022-08-22,332,316,332,320,731674300
2022-08-23,322,322,336,326,533231400
2022-08-24,330,324,334,328,317306600
2022-08-25,328,320,332,326,359738000
2022-08-26,326,318,330,318,307009800
2022-08-29,302,300,320,320,452164000
2022-08-30,320,314,334,324,569989200
2022-08-31,316,302,316,302,1150395400
2022-09-01,300,288,300,290,604813200
2022-09-02,292,284,298,284,569390900
2022-09-05,284,280,292,282,551653400
2022-09-06,286,282,290,282,418847200
2022-09-07,282,280,294,282,1078750900
2022-09-08,286,284,292,286,1297537200
2022-09-09,288,278,290,282,722741900
2022-09-12,284,276,286,278,722425300
2022-09-13,280,276,284,276,646000200
2022-09-14,272,268,278,272,942221600
2022-09-15,274,266,276,266,1309751800
2022-09-16,266,248,266,248,1907902100
2022-09-19,248,234,248,242,1180390700
2022-09-20,244,244,268,266,1631009500
2022-09-21,268,256,272,264,478347600
2022-09-22,260,256,264,264,316075300
2022-09-23,264,260,266,264,323786500
2022-09-26,258,248,260,256,769370300
2022-09-27,256,250,258,252,409587600
2022-09-28,252,244,266,258,658985500
2022-09-29,262,248,264,250,296437700
2022-09-30,250,240,254,246,803170900
2022-10-03,244,236,246,238,616023400
2022-10-04,240,236,244,238,549085500
2022-10-05,240,236,244,242,585580100
2022-10-06,246,244,254,246,927469300
2022-10-07,246,240,254,244,362853000
2022-10-10,240,238,244,242,207344500
2022-10-11,244,228,244,228,663946000
2022-10-12,226,216,230,218,723078400
2022-10-13,218,212,226,212,681890600
2022-10-14,218,202,220,202,820686500
2022-10-17,202,200,220,208,1004378600
2022-10-18,212,204,216,206,633648100
2022-10-19,208,202,210,204,469606700
2022-10-20,204,202,216,206,1457661900
2022-10-21,208,200,212,200,757002500
2022-10-24,202,190,204,190,1350719400
2022-10-25,190,183,196,193,1586468900
2022-10-26,194,194,204,197,1716782100
2022-10-27,199,193,202,198,871228300
2022-10-28,199,189,200,189,722541000
2022-10-31,192,186,193,186,710166900
2022-11-01,187,183,190,184,509600800
2022-11-02,185,184,195,195,862237100
2022-11-03,195,190,206,200,1695523200
2022-11-04,204,198,208,200,734140700
2022-11-07,198,186,202,188,0
2022-11-08,198,186,202,188,0
2022-11-09,198,186,202,188,0
2022-11-10,198,186,202,188,1244264600
2022-11-11,198,192,214,210,2048184500
2022-11-14,210,202,214,204,718525700
2022-11-15,206,200,208,204,541628500
2022-11-16,212,202,218,218,1271055100
2022-11-17,218,210,218,214,516263700
2022-11-18,216,212,226,222,1402484400
2022-11-21,220,210,220,210,970473000
2022-11-22,210,196,210,196,1594524700
2022-11-23,192,190,198,191,876202200
2022-11-24,193,188,195,188,676498700
2022-11-25,189,183,191,185,928443000
2022-11-28,185,173,189,173,1756591500
2022-11-29,173,161,173,162,1747506600
2022-11-30,159,151,170,151,3201332700
2022-12-01,159,151,170,151,0
2022-12-02,132,132,132,132,194973700
2022-12-05,123,123,123,123,172815100
2022-12-06,115,115,115,115,188696800
2022-12-07,107,107,107,107,248475200
2022-12-08,100,100,100,100,482718800
2022-12-09,93,93,93,93,280769900
