timestamp,open,low,high,close,volume
2017-06-22,85,80,87,87,0
2017-06-23,85,80,87,87,0
2017-06-26,85,80,87,87,0
2017-06-27,85,80,87,87,0
2017-06-28,85,80,87,87,0
2017-06-29,85,80,87,87,0
2017-06-30,85,80,87,87,0
2017-07-03,85,80,87,87,202226400
2017-07-04,87,81,88,83,197477200
2017-07-05,83,82,87,86,110545200
2017-07-06,86,85,93,91,294411600
2017-07-07,91,88,93,89,71145600
2017-07-10,90,86,95,89,42704800
2017-07-11,89,86,89,86,21654000
2017-07-12,86,84,89,89,34610000
2017-07-13,88,85,89,88,31828000
2017-07-14,88,86,88,87,14915600
2017-07-17,87,86,89,87,33879600
2017-07-18,87,87,100,97,400430800
2017-07-19,97,94,99,98,70292000
2017-07-20,98,97,102,101,253573600
2017-07-21,100,98,114,103,336040000
2017-07-24,100,91,103,96,436258000
2017-07-25,96,93,99,93,69215600
2017-07-26,93,90,95,92,77538000
2017-07-27,93,91,95,95,57244800
2017-07-28,95,93,102,100,207603200
2017-07-31,101,99,104,100,110602000
2017-08-01,100,98,100,98,21615600
2017-08-02,96,93,97,96,39740400
2017-08-03,96,94,97,96,25502000
2017-08-04,97,93,97,93,53718800
2017-08-07,93,92,96,93,61099600
2017-08-08,93,90,93,93,40912400
2017-08-09,93,92,95,93,26008000
2017-08-10,93,88,93,91,57274000
2017-08-11,91,88,92,92,65988000
2017-08-14,92,92,96,95,160577200
2017-08-15,95,94,97,95,125022400
2017-08-16,95,92,95,93,66474800
2017-08-17,93,93,93,93,0
2017-08-18,93,91,94,92,66077200
2017-08-21,92,91,93,91,52635600
2017-08-22,92,91,93,92,58730800
2017-08-23,92,91,93,92,68233200
2017-08-24,92,70,94,75,386698000
2017-08-25,75,75,82,79,162536000
2017-08-28,79,77,81,77,81486000
2017-08-29,77,76,78,78,15345600
2017-08-30,78,77,79,77,84438000
2017-08-31,77,77,79,78,82951600
2017-09-01,78,78,78,78,0
2017-09-04,78,72,78,75,23224000
2017-09-05,75,72,75,72,12241200
2017-09-06,73,71,73,72,24954800
2017-09-07,72,71,76,72,40859600
2017-09-08,72,70,73,72,18966400
2017-09-11,73,73,75,74,9784000
2017-09-12,74,71,74,72,11006800
2017-09-13,72,72,74,72,80197200
2017-09-14,72,67,73,71,38146400
2017-09-15,71,69,72,70,15488400
2017-09-18,70,67,70,69,25059600
2017-09-19,69,69,73,72,42648000
2017-09-20,72,70,74,71,32090000
2017-09-21,71,71,71,71,0
2017-09-22,71,70,73,72,7468000
2017-09-25,73,69,73,71,4703600
2017-09-26,71,70,72,70,6612000
2017-09-27,70,70,78,77,108094800
2017-09-28,77,75,80,79,104425200
2017-09-29,79,78,83,82,114146400
2017-10-02,81,79,84,80,69194000
2017-10-03,80,80,82,82,68035600
2017-10-04,82,81,86,84,74817200
2017-10-05,84,82,86,83,53718400
2017-10-06,83,83,84,83,29067600
2017-10-09,82,77,84,79,42241200
2017-10-10,79,77,81,80,41263600
2017-10-11,80,78,81,79,22724000
2017-10-12,78,78,81,79,26342000
2017-10-13,79,79,79,79,16522000
2017-10-16,79,77,80,77,27490400
2017-10-17,77,75,79,77,31212800
2017-10-18,77,74,78,76,53606800
2017-10-19,76,74,78,76,34178400
2017-10-20,77,76,78,78,26054800
2017-10-23,78,78,79,78,26050000
2017-10-24,78,77,79,77,18742400
2017-10-25,78,77,79,79,39604000
2017-10-26,79,77,80,78,42612400
2017-10-27,78,76,78,77,23971600
2017-10-30,77,75,78,75,31984800
2017-10-31,76,75,79,79,42095600
2017-11-01,79,75,79,78,20818400
2017-11-02,78,77,85,82,99645600
2017-11-03,82,80,84,80,15652800
2017-11-06,80,78,80,79,6724800
2017-11-07,79,77,79,77,23788400
2017-11-08,78,77,78,77,19155200
2017-11-09,78,78,80,79,14006000
2017-11-10,80,79,87,85,154213600
2017-11-13,85,85,93,90,242015600
2017-11-14,91,88,94,89,82160000
2017-11-15,89,86,90,90,67328800
2017-11-16,90,87,91,87,61807600
2017-11-17,87,87,90,87,59887200
2017-11-20,87,87,89,87,59860400
2017-11-21,87,87,89,88,52018800
2017-11-22,88,88,90,90,63593600
2017-11-23,90,90,96,96,276710400
2017-11-24,96,93,99,95,112695600
2017-11-27,95,92,95,93,53498800
2017-11-28,93,80,93,92,118438400
2017-11-29,92,91,94,94,63806000
2017-11-30,94,90,94,94,72511600
2017-12-01,94,94,94,94,0
2017-12-04,94,89,94,89,67307200
2017-12-05,89,85,91,87,63722000
2017-12-06,87,85,90,90,53864800
2017-12-07,89,87,89,87,46306000
2017-12-08,86,86,89,87,55055600
2017-12-11,87,85,89,85,59331600
2017-12-12,87,83,87,86,59234800
2017-12-13,87,83,87,83,59468400
2017-12-14,84,84,87,87,63778000
2017-12-15,87,86,89,87,57824800
2017-12-18,87,86,89,87,59449600
2017-12-19,87,86,88,86,58105600
2017-12-20,86,85,87,85,60733200
2017-12-21,86,85,88,88,59772400
2017-12-22,87,86,87,86,62202400
2017-12-25,86,86,86,86,0
2017-12-26,86,86,86,86,0
2017-12-27,86,85,87,87,60729200
2017-12-28,87,86,88,86,48523600
2017-12-29,87,85,87,86,74602800
2018-01-01,86,86,86,86,0
2018-01-02,86,86,87,86,62098400
2018-01-03,87,83,87,86,43206400
2018-01-04,87,84,87,84,16586800
2018-01-05,85,84,86,84,46417600
2018-01-08,84,82,85,82,47778800
2018-01-09,82,81,84,81,55798800
2018-01-10,81,80,83,81,60676400
2018-01-11,81,80,82,82,67489600
2018-01-12,82,82,85,84,53381600
2018-01-15,84,84,86,84,53756400
2018-01-16,84,82,85,83,47293200
2018-01-17,84,81,84,83,10083600
2018-01-18,83,83,91,90,112950800
2018-01-19,90,83,91,87,77199200
2018-01-22,87,84,87,87,70504000
2018-01-23,87,84,87,84,61430800
2018-01-24,84,84,86,85,72322000
2018-01-25,85,85,89,87,78723200
2018-01-26,87,87,89,89,66005600
2018-01-29,89,88,91,90,59328000
2018-01-30,90,87,92,90,77899200
2018-01-31,90,87,104,100,293004000
2018-02-01,100,99,107,102,243608000
2018-02-02,102,96,102,100,53793200
2018-02-05,99,98,100,100,56680400
2018-02-06,99,95,102,100,77307200
2018-02-07,101,99,102,102,66266400
2018-02-08,102,101,105,102,73996400
2018-02-09,102,101,110,107,145011600
2018-02-12,107,106,109,108,59565600
2018-02-13,108,106,108,108,64545600
2018-02-14,108,108,112,108,98920800
2018-02-15,108,107,111,110,114620400
2018-02-16,110,110,110,110,0
2018-02-19,110,110,112,112,106529200
