timestamp,open,low,high,close,volume
2010-10-07,2975,2850,3100,2975,570465000
2010-10-08,2850,2825,3000,2850,72267000
2010-10-11,2725,2600,2850,2725,102116000
2010-10-12,2775,2650,2875,2775,50820000
2010-10-13,2800,2750,2825,2800,20092000
2010-10-14,2775,2725,2850,2775,38150000
2010-10-15,2725,2725,2800,2725,13239000
2010-10-18,2725,2675,2750,2725,31279000
2010-10-19,2675,2650,2725,2675,40146000
2010-10-20,2700,2625,2700,2700,17665000
2010-10-21,2675,2675,2700,2675,9449000
2010-10-22,2600,2575,2675,2600,37846000
2010-10-25,2775,2575,2800,2775,68553000
2010-10-26,2750,2700,2825,2750,21302000
2010-10-27,2775,2700,2775,2775,12989000
2010-10-28,2875,2775,2900,2875,40559000
2010-10-29,2850,2825,2875,2850,12619000
2010-11-01,2775,2775,2875,2775,4969000
2010-11-02,2700,2675,2775,2700,16297000
2010-11-03,2650,2625,2700,2650,32236000
2010-11-04,2625,2600,2675,2625,17711000
2010-11-05,2600,2575,2650,2600,15961000
2010-11-08,2700,2625,2700,2700,29227000
2010-11-09,2625,2600,2675,2625,35805000
2010-11-10,2625,2600,2650,2625,6899000
2010-11-11,2625,2550,2625,2625,32787000
2010-11-12,2600,2500,2650,2600,41243000
2010-11-15,2575,2525,2600,2575,16411000
2010-11-16,2675,2550,2675,2675,17573000
2010-11-17,2675,2550,2675,2675,0
2010-11-18,2650,2600,2675,2650,9151000
2010-11-19,2700,2600,2700,2700,25610000
2010-11-22,2675,2650,2700,2675,4331000
2010-11-23,2575,2575,2675,2575,23421000
2010-11-24,2550,2525,2600,2550,20500000
2010-11-25,2550,2525,2575,2550,9796000
2010-11-26,2600,2550,2600,2600,8045000
2010-11-29,2575,2550,2600,2575,5748000
2010-11-30,2550,2525,2600,2550,7288000
2010-12-01,2550,2525,2575,2550,7836000
2010-12-02,2575,2550,2600,2575,12718000
2010-12-03,2525,2500,2600,2525,14496000
2010-12-06,2437,2425,2550,2437,36083000
2010-12-07,2437,2425,2550,2437,0
2010-12-08,2375,2350,2437,2375,60341000
2010-12-09,2350,2300,2387,2350,51632000
2010-12-10,2375,2312,2375,2375,68839000
2010-12-13,2325,2325,2400,2325,30146000
2010-12-14,2300,2275,2350,2300,23521000
2010-12-15,2250,2200,2287,2250,45932000
2010-12-16,2300,2225,2325,2300,36696000
2010-12-17,2262,2237,2312,2262,27366000
2010-12-20,2275,2250,2300,2275,8535000
2010-12-21,2337,2275,2350,2337,27544000
2010-12-22,2300,2275,2350,2300,12024000
2010-12-23,2250,2237,2300,2250,19051000
2010-12-24,2250,2237,2300,2250,0
2010-12-27,2237,2237,2275,2237,4712000
2010-12-28,2287,2250,2300,2287,14670000
2010-12-29,2325,2300,2337,2325,14015000
2010-12-30,2337,2287,2337,2337,16651000
2010-12-31,2337,2287,2337,2337,0
2011-01-03,2362,2312,2387,2362,28806000
2011-01-04,2487,2362,2500,2487,78937000
2011-01-05,2525,2462,2575,2525,43879000
2011-01-06,2462,2450,2550,2462,9934000
2011-01-07,2437,2412,2462,2437,18863000
2011-01-10,2362,2325,2437,2362,14003000
2011-01-11,2250,2225,2387,2250,11478000
2011-01-12,2300,2250,2300,2300,44252000
2011-01-13,2287,2275,2325,2287,30149000
2011-01-14,2375,2287,2387,2375,46989000
2011-01-17,2400,2375,2425,2400,21015000
2011-01-18,2387,2375,2425,2387,8270000
2011-01-19,2375,2337,2412,2375,8749000
2011-01-20,2262,2262,2375,2262,8738000
2011-01-21,2212,2175,2250,2212,13727000
2011-01-24,2200,2175,2225,2200,9464000
2011-01-25,2275,2212,2275,2275,6881000
2011-01-26,2375,2275,2387,2375,18958000
2011-01-27,2375,2362,2412,2375,11699000
2011-01-28,2362,2337,2375,2362,8307000
2011-01-31,2287,2275,2325,2287,9067000
2011-02-01,2300,2287,2337,2300,9138000
2011-02-02,2287,2287,2325,2287,7501000
2011-02-03,2287,2287,2325,2287,0
2011-02-04,2312,2287,2312,2312,9574000
2011-02-07,2287,2262,2312,2287,5886000
2011-02-08,2275,2275,2325,2275,5117000
2011-02-09,2212,2187,2287,2212,18238000
2011-02-10,2162,2162,2250,2162,19116000
2011-02-11,2187,2162,2200,2187,7291000
2011-02-14,2175,2162,2212,2175,8660000
2011-02-15,2175,2162,2212,2175,0
2011-02-16,2175,2150,2200,2175,7821000
2011-02-17,2175,2175,2212,2175,5800000
2011-02-18,2200,2187,2225,2200,10886000
2011-02-21,2212,2175,2225,2212,13084000
2011-02-22,2212,2187,2237,2212,13159000
2011-02-23,2262,2200,2262,2262,26458000
2011-02-24,2275,2237,2287,2275,19219000
2011-02-25,2325,2262,2337,2325,14977000
2011-02-28,2287,2275,2325,2287,2450000
2011-03-01,2375,2300,2387,2375,11857000
2011-03-02,2375,2325,2375,2375,4741000
2011-03-03,2400,2375,2412,2400,9470000
2011-03-04,2387,2375,2412,2387,14030000
2011-03-07,2375,2350,2387,2375,8702000
2011-03-08,2375,2362,2375,2375,6784000
2011-03-09,2387,2375,2412,2387,5936000
2011-03-10,2400,2362,2412,2400,17226000
2011-03-11,2375,2362,2400,2375,10514000
2011-03-14,2387,2362,2387,2387,8070000
2011-03-15,2387,2325,2387,2387,16191000
2011-03-16,2475,2350,2475,2475,26584000
2011-03-17,2475,2425,2475,2475,10527000
2011-03-18,2500,2462,2500,2500,14932000
2011-03-21,2500,2487,2525,2500,13750000
2011-03-22,2525,2500,2550,2525,19565000
2011-03-23,2550,2525,2550,2550,12456000
2011-03-24,2550,2550,2600,2550,16600000
2011-03-25,2500,2475,2575,2500,6965000
2011-03-28,2525,2487,2525,2525,2643000
2011-03-29,2550,2500,2575,2550,5812000
2011-03-30,2600,2550,2600,2600,8118000
2011-03-31,2650,2575,2650,2650,27034000
2011-04-01,2600,2600,2650,2600,8337000
2011-04-04,2575,2550,2625,2575,9770000
2011-04-05,2625,2575,2625,2625,7500000
2011-04-06,2675,2575,2675,2675,15783000
2011-04-07,2675,2650,2700,2675,16619000
2011-04-08,2700,2625,2700,2700,16442000
2011-04-11,2650,2650,2725,2650,13243000
2011-04-12,2675,2625,2700,2675,9222000
2011-04-13,2675,2650,2675,2675,4266000
2011-04-14,2675,2650,2675,2675,10532000
2011-04-15,2675,2650,2675,2675,6112000
2011-04-18,2700,2675,2700,2700,3919000
2011-04-19,2700,2650,2700,2700,7159000
2011-04-20,2675,2675,2725,2675,16974000
2011-04-21,2675,2650,2725,2675,13937000
2011-04-22,2675,2650,2725,2675,0
2011-04-25,2700,2650,2700,2700,5890000
2011-04-26,2675,2650,2700,2675,4074000
2011-04-27,2700,2675,2725,2700,19807000
2011-04-28,2700,2675,2725,2700,4653000
2011-04-29,2700,2650,2700,2700,3849000
2011-05-02,2650,2625,2675,2650,5571000
2011-05-03,2600,2600,2650,2600,5399000
2011-05-04,2625,2600,2650,2625,3096000
2011-05-05,2600,2575,2625,2600,7475000
2011-05-06,2625,2575,2625,2625,3558000
2011-05-09,2600,2600,2625,2600,2491000
2011-05-10,2600,2575,2625,2600,6978000
2011-05-11,2625,2575,2625,2625,21597000
2011-05-12,2575,2575,2625,2575,5202000
2011-05-13,2625,2575,2650,2625,6330000
2011-05-16,2600,2600,2625,2600,3450000
2011-05-17,2600,2600,2625,2600,0
2011-05-18,2625,2575,2650,2625,7642000
2011-05-19,2625,2600,2675,2625,8065000
2011-05-20,2650,2625,2700,2650,15340000
