timestamp,open,low,high,close,volume
2017-11-01,2070,2070,2070,2070,4742500
2017-11-02,2580,2580,2580,2580,10813200
2017-11-03,2580,2240,2750,2590,58944300
2017-11-06,2580,2230,2610,2260,29340000
2017-11-07,2250,2250,2440,2410,21957900
2017-11-08,2410,2320,2420,2350,19085400
2017-11-09,2350,2350,2490,2470,13730000
2017-11-10,2470,2470,2520,2500,14411600
2017-11-13,2510,2410,2550,2410,20091700
2017-11-14,2430,2320,2430,2330,23037100
2017-11-15,2330,2240,2390,2330,21209200
2017-11-16,2330,2280,2380,2330,18352300
2017-11-17,2310,2290,2350,2330,8473500
2017-11-20,2320,2300,2400,2380,9138400
2017-11-21,2390,2390,2460,2410,6658000
2017-11-22,2410,2350,2420,2400,7365000
2017-11-23,2390,2370,2420,2390,6839300
2017-11-24,2380,2310,2390,2320,7787100
2017-11-27,2330,2180,2330,2180,7401200
2017-11-28,2180,2020,2200,2200,8771900
2017-11-29,2200,2170,2240,2200,7454600
2017-11-30,2190,2080,2200,2200,8916300
2017-12-01,2200,2200,2200,2200,0
2017-12-04,2190,2160,2190,2160,6596500
2017-12-05,2160,2010,2160,2010,5911200
2017-12-06,2050,1980,2070,2000,6057500
2017-12-07,2020,1995,2110,2080,9034800
2017-12-08,2110,2090,2130,2130,6992800
2017-12-11,2110,2100,2190,2160,6482000
2017-12-12,2150,2120,2190,2190,5315100
2017-12-13,2150,2060,2200,2160,6760100
2017-12-14,2100,2080,2120,2100,6395600
2017-12-15,2100,2010,2120,2050,6227600
2017-12-18,2050,1900,2090,2050,8128000
2017-12-19,2040,1960,2040,2030,6351700
2017-12-20,2010,1980,2030,2000,5064700
2017-12-21,1995,1995,2050,2020,5874000
2017-12-22,2000,1990,2030,1990,5249700
2017-12-25,1990,1990,1990,1990,0
2017-12-26,1990,1990,1990,1990,0
2017-12-27,1990,1955,1995,1955,5019200
2017-12-28,1960,1910,1995,1985,6003500
2017-12-29,1990,1975,2030,1980,7611500
2018-01-01,1980,1980,1980,1980,0
2018-01-02,2010,1940,2010,1940,4839100
2018-01-03,1930,1790,1930,1825,11120400
2018-01-04,1815,1795,1900,1900,9135100
2018-01-05,1900,1850,1900,1880,10078000
2018-01-08,1880,1870,1905,1875,4992700
2018-01-09,1870,1810,1895,1875,6166400
2018-01-10,1880,1880,2040,2010,7478700
2018-01-11,2010,1990,2120,2050,7115300
2018-01-12,2070,2000,2080,2020,4785500
2018-01-15,2010,2000,2050,2030,5380200
2018-01-16,2040,2000,2080,2010,5190900
2018-01-17,2000,1965,2020,2010,6996500
2018-01-18,2010,2000,2090,2050,7637500
2018-01-19,2060,2050,2150,2130,5381900
2018-01-22,2140,2100,2200,2130,6215300
2018-01-23,2120,2060,2170,2140,7310200
2018-01-24,2140,2110,2150,2120,4472300
2018-01-25,2130,2110,2150,2130,4396200
