timestamp,open,low,high,close,volume
2001-04-16,15,15,15,15,1093753
2001-04-17,15,14,15,14,1210420
2001-04-18,14,14,14,14,2829174
2001-04-19,14,14,14,14,6897936
2001-04-20,13,13,13,13,1472920
2001-04-23,13,13,14,14,10135445
2001-04-24,14,13,14,14,1750005
2001-04-25,14,14,14,14,8472940
2001-04-26,14,14,14,14,8472940
2001-04-27,13,13,13,13,145833
2001-04-30,14,14,14,14,714585
2001-05-01,14,14,15,15,11112531
2001-05-02,14,14,15,14,3368759
2001-05-03,14,14,15,15,3047925
2001-05-04,15,15,15,15,23304233
2001-05-07,15,15,15,15,0
2001-05-08,15,15,15,15,9070859
2001-05-09,15,15,15,15,816669
2001-05-10,14,14,14,14,262500
2001-05-11,15,14,15,14,0
2001-05-14,14,14,14,14,44785544
2001-05-15,14,14,14,14,30843838
2001-05-16,14,14,14,14,11491699
2001-05-17,15,14,15,14,14627125
2001-05-18,14,14,14,14,0
2001-05-21,14,14,14,14,4083345
2001-05-22,14,14,14,14,1750005
2001-05-23,14,14,15,14,22210480
2001-05-24,14,14,14,14,0
2001-05-25,14,14,15,14,7014603
2001-05-28,14,14,14,14,1852088
2001-05-29,15,15,15,15,38441776
2001-05-30,15,15,16,15,38893861
2001-05-31,15,15,15,15,11506282
2001-06-01,15,15,15,15,18637553
2001-06-04,15,15,15,15,0
2001-06-05,15,15,15,15,583335
2001-06-06,15,15,15,15,6416685
2001-06-07,15,15,15,15,1618754
2001-06-08,15,15,15,15,14583
2001-06-11,15,15,15,15,1910422
2001-06-12,15,15,15,15,3937511
2001-06-13,15,15,15,15,525001
2001-06-14,15,15,15,15,3645843
2001-06-15,15,15,15,15,4929180
2001-06-18,15,15,15,15,2872924
2001-06-19,15,15,15,15,4229178
2001-06-20,15,15,16,16,20562558
2001-06-21,16,16,16,16,2260423
2001-06-22,16,16,16,16,1531254
2001-06-25,16,16,16,16,4185428
2001-06-26,16,16,16,16,2056255
2001-06-27,16,16,16,16,15633378
2001-06-28,16,16,16,16,8195856
2001-06-29,16,16,16,16,0
2001-07-02,16,16,16,16,5979183
2001-07-03,16,16,17,17,15093793
2001-07-04,17,17,17,17,3791677
2001-07-05,17,16,17,17,5118764
2001-07-06,17,17,17,17,145833
2001-07-09,17,16,17,16,0
2001-07-10,16,16,17,17,160417
2001-07-11,17,17,18,17,30041752
2001-07-12,18,17,18,18,43968875
2001-07-13,18,18,20,19,46229298
2001-07-16,19,18,19,18,14175040
2001-07-17,17,17,17,17,3091675
2001-07-18,17,17,18,18,5760433
2001-07-19,18,18,19,19,24952154
2001-07-20,19,18,19,18,3558343
2001-07-23,20,19,20,19,7029186
2001-07-24,19,18,19,18,2450007
2001-07-25,18,17,18,17,40060531
2001-07-26,17,17,17,17,5279181
2001-07-27,17,17,17,17,5833350
2001-07-30,17,17,17,17,4622929
2001-07-31,17,17,18,17,29487584
2001-08-01,17,17,17,17,6008350
2001-08-02,17,17,17,17,3500010
2001-08-03,17,17,17,17,7364604
2001-08-06,17,17,17,17,233334
2001-08-07,17,17,17,17,1020836
2001-08-08,17,17,17,17,1925005
2001-08-09,17,17,17,17,3850011
2001-08-10,17,17,17,17,875002
2001-08-13,17,17,17,17,1895838
2001-08-14,18,18,18,18,11302115
2001-08-15,18,17,18,17,758335
2001-08-16,17,17,17,17,1356253
2001-08-17,17,17,17,17,0
2001-08-20,17,17,17,17,0
2001-08-21,17,17,17,17,0
2001-08-22,17,17,17,17,583335
2001-08-23,17,17,18,18,3879177
2001-08-24,18,17,18,17,14437541
2001-08-27,17,17,18,18,31850091
2001-08-28,17,17,19,17,9158359
2001-08-29,17,17,17,17,2202089
2001-08-30,17,17,17,17,510418
2001-08-31,17,17,17,17,4827097
2001-09-03,17,17,17,17,7583355
2001-09-04,17,17,17,17,8210440
2001-09-05,17,17,17,17,6416685
2001-09-06,17,17,17,17,233334
2001-09-07,17,17,17,17,0
2001-09-10,17,17,17,17,0
2001-09-11,17,17,17,17,291667
2001-09-12,17,16,17,17,2187506
2001-09-13,16,16,17,17,452084
2001-09-14,16,15,16,15,3193759
2001-09-17,15,14,15,14,437501
2001-09-18,14,14,14,14,5250015
2001-09-19,15,15,16,15,1852088
2001-09-20,15,15,15,15,743752
2001-09-21,15,15,16,15,11185448
2001-09-24,15,15,15,15,0
2001-09-25,15,15,15,15,875002
2001-09-26,15,14,15,14,8268773
2001-09-27,14,14,14,14,218750
2001-09-28,14,14,14,14,0
2001-10-01,14,14,14,14,1166670
2001-10-02,13,13,13,13,5191681
2001-10-03,13,12,13,12,5716683
2001-10-04,12,12,13,13,17047965
2001-10-05,13,13,13,13,13285454
2001-10-08,12,12,12,12,58333
2001-10-09,13,13,13,13,2770841
2001-10-10,12,12,12,12,218750
2001-10-11,12,12,12,12,1764588
2001-10-12,12,12,12,12,12425035
2001-10-15,12,12,12,12,0
2001-10-16,12,12,12,12,583335
2001-10-17,12,12,12,12,3033342
2001-10-18,12,12,12,12,14525041
2001-10-19,12,12,13,13,226931898
2001-10-22,13,12,13,13,46681383
2001-10-23,13,13,13,13,41723035
2001-10-24,13,12,13,12,9741694
2001-10-25,12,12,12,12,5322931
2001-10-26,12,12,12,12,1822921
2001-10-29,12,12,12,12,1225003
2001-10-30,12,12,12,12,5906266
2001-10-31,12,12,12,12,26847993
