timestamp,open,low,high,close,volume
2010-03-08,31,22,31,31,242075000
2010-03-09,39,32,39,39,50050000
2010-03-10,49,48,49,49,1750000
2010-03-11,61,60,61,61,1225000
2010-03-12,50,46,76,50,62375000
2010-03-15,46,43,52,46,17225000
2010-03-16,46,43,52,46,0
2010-03-17,44,43,48,44,7825000
2010-03-18,41,38,44,41,15600000
2010-03-19,41,40,42,41,2525000
2010-03-22,51,39,51,51,26175000
2010-03-23,52,51,62,52,54825000
2010-03-24,50,50,55,50,6725000
2010-03-25,46,46,51,46,4225000
2010-03-26,48,48,50,48,2850000
2010-03-29,47,47,50,47,1800000
2010-03-30,47,47,49,47,1325000
2010-03-31,47,46,48,47,2450000
2010-04-01,44,44,47,44,6575000
2010-04-02,44,44,47,44,0
2010-04-05,44,44,44,44,0
2010-04-06,44,44,46,44,3325000
2010-04-07,44,43,46,44,1450000
2010-04-08,43,43,45,43,1600000
2010-04-09,43,42,43,43,1600000
2010-04-12,42,40,43,42,975000
2010-04-13,43,42,44,43,1925000
2010-04-14,42,41,44,42,1525000
2010-04-15,41,41,42,41,825000
2010-04-16,43,41,47,43,7250000
2010-04-19,42,42,44,42,2800000
2010-04-20,43,42,45,43,2825000
2010-04-21,45,43,45,45,2125000
2010-04-22,42,42,43,42,1725000
2010-04-23,43,43,44,43,1175000
2010-04-26,43,42,43,43,1475000
2010-04-27,42,42,43,42,575000
2010-04-28,41,41,43,41,2875000
2010-04-29,43,41,43,43,2575000
2010-04-30,43,43,45,43,3950000
2010-05-03,43,43,46,43,650000
2010-05-04,42,42,42,42,975000
2010-05-05,40,40,41,40,1275000
2010-05-06,38,38,40,38,1325000
2010-05-07,38,37,40,38,825000
2010-05-10,38,38,38,38,0
2010-05-11,40,40,40,40,825000
2010-05-12,39,38,40,39,1250000
2010-05-13,39,38,40,39,0
2010-05-14,38,38,42,38,450000
2010-05-17,38,38,38,38,75000
2010-05-18,44,37,45,44,22575000
2010-05-19,41,41,43,41,7625000
2010-05-20,41,39,42,41,5100000
2010-05-21,40,39,40,40,7650000
2010-05-24,40,38,40,40,275000
2010-05-25,38,34,38,38,300000
2010-05-26,40,37,40,40,225000
2010-05-27,40,37,40,40,2750000
2010-05-28,40,37,40,40,0
2010-05-31,40,40,40,40,425000
2010-06-01,41,40,42,41,875000
2010-06-02,42,40,42,42,6550000
2010-06-03,48,42,49,48,23100000
2010-06-04,46,46,48,46,5625000
2010-06-07,44,43,44,44,875000
2010-06-08,43,43,44,43,400000
2010-06-09,45,43,45,45,1050000
2010-06-10,44,44,45,44,775000
2010-06-11,44,44,44,44,525000
2010-06-14,45,42,45,45,50000
2010-06-15,45,45,46,45,4725000
2010-06-16,46,44,46,46,4450000
2010-06-17,46,46,47,46,950000
2010-06-18,47,46,48,47,2800000
2010-06-21,49,48,49,49,3700000
2010-06-22,48,48,49,48,1700000
2010-06-23,48,48,48,48,8875000
2010-06-24,48,48,48,48,250000
2010-06-25,48,48,49,48,950000
2010-06-28,48,48,50,48,1400000
2010-06-29,48,48,48,48,50000
2010-06-30,48,48,48,48,50000
2010-07-01,48,48,48,48,1475000
2010-07-02,48,47,48,48,2450000
2010-07-05,48,48,48,48,175000
2010-07-06,51,49,53,51,4275000
2010-07-07,55,52,57,55,5550000
2010-07-08,52,52,57,52,1800000
2010-07-09,53,52,55,53,1300000
2010-07-12,60,56,66,66,150
2010-07-13,83,69,83,83,9175000
2010-07-14,96,83,102,96,21225000
2010-07-15,90,88,96,90,4000000
2010-07-16,91,90,96,91,7450000
2010-07-19,88,86,90,88,175000
2010-07-20,96,91,98,96,6325000
2010-07-21,100,98,101,100,5650000
2010-07-22,114,99,117,114,8750000
2010-07-23,114,114,114,114,8750000
2010-07-26,124,110,132,124,15150000
2010-07-27,134,131,138,134,10125000
2010-07-28,141,135,142,141,10075000
2010-07-29,141,137,141,141,3425000
2010-07-30,128,115,137,128,6400000
2010-08-02,124,104,124,124,4125000
2010-08-03,112,108,124,112,1450000
2010-08-04,123,110,123,123,1075000
2010-08-05,124,116,124,124,1525000
2010-08-06,118,116,118,118,50000
2010-08-09,118,118,118,118,150000
2010-08-10,115,115,117,115,275000
2010-08-11,120,120,122,120,925000
2010-08-12,120,117,120,120,625000
2010-08-13,118,118,118,118,100000
2010-08-16,117,117,117,117,25000
2010-08-17,117,117,117,117,0
2010-08-18,120,120,124,120,250000
2010-08-19,118,117,120,118,1150000
2010-08-20,116,116,116,116,125000
2010-08-23,116,116,116,116,125000
2010-08-24,110,110,112,110,1950000
2010-08-25,110,110,111,110,2275000
2010-08-26,110,110,110,110,750000
2010-08-27,110,110,110,110,400000
2010-08-30,112,110,112,112,300000
2010-08-31,110,110,110,110,50000
2010-09-01,125,118,129,125,1900000
2010-09-02,129,125,131,129,2875000
2010-09-03,136,133,140,136,3125000
2010-09-06,131,128,133,131,500000
2010-09-07,131,131,131,131,500000
2010-09-08,131,131,131,131,0
2010-09-09,131,131,131,131,0
2010-09-10,131,131,131,131,0
2010-09-13,131,131,131,131,0
2010-09-14,131,131,131,131,0
2010-09-15,131,131,131,131,0
2010-09-16,124,118,124,124,225000
2010-09-17,122,122,128,122,825000
2010-09-20,123,123,124,123,1900000
2010-09-21,123,123,126,123,4225000
2010-09-22,128,110,128,128,1700000
2010-09-23,128,128,128,128,850000
2010-09-24,128,128,128,128,850000
2010-09-27,132,128,132,132,150000
2010-09-28,124,123,130,124,200000
2010-09-29,124,124,124,124,25000
2010-09-30,148,124,148,148,7850000
2010-10-01,163,150,175,163,4125000
2010-10-04,167,163,167,167,2600000
2010-10-05,163,163,164,163,875000
2010-10-06,160,160,168,160,6475000
2010-10-07,159,158,159,159,825000
2010-10-08,160,159,160,160,375000
2010-10-11,156,156,156,156,175000
2010-10-12,156,156,158,156,275000
2010-10-13,156,156,156,156,650000
2010-10-14,156,156,157,156,725000
2010-10-15,156,156,156,156,375000
2010-10-18,156,156,156,156,700000
2010-10-19,176,164,178,176,5650000
2010-10-20,190,173,190,190,2025000
2010-10-21,194,192,200,194,2825000
2010-10-22,196,194,196,196,75000
2010-10-25,196,192,196,196,2225000
2010-10-26,200,196,208,200,2950000
2010-10-27,213,200,216,213,3875000
2010-10-28,244,220,246,244,5775000
2010-10-29,242,242,260,242,3600000
2010-11-01,250,240,251,250,2075000
2010-11-02,250,250,252,250,875000
2010-11-03,244,244,244,244,275000
2010-11-04,233,227,240,233,600000
2010-11-05,216,212,227,216,600000
2010-11-08,218,218,226,218,1925000
2010-11-09,224,224,224,224,75000
2010-11-10,222,220,224,222,2100000
2010-11-11,220,217,221,220,200000
2010-11-12,222,216,222,222,1075000
2010-11-15,222,222,222,222,25000
2010-11-16,222,222,222,222,25000
2010-11-17,222,222,222,222,0
2010-11-18,219,219,219,219,125000
2010-11-19,219,219,219,219,125000
2010-11-22,238,230,242,238,1825000
2010-11-23,240,239,241,240,450000
2010-11-24,238,238,240,238,250000
2010-11-25,231,231,234,231,275000
2010-11-26,212,210,212,212,725000
2010-11-29,224,211,224,224,225000
2010-11-30,236,210,246,236,1975000
2010-12-01,239,235,244,239,2125000
2010-12-02,229,210,238,229,1825000
2010-12-03,230,230,232,230,800000
2010-12-06,239,214,239,239,700000
2010-12-07,239,214,239,239,0
2010-12-08,270,239,272,270,9600000
2010-12-09,260,259,270,260,300000
2010-12-10,246,240,250,246,3950000
2010-12-13,260,246,262,260,31475000
2010-12-14,259,258,261,259,6400000
2010-12-15,267,260,272,267,46625000
2010-12-16,266,265,267,266,20050000
2010-12-17,265,264,267,265,15625000
2010-12-20,263,260,265,263,30675000
2010-12-21,263,262,264,263,28775000
2010-12-22,262,260,263,262,12850000
2010-12-23,260,260,260,260,150000
2010-12-24,260,260,260,260,0
2010-12-27,250,250,260,250,3025000
2010-12-28,250,250,250,250,3025000
2010-12-29,250,250,250,250,3025000
2010-12-30,259,255,260,259,8425000
2010-12-31,259,255,260,259,0
2011-01-03,259,259,259,259,8425000
2011-01-04,255,251,255,255,175000
2011-01-05,259,254,259,259,2825000
2011-01-06,258,257,259,258,53350000
2011-01-07,260,258,262,260,53025000
2011-01-10,257,257,258,257,4225000
2011-01-11,258,256,258,258,725000
2011-01-12,251,250,252,251,2250000
2011-01-13,250,250,250,250,250000
2011-01-14,260,250,260,260,550000
2011-01-17,260,260,260,260,550000
2011-01-18,258,258,260,258,125000
2011-01-19,258,258,258,258,675000
2011-01-20,256,256,256,256,1200000
2011-01-21,256,256,256,256,25000
2011-01-24,256,256,256,256,25000
2011-01-25,257,257,257,257,25000
2011-01-26,256,256,257,256,3075000
2011-01-27,255,248,258,255,3475000
2011-01-28,255,255,255,255,100000
2011-01-31,255,253,255,255,350000
2011-02-01,250,247,253,250,1575000
2011-02-02,252,250,254,252,400000
2011-02-03,252,250,254,252,0
2011-02-04,254,254,255,254,1600000
2011-02-07,254,254,254,254,1600000
2011-02-08,250,250,250,250,125000
2011-02-09,250,250,250,250,125000
2011-02-10,244,244,244,244,650000
2011-02-11,234,234,234,234,5425000
2011-02-14,234,234,234,234,775000
2011-02-15,234,234,234,234,0
2011-02-16,230,230,230,230,200000
2011-02-17,232,230,232,232,875000
2011-02-18,232,232,232,232,875000
2011-02-21,220,220,224,220,150000
2011-02-22,220,220,220,220,150000
2011-02-23,196,190,214,196,2350000
2011-02-24,224,195,224,224,1250000
2011-02-25,210,206,210,210,150000
2011-02-28,200,197,210,200,20825000
2011-03-01,200,200,201,200,10775000
2011-03-02,200,200,200,200,750000
2011-03-03,200,200,200,200,125000
2011-03-04,210,200,210,210,850000
2011-03-07,198,198,200,198,450000
2011-03-08,204,200,204,204,150000
2011-03-09,192,192,200,192,1575000
2011-03-10,200,192,200,200,1950000
2011-03-11,200,200,200,200,1950000
2011-03-14,194,194,196,194,175000
2011-03-15,193,192,193,193,50000
2011-03-16,193,193,193,193,50000
2011-03-17,193,193,193,193,50000
2011-03-18,193,193,193,193,50000
2011-03-21,193,193,193,193,50000
2011-03-22,193,193,193,193,50000
2011-03-23,193,193,193,193,50000
2011-03-24,200,195,200,200,125000
2011-03-25,200,200,200,200,2975000
2011-03-28,200,200,200,200,1525000
2011-03-29,200,200,200,200,500000
2011-03-30,200,200,200,200,1000000
2011-03-31,200,200,200,200,125000
2011-04-01,204,203,204,204,8625000
2011-04-04,214,204,214,214,2725000
2011-04-05,227,214,227,227,350000
2011-04-06,227,220,227,227,2550000
2011-04-07,222,220,226,222,200000
2011-04-08,222,222,222,222,200000
2011-04-11,222,222,222,222,200000
2011-04-12,220,220,220,220,25000
2011-04-13,220,220,220,220,25000
2011-04-14,220,220,220,220,25000
2011-04-15,220,220,220,220,25000
2011-04-18,220,220,220,220,25000
2011-04-19,220,220,220,220,25000
2011-04-20,220,220,220,220,25000
2011-04-21,220,220,220,220,5150000
2011-04-22,220,220,220,220,0
2011-04-25,220,220,220,220,5150000
2011-04-26,220,220,220,220,5150000
2011-04-27,220,220,220,220,1000000
2011-04-28,210,210,210,210,250000
2011-04-29,210,210,210,210,250000
2011-05-02,210,210,210,210,250000
2011-05-03,220,220,220,220,1000000
2011-05-04,214,214,214,214,25000
2011-05-05,214,214,214,214,75000
2011-05-06,214,214,214,214,175000
2011-05-09,214,214,214,214,175000
2011-05-10,210,210,213,210,2050000
2011-05-11,204,204,204,204,25000
2011-05-12,208,204,208,208,175000
2011-05-13,208,208,208,208,175000
2011-05-16,210,208,210,210,100000
2011-05-17,210,208,210,210,0
2011-05-18,210,210,210,210,500000
2011-05-19,210,210,210,210,225000
2011-05-20,210,210,210,210,25000
2011-05-23,208,208,208,208,25000
2011-05-24,215,215,215,215,75000
2011-05-25,220,218,220,220,1675000
2011-05-26,220,220,220,220,1675000
2011-05-27,220,220,220,220,1675000
2011-05-30,218,217,218,218,2500000
2011-05-31,208,208,218,208,3275000
2011-06-01,212,210,212,212,3650000
2011-06-02,212,210,212,212,0
2011-06-03,208,208,208,208,50000
2011-06-06,208,208,208,208,75000
2011-06-07,210,210,210,210,2500000
2011-06-08,210,210,212,210,2600000
2011-06-09,210,210,210,210,250000
2011-06-10,210,210,210,210,250000
2011-06-13,210,210,210,210,250000
2011-06-14,210,210,210,210,850000
2011-06-15,210,210,210,210,850000
2011-06-16,210,210,210,210,850000
2011-06-17,210,210,210,210,850000
2011-06-20,220,220,220,220,550000
2011-06-21,220,220,220,220,550000
2011-06-22,220,220,220,220,550000
2011-06-23,220,220,220,220,1075000
2011-06-24,220,220,220,220,1075000
2011-06-27,220,220,220,220,1075000
2011-06-28,220,220,220,220,1075000
2011-06-29,220,220,220,220,0
2011-06-30,220,220,220,220,1075000
2011-07-01,220,220,220,220,25000
2011-07-04,220,220,220,220,0
2011-07-05,220,220,220,220,25000
2011-07-06,220,220,220,220,25000
2011-07-07,220,220,220,220,1250000
2011-07-08,220,220,220,220,3875000
2011-07-11,220,220,220,220,925000
2011-07-12,220,220,220,220,325000
2011-07-13,220,220,220,220,325000
2011-07-14,220,220,220,220,325000
2011-07-15,220,220,220,220,325000
2011-07-18,218,218,218,218,50000
2011-07-19,218,218,218,218,50000
2011-07-20,220,218,220,220,1600000
2011-07-21,220,220,220,220,1600000
2011-07-22,220,220,220,220,1600000
2011-07-25,220,220,220,220,1600000
2011-07-26,218,218,218,218,25000
2011-07-27,215,215,220,215,2500000
2011-07-28,217,208,217,217,1250000
2011-07-29,254,238,260,254,750000
2011-08-01,254,254,254,254,750000
2011-08-02,254,254,254,254,750000
2011-08-03,254,254,254,254,750000
2011-08-04,254,254,254,254,750000
2011-08-05,254,254,254,254,750000
2011-08-08,231,220,244,231,1250000
2011-08-09,231,231,231,231,1250000
2011-08-10,231,231,231,231,450000
2011-08-11,231,231,231,231,450000
2011-08-12,231,231,231,231,450000
2011-08-15,231,231,231,231,450000
2011-08-16,231,231,231,231,0
2011-08-17,231,231,231,231,0
2011-08-18,220,220,220,220,27525000
2011-08-19,220,220,220,220,27525000
2011-08-22,220,220,220,220,27525000
2011-08-23,220,220,220,220,27525000
2011-08-24,220,220,220,220,4425000
2011-08-25,220,220,220,220,4425000
2011-08-26,220,220,220,220,4425000
2011-08-29,220,220,220,220,0
2011-08-30,220,220,220,220,0
2011-08-31,220,220,220,220,0
2011-09-01,220,220,220,220,0
2011-09-02,220,220,220,220,0
2011-09-05,220,220,220,220,0
2011-09-06,220,220,220,220,0
2011-09-07,220,220,220,220,0
2011-09-08,220,220,220,220,0
2011-09-09,230,230,230,230,25000
2011-09-12,230,230,230,230,25000
2011-09-13,220,220,220,220,175000
2011-09-14,220,220,220,220,175000
2011-09-15,220,220,220,220,175000
2011-09-16,220,220,220,220,175000
2011-09-19,220,220,220,220,175000
2011-09-20,220,220,220,220,175000
2011-09-21,220,220,220,220,175000
2011-09-22,220,220,220,220,175000
2011-09-23,220,220,220,220,175000
2011-09-26,202,202,208,202,850000
2011-09-27,204,204,204,204,475000
2011-09-28,204,204,204,204,475000
2011-09-29,204,204,204,204,475000
2011-09-30,204,204,204,204,475000
2011-10-03,204,204,204,204,475000
2011-10-04,204,204,204,204,50000
2011-10-05,204,204,204,204,25000
2011-10-06,204,204,204,204,25000
2011-10-07,205,205,205,205,25000
2011-10-10,205,205,205,205,950000
2011-10-11,205,205,205,205,950000
2011-10-12,205,205,205,205,950000
2011-10-13,205,205,205,205,1325000
2011-10-14,205,205,205,205,1325000
2011-10-17,205,205,205,205,1325000
2011-10-18,205,205,205,205,1750000
2011-10-19,205,205,205,205,50000
2011-10-20,205,205,205,205,50000
2011-10-21,205,205,205,205,50000
2011-10-24,205,205,205,205,50000
2011-10-25,205,205,205,205,50000
2011-10-26,205,205,205,205,50000
2011-10-27,205,205,205,205,1600000
2011-10-28,198,198,198,198,600000
2011-10-31,198,198,198,198,600000
2011-11-01,198,198,198,198,600000
2011-11-02,200,200,202,200,1225000
2011-11-03,200,200,200,200,1225000
2011-11-04,200,200,200,200,1225000
2011-11-07,200,200,200,200,5650000
2011-11-08,200,200,200,200,17425000
2011-11-09,200,200,200,200,2875000
2011-11-10,200,200,200,200,2250000
2011-11-11,200,200,200,200,25000
2011-11-14,200,200,200,200,25000
2011-11-15,205,205,205,205,575000
2011-11-16,200,200,205,200,700000
2011-11-17,200,200,200,200,1350000
2011-11-18,200,200,200,200,4900000
2011-11-21,200,200,200,200,4900000
2011-11-22,200,200,200,200,50000
2011-11-23,200,200,200,200,50000
2011-11-24,200,200,200,200,50000
2011-11-25,200,200,200,200,50000
2011-11-28,200,200,200,200,25000
2011-11-29,200,200,200,200,25000
2011-11-30,200,200,200,200,150000
2011-12-01,200,200,200,200,0
2011-12-02,200,200,200,200,100000
2011-12-05,200,200,200,200,100000
2011-12-06,200,200,200,200,1100000
2011-12-07,200,200,200,200,1100000
2011-12-08,200,200,200,200,1100000
2011-12-09,205,205,205,205,600000
2011-12-12,205,205,205,205,600000
2011-12-13,205,205,205,205,850000
2011-12-14,202,202,202,202,175000
2011-12-15,202,202,202,202,175000
2011-12-16,200,200,200,200,575000
2011-12-19,200,200,200,200,575000
2011-12-20,200,200,200,200,975000
2011-12-21,200,200,200,200,975000
2011-12-22,200,200,200,200,975000
2011-12-23,200,200,200,200,2775000
2011-12-26,200,200,200,200,0
2011-12-27,200,200,200,200,2775000
2011-12-28,200,200,200,200,25000
2011-12-29,200,200,200,200,25000
2011-12-30,200,200,200,200,25000
2012-01-02,200,200,200,200,25000
2012-01-03,200,200,200,200,25000
2012-01-04,200,200,200,200,275000
2012-01-05,200,200,200,200,3350000
2012-01-06,200,200,200,200,5000000
2012-01-09,200,198,200,200,125000
2012-01-10,200,200,200,200,50000
2012-01-11,200,200,200,200,400000
2012-01-12,200,200,200,200,4500000
2012-01-13,206,205,206,206,150
2012-01-16,206,206,206,206,4500000
2012-01-17,205,205,205,205,15875000
2012-01-18,200,200,200,200,1650000
2012-01-19,220,210,220,220,525000
2012-01-20,220,218,220,220,3025000
2012-01-23,220,218,220,220,0
2012-01-24,220,220,220,220,3025000
2012-01-25,228,224,228,228,300000
2012-01-26,228,228,228,228,275000
2012-01-27,228,228,228,228,275000
2012-01-30,228,228,228,228,275000
2012-01-31,229,229,229,229,250000
2012-02-01,236,236,236,236,25000
2012-02-02,236,236,236,236,25000
2012-02-03,238,238,238,238,75000
2012-02-06,232,232,232,232,25000
